word,count
we,65
iowa,63
i,26
iowans,22
it,18
you,17
they,17
students,15
today,13
them,13
together,13
veterans,12
health,11
new,11
better,10
jobs,10
us,9
me,9
communities,9
opportunity,9
technology,8
schools,7
other,6
even,6
rural,6
education,6
economic,6
day,6
time,6
this year,5
economy,5
home,5
all,5
people,5
private,5
good,5
last year,5
done,4
great,4
here,4
families,4
reality,4
investment,4
part,4
many,4
middle,4
businesses,4
college,4
session,4
action,4
partnership,4
connect,4
rfs,4
renewable,3
two,3
members,3
future,3
pleased,3
doctors,3
iowan,3
against,3
access,3
healthier,3
job,3
over,3
policies,3
teachers,3
unemployment,3
percent,3
21st century,3
citizens,3
school,3
business,3
high,3
year,3
invested,3
states,3
community colleges,3
workers,3
government,3
family,3
common,3
buildings,3
repurpose,3
children,3
bully,3
path,3
men,3
country,3
one,3
military,3
world,3
open,3
seeds,2
iowa health,2
wellness,2
program,2
important,2
simple,2
investments,2
dollars,2
capital,2
office,2
condition,2
plant,2
largest,2
nation,2
alive,2
pride,2
educational,2
signed,2
tax relief,2
class families,2
olympics,2
morning,2
workforce,2
first,2
order,2
differences,2
taxes,2
epa,2
three years ago,2
positive,2
there,2
community,2
proposed,2
collaboration,2
student debt,2
historic,2
financial,2
colleges,2
resources,2
tuition,2
iowa students,2
standard,2
reinforce,2
move iowa forward,2
apprenticeship programs,2
programs,2
past,2
success,2
olympic,2
initiative,2
goal,2
broadband,2
areas,2
entire,2
ability,2
public,2
used,2
empty,2
prosperity,2
dmu,2
hands,2
child,2
protect,2
encouraging,2
service,2
square,2
sector,2
ideas,2
competitive,2
opportunities,2
god,2
