word,count
iowa,268
we,293
i,160
iowans,86
new,67
jobs,48
other,31
all,55
children,31
economic,38
together,81
today,62
it,102
us,51
schools,41
they,53
businesses,21
ready,22
companies,13
you,67
local,18
small,10
here,24
first,27
future,43
growth,27
opportunities,27
careers,16
expansion,10
one,23
high,25
education,38
good,22
great,18
life,22
world,24
done,16
opportunity,41
she,8
addition,10
company,6
economy,25
permanent,5
four,6
property taxes,10
nation,24
most,15
business owners,4
fiscal,18
thousands,7
success,13
time,23
many,26
full,7
young,7
chamber,8
unprecedented,8
better,38
major,5
common,9
world class education,7
fund,8
tomorrow,4
piece,4
action,15
commercial,5
states,16
investment,15
technology,13
leaders,11
part,10
year,21
property,8
important,10
tool,3
business,14
citizens,15
result,8
efforts,15
them,27
stability,7
over,36
students,46
teachers,23
innovative,10
fort,3
last year,16
model,3
plant,6
iowans home,2
due,4
strong,6
agricultural,8
past,18
simple,6
republicans,2
iowa partnership,5
democrats,2
job creators,3
prosperity,6
sustainable,4
critically,2
people,20
taxpayers,13
jobs we,2
careers we,2
greater,3
industrial,4
there,10
discussion,2
job,11
immigrant entrepreneurs,2
ideas,5
interests,2
number,5
commit,4
next,6
annual,4
quality jobs program,2
two,11
educational,8
program,9
lt governor,4
third,8
legislation,14
suppliers,2
tools,3
waterloo,6
second,7
rural,21
iowa communities,5
sale,2
community,14
families,18
he,9
this year,14
quality,13
essential,3
clear,9
able,5
blueprint,2
open,8
house,6
family,11
content,2
principals,2
classrooms,5
standards,3
healthy,4
arts,2
kindergarten,2
grade,2
college,11
career,7
school,21
child,6
continually,4
accountable,3
imagine…,2
aspirations,2
obligation,2
iowa corn,2
chinese,2
production,2
fellow iowans,7
every other emerging nation,1
mantle,1
the necessary steps,1
500,2
big,3
september,2
back,6
korea,1
china,4
japan,1
order ended,1
investment mission,1
beijing,1
dependency,1
hebei province party,1
official,2
1985,1
vice president,1
time revenue funded,1
balanced,7
trip,3
revenue,8
country,8
visited,3
funds,2
poised,2
growth–a,1
me,29
areas,6
two years,4
wife,5
south,2
korean,1
serious,6
cj,2
invest,7
324 million,1
chris,5
area,2
unacceptably,1
sole,1
source,5
american,1
collectively,2
levels,1
discipline,5
numerous,2
unemployment,11
relocation,1
eighty nine,1
cargill,2
programs,6
webster county,1
funded,2
99,5
alcoa,1
million,3
davenport factory,1
focuses,3
automotive,1
aluminum,1
lighter,1
fuel,2
efficient,2
vehicles,1
combination,1
essentials,1
bio science,1
character,2
financial,8
sectors,1
ideals,1
positioned,2
100000,5
time money,1
madam,2
moment,1
precipice,1
session,18
unparalleled,1
iowa field,1
farmer,1
harvest,2
reaped,1
17,2
seeds,3
fellow legislators,1
yes—and,1
yes—then we,1
900 million,1
words,2
tools job creators,1
career builders,1
amounted,1
mr president,2
year 2013,1
action–a focused,1
initiative,15
completed,2
one sixth,1
tremendous,2
quit,1
months on two,1
critical,5
priorities,4
entire,6
general,3
next eight years,2
2nd,1
highest,4
agreement,2
taxes,7
reduced—not,1
family incomes,5
businesses money,1
consequences,1
mr speaker,4
struggle,1
older,1
doors,1
workers employed,1
business burden,1
wiser,1
iowa immigrant,1
100,1
leader,11
hundreds,1
successful,4
urgency,1
justices,6
summit,2
cpa,1
office space,1
leases,1
brunt,1
the full cost,1
attributable,1
footprint,1
hopeful,1
property tax relief,4
future–the,1
property tax solution,1
fellow,1
tens,1
iowa business owners,1
relief,1
chance,2
shift,2
classes,6
17th,1
government,30
half,6
residential,2
development authority,1
tools it,1
job creation efforts,1
last,8
legislature,5
replacement,1
25 million,1
proven track,1
record,2
documented,1
years ago,1
dollars,10
tax revenue,1
dollar invested,1
legislators,8
assistance component,1
proposal,7
structured,1
investments,7
health,25
self funding,1
10 years,1
jobs it,1
significant,12
component,1
careers action,1
predictability,6
key components,1
facilities,1
manufacturers,4
large,1
vital,2
components,2
anchor manufacturer,1
diversified iowa,1
barriers,2
heart,3
close,5
iowa customers,1
anchor manufacturers,1
iowa entrepreneurs,1
decisions,7
chain cluster wherein,1
towns,1
those smaller support businesses,1
pride,3
hudson,1
laporte city,1
parkersburg,1
denver,1
equally,1
communities,23
final,2
careers puzzle,1
dilemma,1
signed,4
anchor business,1
executive,3
hometown businesses,1
town,4
country buyers,1
order,10
iowa companies,1
even,16
ownership,4
iowa businesses it,1
iowa communities–iowa communities,1
jobs impact statement,1
term,2
proposed,3
administrative,1
years,11
owners committed,1
owners,2
options,1
formation,2
employee stock option,1
employees,9
profitable,1
reap,2
fruits,1
path,16
protect,10
employee ownership,1
renewed prosperity,1
bipartisan,4
stage,1
cannot,2
period,5
officials,6
precious,1
natural,1
resource–our children,1
improvement,1
granddaughters,1
importance,2
commitment,12
guests,6
knowledge,2
life skills,1
succeed,4
global,4
21st century,9
still,9
galleries students,1
ankeny,1
capitol,3
elementary,2
125,1
cooperation,1
educated,1
member,1
greater priority,1
prosper,2
opportunities iowans,1
last week,2
unveiled,1
updated education,1
challenges–as iowans,1
product,2
education summit,1
nothing politics,1
followed,1
release,2
initial,1
statewide conversation,1
kids,2
hit,1
road,3
education town halls,1
180,1
parents,7
300,1
education system,2
the blue print,1
the actual reforms,1
world class schools,1
teacher,2
classroom,5
principal,1
selective,1
washington,3
educator,1
b college,1
average,1
admission,1
teacher preparation programs,1
prospective,1
license,1
dc,3
mastery,1
assure they,1
the crucial work,1
three,10
school administration manager program,1
messy–as,1
instructional,2
staff,1
management tasks,1
free,3
coach teachers,1
iowa core —our,1
math,6
science,4
english,1
social,1
responsibility,1
core areas,1
department,1
educators,6
music,1
fine,1
character education,1
physical,2
entrepreneurship education,1
foreign,3
languages,1
five,2
kindergarten assessment,1
flourish,4
six,3
core,1
school students,3
knowing,2
seven,2
juniors,1
college entrance exam,1
option,2
skills readiness,1
shed,2
iowa students,9
partisanship,2
public,27
policy,3
eight,5
assure,3
elusive,1
behind,3
an intensive focus,1
literacy,1
truth,3
preschool,1
second and third,1
grades,1
later,2
unfair,1
nine,2
youngsters,2
internships–in science,1
mathematics,1
gateway,1
fields,2
two-,1
four year,2
innovation acceleration fund,1
partners,3
education problems,1
solutions,2
competitive,8
grants,1
statewide,1
ten,1
online,2
against,7
complements,1
traditional,2
promoted,1
bipartisan consensus,1
decade,3
ahead,3
administration,3
bipartisan basis,1
practices,2
fit,1
systems,3
development,6
the american dream,1
everything we,1
main,10
streets,4
busy,1
restaurants,1
happy,1
customers,2
kind,2
roots,1
imagine… schools,1
grandchildren,3
empty,3
sought—as we,1
grand,1
vision,3
counties,5
last year one,1
thing,2
us–iowa,1
parts,2
nation uncertainty,1
reality,6
imperative,3
center,2
innovation,6
goals,3
worldwide,1
exceed,2
expectations,3
foundation,4
capacity,2
brazilian,1
ethanol,4
career opportunities,2
urban,2
bright,5
beacon,1
motivated people,1
hearts,1
hands,6
solve,2
problems,3
unequalled,1
mission,1
god,8
percent,20
history,11
chapter,7
medical,7
doctors,9
skilled iowa,6
system,11
home,23
ability,8
lower,6
development efforts,5
middle,11
living,5
residents,4
president,4
ways,7
property tax,5
current,7
committed,6
employers,6
iowa children,3
same,8
reference,2
outstanding,4
proud,7
surplus,3
possible,5
flyover country,2
principles,3
additional,9
capital,7
far,3
iowa families,8
cap,2
land,5
law,6
governments,4
resources,5
condition,7
class families,4
recruit,2
expense,2
skills,9
400,2
embarked,2
projection,2
dinner we,2
provided,6
workers,7
five year,5
skilled workforce,2
day,13
vice president xi,2
delegation,2
slipped,2
united states,4
massachusetts,2
daughter,3
top,6
america,5
iowa schools,5
teacher leadership,3
governor,11
modern,6
stronger,4
real,3
iowa the healthiest state,2
medicine,2
fact,4
two million,2
right,11
invitation,2
attendance,1
position,5
role,2
2013,1
privilege,1
luck,1
2400,1
honest,4
wonderful,1
blazed,1
next day,1
fittingly,1
43 billion,1
soybeans,2
assessment,2
world it,1
choices,4
18000,1
aircraft,1
brazil,1
iowa tractor,1
ploughs,1
ground,3
russia,1
iowa forward,2
decades,3
the irresponsible budgeting practices,1
bold,4
incredible,1
iowa reality,1
successes,2
28000,1
first…job creation,1
particular,2
creation,1
reshape,1
authority,1
iowa innovation council,1
focused agenda,1
nice,1
success stories,1
chapters,1
book,1
accomplishments,4
strategies,3
job creation we,1
35000,1
largest,5
private,10
36,1
iowa history,2
construction,2
fertilizer facilities,1
lee,1
consumers,2
iowa goods,1
services,5
objectives,1
accomplished,2
woodbury counties,1
portion,2
totaled,1
transformational,3
pleased,10
office,5
property tax system,1
landed,1
actual,1
53 billion,1
tax burden,1
higher,4
incomes,2
property tax reduction,1
homestead tax,1
madam president,4
disabled tax,1
year 2014,1
appropriation,1
33 million,1
payment,2
funding gap,1
gap,1
two years ago,1
school finance formula,1
allowable,1
15,1
formula trigger,1
automatic,2
lowest,3
forward legislation,1
four years,2
tax shifts,1
foster,1
mistake,2
original,1
rollback formula,1
implemented,2
1970s,1
valuation growth,1
left,3
greatest,1
two billion,1
iowa homeowners,1
prospect,1
life improvement,1
property taxpayers,2
protected,4
25,1
example,5
funding,13
this initiative is,1
property tax revenue,1
biennial,2
the heaviest lift,1
property tax rates,1
the good work we,1
mean,1
less,2
money,3
salary,1
proper,1
sites statewide,1
pain,1
property tax structure,1
easier,3
strict,1
gone,1
workforce,11
two year,2
next decade,2
ambitious,2
effort,2
workforce skills,1
unemployed,1
last month,2
impetus,1
conversations,2
tax,5
bridge,2
skills gap,4
articulated,1
impediment,1
quality jobs,1
vocabulary,1
skills they,3
today and tomorrow,1
unacceptable,2
mediocrity,1
necessary,3
skillset,1
lens,1
iowa businesses,1
skilled iowa resources,1
job creation,1
quality careers they,1
balconies,1
school children,1
democracy,1
years 2014 and 2015,1
moral,1
complacent,1
decision,1
25th–not,1
stagnant,1
inaction,1
advanced,5
level,4
the national test,1
school class,1
community college,2
remedial,1
class,2
sound,3
problem,2
fortunate,2
dedicated educators,1
incredibly,1
allison,1
waukee,2
jessica,1
creston,1
20th century,1
transform iowa,1
roles,1
practice,1
leadership alongside principals,1
education impacts everything we,1
student,3
key pieces,1
centerpiece,2
compensation structure,1
hallmark,1
school systems,1
embraced,2
iowa legislature,3
governor vilsack signed,1
career ladder,1
understood,1
advance professionally,1
coasts,1
career pathways,1
student achievement,2
professional,1
vitally,1
career pathways teachers,1
advance,4
pathways,1
meaningful,1
impact,3
performance,2
futures,1
industry,4
true investment,1
excellence,1
160 million,1
teacher compensation model,1
east,2
resolve,1
tech sector,2
west,3
achievement driven,1
one minute,1
relegated,1
status,1
key problem,1
dependent,2
disparagingly,1
minimum,2
amount,2
sacrifice,2
additionally,1
program administered,1
commission,1
services we,1
more top,1
tuition reimbursement,1
talented,1
graduates,1
five years,2
priority,3
majors,1
pilot,1
different,2
partner schools,1
story,1
clinical,1
key piece,1
seal,1
diploma,1
education leaders,2
seals,1
college entrance,1
workforce readiness,1
world expectations,1
iowa education,1
business leaders,2
brag,1
gotten,1
iowa quality,1
personally,2
iowan,5
former,2
marveled,1
13 billion,1
lengthen,1
800,1
longer,3
obesity,1
epidemic,1
onset,1
chronic,1
disease,1
china—many,1
medicaid,7
vibrant,2
professionals,1
familiar,1
fallen,2
special,2
relationship,1
active,1
physicians,1
sure,2
michigan,1
dakota,1
nebraska,2
46th,1
internal,1
47th,1
pediatric,1
48th,1
psychiatry,1
emergency medicine,1
obstetrics,1
gynecology,1
institutions,2
initiatives intended,1
year ago,1
residency programs,1
partnership,6
invited,3
repayment program,1
ob gyn,1
emergency medicine doctors,1
primary,1
1500,1
tough,5
practice medicine,1
oath,1
doctor,1
group,6
patients,2
iowa doctors,1
frivolous,1
lawsuits,1
expert,1
facts,1
case,1
lawsuit,1
injuries,1
substandard,1
weight,1
bad,1
judicial,1
