counties,Bush,Carson,Christie,Cruz,Fiorina,Gilmore,Huckabee,Kasich,Other,Paul,Rubio,Santorum,Trump,winner,precincts reporting,precincts total
Adair,4.0,61.0,4.0,104.0,16.0,1.0,11.0,2.0,1.0,12.0,80.0,7.0,104.0,Trump,5,5
Adams,7.0,30.0,1.0,81.0,16.0,0,3.0,10.0,1.0,8.0,47.0,1.0,68.0,Cruz,5,5
Allamakee,11.0,77.0,4.0,183.0,54.0,0,9.0,2.0,1.0,16.0,131.0,6.0,193.0,Trump,11,11
Appanoose,13.0,92.0,4.0,269.0,9.0,0,44.0,4.0,1.0,20.0,90.0,2.0,292.0,Trump,12,12
Audubon,10.0,33.0,1.0,135.0,4.0,0,20.0,5.0,0,11.0,56.0,0,99.0,Cruz,2,2
Benton,11.0,171.0,23.0,596.0,35.0,0,34.0,27.0,1.0,72.0,246.0,9.0,410.0,Cruz,19,19
Black Hawk,178.0,497.0,104.0,1585.0,131.0,0,72.0,53.0,2.0,357.0,1551.0,20.0,1360.0,Cruz,62,62
Boone,31.0,177.0,40.0,566.0,7.0,1.0,67.0,22.0,0,96.0,320.0,19.0,412.0,Cruz,15,15
Bremer,38.0,134.0,16.0,408.0,24.0,0,19.0,50.0,0,46.0,389.0,19.0,347.0,Cruz,13,13
Buchanan,14.0,82.0,15.0,308.0,31.0,0,15.0,6.0,0,35.0,110.0,4.0,217.0,Cruz,15,15
Buena Vista,23.0,97.0,7.0,309.0,20.0,0,18.0,15.0,0,26.0,221.0,22.0,251.0,Cruz,10,10
Butler,24.0,108.0,6.0,332.0,18.0,0,21.0,3.0,0,32.0,145.0,1.0,220.0,Cruz,8,8
Calhoun,10.0,37.0,5.0,159.0,8.0,0,35.0,7.0,0,20.0,121.0,19.0,136.0,Cruz,10,10
Carroll,60.0,69.0,7.0,256.0,44.0,0,11.0,14.0,1.0,31.0,230.0,5.0,298.0,Trump,13,13
Cass,34.0,142.0,15.0,225.0,10.0,0,17.0,21.0,0,9.0,176.0,13.0,262.0,Trump,13,13
Cedar,17.0,100.0,9.0,310.0,19.0,1.0,13.0,26.0,5.0,43.0,240.0,6.0,281.0,Cruz,12,12
Cerro Gordo,119.0,184.0,114.0,655.0,42.0,0,39.0,29.0,4.0,78.0,446.0,18.0,597.0,Cruz,26,26
Cherokee,16.0,119.0,5.0,157.0,11.0,1.0,17.0,5.0,0,12.0,243.0,5.0,248.0,Trump,7,7
Chickasaw,11.0,57.0,2.0,161.0,27.0,0,6.0,3.0,1.0,18.0,143.0,6.0,166.0,Trump,13,13
Clarke,12.0,56.0,9.0,155.0,9.0,0,8.0,3.0,0,15.0,88.0,0,202.0,Trump,7,7
Clay,16.0,155.0,15.0,291.0,8.0,0,25.0,31.0,1.0,28.0,149.0,14.0,292.0,Trump,12,12
Clayton,26.0,67.0,9.0,298.0,26.0,0,17.0,11.0,0,29.0,109.0,5.0,249.0,Cruz,14,14
Clinton,106.0,159.0,26.0,621.0,70.0,0,15.0,41.0,0,94.0,459.0,6.0,709.0,Trump,26,26
Crawford,12.0,63.0,14.0,226.0,24.0,0,7.0,8.0,0,12.0,114.0,5.0,214.0,Cruz,8,8
Dallas,213.0,489.0,214.0,1691.0,133.0,0,61.0,167.0,1.0,276.0,2469.0,58.0,1510.0,Rubio,34,34
Davis,10.0,38.0,8.0,168.0,1.0,0,38.0,1.0,0,25.0,37.0,0,205.0,Trump,8,8
Decatur,5.0,80.0,4.0,173.0,2.0,0,6.0,4.0,0,19.0,73.0,4.0,127.0,Cruz,7,7
Delaware,19.0,92.0,5.0,317.0,52.0,0,7.0,2.0,0,27.0,172.0,3.0,198.0,Cruz,12,12
Des Moines,19.0,212.0,35.0,613.0,17.0,0,31.0,20.0,4.0,99.0,451.0,6.0,659.0,Trump,16,16
Dickinson,46.0,159.0,8.0,260.0,12.0,0,15.0,27.0,1.0,34.0,286.0,12.0,342.0,Trump,15,15
Dubuque,95.0,384.0,75.0,824.0,97.0,0,48.0,54.0,0,230.0,1060.0,21.0,1087.0,Trump,35,35
Emmet,11.0,49.0,5.0,143.0,8.0,0,10.0,4.0,0,4.0,46.0,1.0,122.0,Cruz,11,11
Fayette,18.0,144.0,6.0,341.0,18.0,0,17.0,6.0,0,27.0,180.0,3.0,240.0,Cruz,25,25
Floyd,23.0,83.0,9.0,305.0,8.0,0,8.0,9.0,0,10.0,105.0,0,200.0,Cruz,8,8
Franklin,18.0,62.0,1.0,225.0,5.0,0,23.0,4.0,0,23.0,105.0,3.0,159.0,Cruz,12,12
Fremont,10.0,40.0,5.0,87.0,0,0,2.0,6.0,1.0,11.0,77.0,5.0,182.0,Trump,5,5
Greene,25.0,62.0,13.0,162.0,2.0,0,14.0,6.0,0,14.0,77.0,7.0,164.0,Trump,7,7
Grundy,26.0,73.0,12.0,272.0,10.0,0,50.0,4.0,0,32.0,261.0,8.0,198.0,Cruz,7,7
Guthrie,16.0,107.0,9.0,218.0,18.0,0,23.0,2.0,0,28.0,118.0,7.0,208.0,Cruz,8,8
Hamilton,13.0,89.0,21.0,277.0,14.0,0,25.0,20.0,2.0,48.0,159.0,20.0,269.0,Cruz,8,8
Hancock,22.0,71.0,5.0,385.0,19.0,0,16.0,6.0,0,21.0,132.0,12.0,160.0,Cruz,10,10
Hardin,19.0,138.0,33.0,417.0,25.0,1.0,31.0,12.0,0,45.0,225.0,29.0,295.0,Cruz,8,8
Harrison,5.0,221.0,17.0,282.0,24.0,0,10.0,10.0,0,17.0,112.0,6.0,315.0,Trump,13,13
Henry,31.0,189.0,7.0,379.0,18.0,0,33.0,12.0,0,30.0,228.0,12.0,273.0,Cruz,9,9
Howard,19.0,26.0,2.0,106.0,3.0,0,5.0,0,0,5.0,89.0,0,112.0,Trump,9,9
Humboldt,14.0,48.0,9.0,168.0,6.0,0,17.0,3.0,0,16.0,111.0,9.0,204.0,Trump,9,9
Ida,8.0,43.0,4.0,135.0,32.0,0,8.0,3.0,2.0,7.0,135.0,14.0,136.0,Trump,7,7
Iowa,11.0,105.0,12.0,353.0,25.0,0,33.0,14.0,0,56.0,163.0,12.0,249.0,Cruz,11,11
Jackson,26.0,64.0,18.0,265.0,21.0,1.0,9.0,11.0,1.0,34.0,169.0,5.0,306.0,Trump,16,16
Jasper,46.0,207.0,30.0,812.0,31.0,0,72.0,13.0,1.0,100.0,417.0,12.0,583.0,Cruz,20,20
Jefferson,17.0,55.0,7.0,270.0,11.0,0,51.0,25.0,4.0,67.0,104.0,18.0,223.0,Cruz,12,12
Johnson,229.0,531.0,171.0,1413.0,191.0,1.0,75.0,284.0,3.0,691.0,2207.0,37.0,1394.0,Rubio,57,57
Jones,25.0,107.0,14.0,363.0,35.0,0,6.0,6.0,0,32.0,167.0,21.0,258.0,Cruz,14,14
Keokuk,13.0,63.0,4.0,216.0,11.0,0,23.0,5.0,2.0,19.0,116.0,10.0,220.0,Trump,15,15
Kossuth,13.0,150.0,9.0,285.0,4.0,0,27.0,15.0,0,18.0,190.0,12.0,224.0,Cruz,20,20
Lee,19.0,157.0,12.0,334.0,51.0,0,26.0,16.0,5.0,36.0,249.0,6.0,409.0,Trump,22,22
Linn,262.0,1072.0,276.0,3422.0,302.0,0,99.0,262.0,9.0,699.0,2825.0,56.0,2344.0,Cruz,86,86
Louisa,14.0,44.0,4.0,257.0,5.0,0,31.0,5.0,0,26.0,76.0,1.0,261.0,Trump,5,5
Lucas,10.0,68.0,5.0,213.0,9.0,0,18.0,0,1.0,24.0,79.0,3.0,159.0,Cruz,7,7
Lyon,11.0,206.0,3.0,432.0,10.0,0,3.0,6.0,0,14.0,229.0,20.0,173.0,Cruz,8,8
Madison,22.0,107.0,18.0,452.0,21.0,0,34.0,11.0,3.0,51.0,250.0,7.0,373.0,Cruz,9,9
Mahaska,40.0,209.0,16.0,669.0,37.0,0,49.0,8.0,1.0,69.0,368.0,73.0,421.0,Cruz,11,11
Marion,74.0,272.0,62.0,1011.0,41.0,0,74.0,30.0,0,123.0,606.0,40.0,539.0,Cruz,17,17
Marshall,61.0,226.0,27.0,630.0,57.0,0,50.0,33.0,3.0,75.0,502.0,55.0,608.0,Cruz,19,19
Mills,10.0,182.0,11.0,244.0,23.0,0,7.0,15.0,0,33.0,265.0,31.0,300.0,Trump,11,11
Mitchell,10.0,61.0,4.0,114.0,55.0,0,11.0,3.0,0,34.0,56.0,3.0,120.0,Trump,11,11
Monona,2.0,41.0,8.0,185.0,6.0,0,9.0,1.0,0,8.0,94.0,2.0,156.0,Cruz,11,11
Monroe,3.0,25.0,2.0,195.0,4.0,0,18.0,4.0,0,23.0,97.0,0,170.0,Cruz,7,7
Montgomery,27.0,85.0,5.0,133.0,27.0,0,10.0,10.0,0,26.0,124.0,6.0,118.0,Cruz,7,7
Muscatine,53.0,110.0,50.0,576.0,43.0,0,39.0,45.0,0,131.0,635.0,12.0,720.0,Trump,23,23
O'Brien,17.0,220.0,6.0,347.0,10.0,0,45.0,6.0,3.0,19.0,281.0,9.0,256.0,Cruz,9,9
Osceola,13.0,42.0,3.0,113.0,7.0,0,3.0,1.0,0,8.0,56.0,3.0,78.0,Cruz,8,8
Page,25.0,157.0,4.0,249.0,8.0,0,9.0,12.0,1.0,13.0,156.0,7.0,232.0,Cruz,8,8
Palo Alto,14.0,40.0,6.0,110.0,9.0,0,17.0,5.0,0,15.0,94.0,5.0,117.0,Trump,6,6
Plymouth,44.0,195.0,25.0,530.0,19.0,0,14.0,22.0,0,34.0,373.0,12.0,618.0,Trump,13,13
Pocahontas,9.0,70.0,5.0,187.0,5.0,0,16.0,2.0,0,13.0,65.0,1.0,110.0,Cruz,7,7
Polk,1405.0,2297.0,745.0,7864.0,420.0,2.0,565.0,773.0,31.0,1633.0,8365.0,234.0,6764.0,Rubio,177,177
Pottawattamie,70.0,543.0,53.0,942.0,80.0,0,25.0,127.0,4.0,156.0,750.0,115.0,1508.0,Trump,40,40
Poweshiek,38.0,76.0,14.0,282.0,14.0,0,30.0,18.0,0,63.0,183.0,7.0,258.0,Cruz,10,10
Ringgold,16.0,52.0,3.0,84.0,3.0,1.0,14.0,0,0,2.0,50.0,1.0,106.0,Trump,7,7
Sac,19.0,61.0,6.0,187.0,12.0,0,18.0,7.0,0,17.0,81.0,49.0,212.0,Trump,9,9
Scott,353.0,532.0,178.0,2396.0,219.0,0,78.0,436.0,3.0,486.0,2553.0,50.0,2465.0,Rubio,63,63
Shelby,9.0,109.0,10.0,207.0,22.0,0,18.0,9.0,0,23.0,129.0,6.0,203.0,Cruz,9,9
Sioux,76.0,686.0,24.0,1524.0,39.0,0,35.0,45.0,0,117.0,1469.0,77.0,502.0,Cruz,16,16
Story,212.0,641.0,166.0,1815.0,117.0,2.0,123.0,193.0,7.0,629.0,2415.0,62.0,1152.0,Rubio,43,43
