c,p,Carson,Cruz,Fiorina,Rubio,Santorum,Trump,w
Johnson,LIBERTY-PLEASANT VALLEY,0,34.211,2.632,13.158,5.263,23.684,Cruz
Johnson,HILLS,10.87,30.435,0,21.739,0,19.565,Cruz
Johnson,IOWA CITY 06,14.679,16.514,3.67,34.862,0,18.349,Rubio
Johnson,IC 10/ELSW,9.756,20.732,0,18.293,0,37.805,Trump
Johnson,IC 12/EAST LUCAS SE,8.434,22.892,2.41,25.301,0,22.892,Rubio
Johnson,IOWA CITY 13,3.361,15.126,0.84,47.899,0,10.084,Rubio
Johnson,CORALVILLE 05,12.987,33.766,1.299,23.377,0,6.494,Cruz
Johnson,FREMONT-LINCOLN,14.851,36.634,0.99,16.832,0,23.762,Cruz
Johnson,HARDIN TOWNSHIP,25,36.111,2.778,2.778,2.778,13.889,Cruz
Johnson,IOWA CITY 01,8.84,14.365,5.525,25.967,2.21,16.575,Rubio
Johnson,IOWA CITY 03,10.952,13.81,0.952,31.905,0,21.429,Rubio
Johnson,IOWA CITY 04,7.303,3.933,0.562,35.955,2.247,14.045,Rubio
Johnson,IOWA CITY 05,4.018,5.804,0.893,45.089,0.446,14.732,Rubio
Johnson,IOWA CITY 08,4.225,18.31,3.756,40.376,0.469,15.023,Rubio
Johnson,IOWA CITY 16,12,14.667,9.333,34.667,0,5.333,Rubio
Johnson,IOWA CITY 18,7.317,12.195,2.439,31.707,0,17.073,Rubio
Johnson,UNIVERSITY HEIGHTS,6.154,15.385,3.077,30.769,0,13.846,Rubio
Johnson,CORALVILLE 07,12.121,23.485,6.061,18.939,3.788,21.97,Cruz
Johnson,CORALVILLE 06,4.331,11.417,4.331,33.858,0,31.102,Rubio
Johnson,CORALVILLE 03,2.532,21.519,2.532,41.772,0,13.924,Rubio
Johnson,CORALVILLE 02,11.22,11.707,1.463,39.024,0.488,9.756,Rubio
Johnson,CEDAR TOWNSHIP,6.061,24.242,0,24.242,0,45.455,Trump
Johnson,CLEAR CREEK/TIFFIN,9.22,24.823,1.418,29.078,0,27.66,Rubio
Johnson,CORALVILLE 04,7.463,16.418,2.985,29.851,1.493,31.343,Trump
Johnson,GRAHAM TOWNSHIP,12.121,42.424,0,15.152,3.03,15.152,Cruz
Johnson,IOWA CITY 02,4.787,14.894,4.255,42.553,0,9.574,Rubio
Johnson,IOWA CITY 07,7.914,11.511,2.158,33.813,0,17.266,Rubio
Johnson,IOWA CITY 09,4.478,17.164,1.493,44.03,0,12.687,Rubio
Johnson,IOWA CITY 11,2.013,10.067,0,47.651,0,12.752,Rubio
Johnson,IOWA CITY 19,5.806,8.387,0,41.29,0,15.484,Rubio
Johnson,CORALVILLE 01,20.455,20.455,1.136,23.864,0,12.5,Rubio
Johnson,NORTH LIBERTY 01,11.258,28.477,3.311,24.503,0,13.907,Cruz
Johnson,NORTH LIBERTY 03 (PW),10.714,19.388,1.02,27.551,0.51,14.286,Rubio
Johnson,OXFORD TOWNSHIP/OXFORD,11.268,18.31,1.408,14.085,1.408,46.479,Trump
Johnson,IOWA CITY 14,3.774,32.075,5.66,16.981,1.887,15.094,Cruz
Johnson,WASHINGTON TOWNSHIP,12.903,58.065,0,7.527,0,10.753,Cruz
Johnson,WEST LUCAS TOWNSHIP,7.317,41.463,0,14.634,0,19.512,Cruz
Johnson,UNION TOWNSHIP,9.804,9.804,0,27.451,0,33.333,Trump
Johnson,SOLON,6.818,17.424,1.515,28.03,0,28.03,Trump
Johnson,SHARON TOWNSHIP,11.392,45.57,0,6.329,0,26.582,Cruz
Johnson,SCOTT TWP-WEST BRANCH,10.112,33.708,1.124,11.236,0,30.337,Cruz
Johnson,PENN/ EAST LUCAS NORTH,5.172,18.966,9.483,25,0,21.121,Rubio
Johnson,NEWPORT TOWNSHIP,6.154,19.487,8.205,30.256,0.513,18.462,Rubio
Johnson,NL06/MADISON /CCN,6.303,20.588,3.782,31.092,0,23.95,Rubio
Johnson,NORTH LIBERTY 05,7.018,28.07,2.632,14.912,0,20.175,Cruz
Johnson,NORTH LIBERTY 04,4.082,38.776,4.082,27.551,1.02,13.265,Cruz
Johnson,NORTH LIBERTY 02,2.041,48.299,0,18.367,0,19.048,Cruz
Johnson,JW/MN/SW,6.863,25.98,5.392,26.961,0,27.451,Trump
Johnson,JEFFERSON EAST/SHUEYVILLE,6.867,18.884,2.575,25.751,0,33.906,Trump
Johnson,IOWA CITY 24,9.483,10.776,0,37.069,2.155,19.828,Rubio
Johnson,IOWA CITY 23,3.911,15.084,5.028,36.313,0,14.525,Rubio
Johnson,IOWA CITY 22,3.279,13.115,0.82,45.082,0.82,5.738,Rubio
Johnson,IOWA CITY 21,0,10.204,0,39.796,0,11.224,Rubio
Johnson,IOWA CITY 20,0,9.581,0,43.713,1.198,18.563,Rubio
Johnson,IOWA CITY 17,3.261,22.826,4.348,18.478,2.174,20.652,Cruz
Johnson,IOWA CITY 15,8.511,23.404,4.255,19.149,0,12.766,Cruz
Johnson,BIG GROVE TOWNSHIP,10.828,25.478,1.911,24.204,0.637,24.841,Cruz
Linn,Marion 4,23.529,25.49,0,17.647,0,21.569,Cruz
Linn,Marion 12,9.836,14.754,4.918,31.148,1.639,21.311,Rubio
Linn,Marion 11,6.691,28.253,1.859,30.855,0.372,21.561,Rubio
Linn,Marion 10,13.861,28.713,4.95,23.762,0.99,14.851,Cruz
Linn,Marion 8,10.909,37.273,2.727,19.091,0,10,Cruz
Linn,Marion 7,12.587,22.028,2.448,26.573,0,17.832,Rubio
Linn,Marion 6,11.207,38.793,5.603,16.81,1.293,12.5,Cruz
Linn,Marion 13,5.732,34.395,2.548,16.561,0.637,22.93,Cruz
Linn,Marion 3,8,33,2,18,0,26,Cruz
Linn,Marion 2,6.195,31.858,1.77,25.664,0,20.354,Cruz
Linn,Marion 1,8.537,35.366,9.756,8.537,0,21.951,Cruz
Linn,Hiawatha 3,2.817,30.986,0,43.662,1.408,14.085,Rubio
Linn,Cedar Rapids 43,9.615,30.769,0,25,0,23.077,Cruz
Linn,Mount Vernon South,7.534,23.288,2.055,41.781,0,11.644,Rubio
Linn,Cedar Rapids 37,11.702,32.979,1.064,18.085,1.064,28.723,Cruz
Linn,Robins,4.233,53.439,1.323,17.196,3.704,13.228,Cruz
Linn,Cedar Rapids 35,5.797,46.377,0,13.043,2.899,7.246,Cruz
Linn,Cedar Rapids 31,9.091,22.727,3.182,30.909,0,20,Rubio
Linn,Cedar Rapids 28,2.941,32.353,0.98,17.647,1.961,23.529,Cruz
Linn,Cedar Rapids 26,6.494,35.065,0,28.571,0,14.286,Cruz
Linn,Cedar Rapids 24,10,15.714,2.857,29.643,0.714,19.643,Rubio
Linn,Cedar Rapids 21,15.094,39.623,4.717,15.094,1.887,11.321,Cruz
Linn,Cedar Rapids 18,12.371,34.021,1.031,22.68,0,18.557,Cruz
Linn,Cedar Rapids 16,8.081,28.283,3.03,12.121,2.02,22.222,Cruz
Linn,Cedar Rapids 8,9.709,41.748,3.883,14.563,0,16.505,Cruz
Linn,Cedar Rapids 7,7.143,28.571,0,16.071,0,17.857,Cruz
Linn,Cedar Rapids 6,2.674,41.176,4.278,28.877,2.674,6.417,Cruz
Linn,Cedar Rapids 5,5.921,39.474,1.974,27.632,0.658,20.395,Cruz
Linn,Cedar Rapids 4,5.66,22.264,2.642,39.245,0.377,14.717,Rubio
Linn,Cedar Rapids 2,13.869,38.686,1.46,21.898,0,18.248,Cruz
Linn,Buffalo,5.882,52.941,1.961,7.843,0,27.451,Cruz
Linn,Fayette,14.865,31.081,1.351,8.108,0,31.081,Trump
Linn,Franklin,7.353,33.088,1.471,33.824,0,15.441,Rubio
Linn,Jackson,3.846,37.179,0,14.103,0,28.205,Cruz
Linn,Linn,10.526,31.579,0,32.895,0,21.053,Rubio
Linn,Marion township,8.28,33.121,2.548,24.204,0,12.739,Cruz
Linn,Monroe 1,7.353,25.98,1.961,27.941,0.98,28.922,Trump
Linn,Monroe 2,9.217,28.111,2.765,30.876,0,20.737,Rubio
Linn,Otter Creek,14.894,31.915,1.418,21.986,0,26.241,Cruz
Linn,Spring Grove,5,35,0,7.5,0,32.5,Cruz
Linn,Washington,11.399,29.534,1.036,27.979,0,20.207,Cruz
Linn,Cedar Rapids 1,12.422,21.118,0.621,26.708,0,26.087,Rubio
Linn,Cedar Rapids 3,13.761,21.101,6.422,23.853,0,21.101,Rubio
Linn,Cedar Rapids 9,12.658,39.241,2.532,10.127,0,18.987,Cruz
Linn,Cedar Rapids 10,9.677,28.495,3.226,21.505,0.538,19.355,Cruz
Linn,Cedar Rapids 11,3.916,24.398,3.916,33.735,0,19.578,Rubio
Linn,Cedar Rapids 12,8.069,23.343,4.611,28.818,0.288,12.104,Rubio
Linn,Cedar Rapids 13,13.71,29.839,3.226,19.355,0,20.161,Cruz
Linn,Cedar Rapids 14,3.191,34.043,3.191,17.021,0,28.723,Cruz
Linn,Cedar Rapids 15,5.882,28.431,3.922,32.353,0,21.569,Rubio
Linn,Cedar Rapids 17,12.222,27.778,3.333,20,0,24.444,Cruz
Linn,Cedar Rapids 19,9.146,29.878,1.22,21.341,0.61,23.78,Cruz
Linn,Cedar Rapids 20,5.422,24.096,4.217,21.687,0,27.108,Trump
Linn,Cedar Rapids 22,9.524,26.984,0,23.81,0,14.286,Cruz
Linn,Cedar Rapids 23,9.524,34.524,1.19,14.286,0,15.476,Cruz
Linn,Cedar Rapids 25,6.513,27.969,3.831,27.969,0,18.774,Rubio
Linn,Cedar Rapids 27,5.797,31.884,4.348,10.145,0,33.333,Trump
Linn,Cedar Rapids 29,6.863,20.588,0.98,31.373,0,24.51,Rubio
Linn,Cedar Rapids 30,16.514,20.183,0,19.266,1.835,24.771,Trump
Linn,Cedar Rapids 32,8.333,30,3.333,11.667,0,23.333,Cruz
Linn,Cedar Rapids 33,9.375,35.938,1.563,12.5,1.563,28.125,Cruz
Linn,Cedar Rapids 34,14.706,26.471,2.941,13.235,0,27.941,Trump
Linn,Cedar Rapids 38,6.452,33.871,0,19.355,1.613,29.032,Cruz
Linn,Cedar Rapids 39,16.794,19.084,1.527,22.137,0,34.351,Trump
Linn,Cedar Rapids 40,7.143,26.19,2.381,28.571,0,19.048,Rubio
Linn,Cedar Rapids 41,8.333,19.444,2.778,22.222,0,30.556,Trump
Linn,Cedar Rapids 44,21.875,6.25,0,25,0,31.25,Trump
Linn,Fairfax City,10.366,21.951,4.268,32.317,0,20.732,Rubio
Linn,Hiawatha 1,13.198,26.396,2.03,18.274,0,20.812,Cruz
Linn,Hiawatha 2,8.108,45.946,5.405,8.108,0,27.027,Cruz
Linn,Hiawatha4,13.333,40,3.333,26.667,0,3.333,Cruz
Linn,Marion 5,14.019,23.832,3.271,24.766,0.935,17.757,Rubio
Linn,Marion 9,13.333,31.333,4,20.667,0,16,Cruz
Linn,Marion 14,9.091,22.314,3.719,34.711,0,20.248,Rubio
Linn,Mount Vernon north,6.122,19.388,3.061,41.837,0,20.408,Rubio
Linn,Bertram,13.01,20.918,2.551,25.765,0,19.898,Rubio
Linn,Boulder,14.286,45.238,2.381,11.905,0,23.81,Cruz
Linn,Brown,13.245,36.424,1.325,20.53,0,19.868,Cruz
Linn,Clinton,7.595,44.304,0,25.316,0,6.329,Cruz
Linn,College,2.222,22.222,2.222,28.889,2.222,28.889,Trump
Linn,Fairfax Township,10.811,16.216,0.901,26.126,0,28.829,Trump
Linn,Maine,6.897,47.414,0.862,11.207,0,25.862,Cruz
Linn,Putnam,8.527,24.806,0.775,24.031,0,29.457,Trump
Linn,Grant,10.39,41.558,2.597,18.182,0,16.883,Cruz
Linn,Cedar Rapids 36,7.229,33.133,3.614,20.482,0,20.482,Cruz
Linn,Cedar Rapids 42,4.511,24.06,5.263,21.053,2.256,33.083,Trump
