c,p,Carson,Cruz,Fiorina,Rubio,Santorum,Trump,w
Adair,1NW,9.722,26.389,4.167,18.056,1.389,29.167,Trump
Adair,2NE,23.077,32.051,3.846,8.974,1.282,24.359,Cruz
Adair,3SW,15.584,32.468,2.597,24.675,2.597,19.481,Cruz
Adair,4SE,5.618,21.348,5.618,25.843,1.124,28.09,Trump
Adair,5GF,20.879,17.582,3.297,19.78,2.198,26.374,Trump
Adams,Adams 1,5.882,17.647,13.725,5.882,0.0,37.255,Trump
Adams,Adams 2,13.462,21.154,1.923,30.769,0.0,15.385,Rubio
Adams,Adams 3,18.182,18.182,14.545,14.545,0.0,18.182,Trump
Adams,Adams 4,9.434,47.17,0.0,15.094,1.887,24.528,Cruz
Adams,Adams 5,8.065,41.935,0.0,19.355,0.0,29.032,Cruz
Allamakee,Pct 1 - WL/HV,22.727,45.455,0.0,18.182,4.545,9.091,Cruz
Allamakee,Pct 10 - Waukon 2,11.364,20.455,11.364,15.909,0.0,34.091,Trump
Allamakee,Pct 11 - Waukon 3,8.955,26.866,16.418,16.418,1.493,26.866,Trump
Allamakee,Pct 2 - FC/JF/LL/MK/UP,10.345,38.621,6.897,11.724,0.69,26.207,Cruz
Allamakee,Pct 3 - PO/FK,6.977,23.256,2.326,13.953,0.0,37.209,Trump
Allamakee,Pct 4 - PV City,8.108,8.108,5.405,29.73,0.0,40.541,Trump
Allamakee,Pct 5 - LT/PC/WV City,12.766,44.681,0.0,17.021,0.0,14.894,Cruz
Allamakee,Pct 6 - FV/TL/HF City,2.174,8.696,8.696,28.261,0.0,50.0,Trump
Allamakee,Pct 7 - CN/LF/LS/LS City,7.527,19.355,1.075,27.957,3.226,36.559,Trump
Allamakee,Pct 8 - IA/UC/NA City,28.571,16.071,3.571,16.071,0.0,26.786,Carson
Allamakee,Pct 9 - Waukon 1,11.494,28.736,20.69,21.839,0.0,11.494,Cruz
Appanoose,Taylor/Chariton,17.699,38.938,0.885,10.619,0.0,23.009,Cruz
Appanoose,Centerville Ward 1,2.062,35.052,1.031,9.278,0.0,36.082,Trump
Appanoose,Centerville Ward 2,15.464,19.588,0.0,16.495,0.0,44.33,Trump
Appanoose,Centerville Ward 3,12.5,10.938,6.25,25.0,0.0,37.5,Trump
Appanoose,Johns/Independence,18.966,31.034,0.0,3.448,0.0,44.828,Trump
Appanoose,Pleasant/Franklin,11.628,44.186,2.326,4.651,0.0,27.907,Cruz
Appanoose,Bellair/Lincoln,17.021,34.043,0.0,8.511,2.128,21.277,Cruz
Appanoose,Vermillion/Douglas/Sharon,6.796,45.631,0.971,6.796,0.0,29.126,Cruz
Appanoose,Walnut Township,8.163,22.449,0.0,8.163,2.041,57.143,Trump
Appanoose,Washington/Wells,10.256,25.641,0.0,6.41,0.0,41.026,Trump
Appanoose,Caldwell Township,8.571,34.286,0.0,22.857,0.0,22.857,Cruz
Appanoose,Union / Udell,1.786,39.286,1.786,8.929,0.0,32.143,Cruz
Audubon,Precinct Two,11.25,39.375,1.875,8.125,0.0,25.0,Cruz
Audubon,Precinct One,7.009,33.645,0.467,20.093,0.0,27.57,Cruz
Benton,Kane-Keystone,8.824,11.765,0.0,17.647,0.0,41.176,Trump
Benton,Belle Plaine 3,8.696,54.348,0.0,10.87,0.0,23.913,Cruz
Benton,Bruce-Cedar-Mt Auburn,15.054,23.656,1.075,22.581,1.075,33.333,Trump
Benton,Big Grove-Union-Van Horne,4.167,44.444,6.944,15.278,0.0,20.833,Cruz
Benton,Eldorado-Newhall,11.111,34.722,2.778,4.167,0.0,33.333,Cruz
Benton,Florence-St Clair-Norway,6.742,47.191,2.247,10.112,1.124,26.966,Cruz
Benton,Fremont-Atkins,14.222,31.111,1.778,11.556,0.0,21.333,Cruz
Benton,Iowa-Leroy-Luzerne-Blairstown,4.808,32.692,0.962,23.077,0.962,28.846,Cruz
Benton,Belle Plaine 2,13.115,36.066,0.0,18.033,0.0,31.148,Cruz
Benton,Polk-Urbana,8.943,38.211,6.504,5.691,1.626,24.39,Cruz
Benton,Vinton 1,15.0,30.0,0.0,13.333,0.0,30.0,Trump
Benton,Vinton 2,2.703,29.73,0.0,8.108,5.405,37.838,Trump
Benton,Vinton 3,6.944,33.333,4.167,26.389,2.778,16.667,Cruz
Benton,Vinton 4,13.889,31.944,0.0,29.167,0.0,12.5,Cruz
Benton,Walford,12.245,36.735,0.0,28.571,0.0,16.327,Cruz
Benton,Homer-Monroe-Jackson-Garrison,1.695,38.983,0.0,13.559,0.0,42.373,Trump
Benton,Benton-Canton-Shellsburg,13.587,46.196,2.174,9.783,0.0,21.739,Cruz
Benton,Belle Plaine 1,16.667,26.19,0.0,21.429,0.0,23.81,Cruz
Benton,Eden-Harrison-Taylor,9.22,42.553,3.546,16.312,0.0,19.858,Cruz
Black Hawk,CF W5 P2,10.169,29.661,2.542,22.034,0.0,23.729,Cruz
Black Hawk,Cedar Orange,2.632,17.105,2.632,27.632,2.632,34.211,Trump
Black Hawk,Eagle,5.556,50.0,0.0,16.667,0.0,22.222,Cruz
Black Hawk,Evansdale W1,0.0,30.769,3.846,0.0,0.0,53.846,Trump
Black Hawk,Evansdale W3,0.0,24.0,4.0,16.0,0.0,48.0,Trump
Black Hawk,Evansdale W4,0.0,34.146,2.439,2.439,0.0,51.22,Trump
Black Hawk,Mt Vernon,7.246,31.884,0.0,23.188,0.0,26.087,Cruz
Black Hawk,Poyner P1 & East Wloo,12.0,32.0,2.0,14.0,0.0,30.0,Cruz
Black Hawk,Poyner P2 Fox Gilbert Jesup,0.0,45.07,0.0,22.535,0.0,22.535,Cruz
Black Hawk,Spring Creek,0.0,36.364,0.0,9.091,0.0,36.364,Trump
Black Hawk,Union,14.876,20.661,3.306,24.793,0.0,31.405,Trump
Black Hawk,Washington Janesville,21.429,23.214,0.0,16.071,0.0,32.143,Trump
Black Hawk,WL 1-2,9.244,31.092,0.0,22.689,0.0,24.37,Cruz
Black Hawk,WL 1-3,11.268,28.169,5.634,8.451,0.0,26.761,Cruz
Black Hawk,WL 1-4,7.547,24.528,2.83,18.868,0.0,33.019,Trump
Black Hawk,WL 1-5,8.14,37.209,1.163,12.791,1.163,27.907,Cruz
Black Hawk,WL 1-6,5.473,38.308,2.488,17.413,0.498,20.398,Cruz
Black Hawk,WL 2-1,3.896,16.883,9.091,18.182,0.0,16.883,Rubio
Black Hawk,WL 2-2,6.122,34.694,2.041,24.49,0.0,22.449,Cruz
Black Hawk,WL 2-3,9.677,22.581,3.226,19.355,1.613,22.581,Trump
Black Hawk,WL 2-4,6.803,35.374,2.041,14.966,0.0,26.531,Cruz
Black Hawk,WL 2-6,4.624,22.543,2.312,36.994,0.0,17.341,Rubio
Black Hawk,WL 3-1,3.333,15.0,0.0,36.667,0.0,30.0,Rubio
Black Hawk,Elk Run Heights & Raymond,6.579,17.105,0.0,14.474,0.0,56.579,Trump
Black Hawk,WL 3-3,11.111,22.222,0.0,11.111,0.0,55.556,Trump
Black Hawk,WL 3-4,6.25,31.25,0.0,25.0,0.0,18.75,Cruz
Black Hawk,WL 3-5,1.818,21.818,1.818,12.727,1.818,45.455,Trump
Black Hawk,WL 3-6,5.556,50.0,5.556,5.556,0.0,22.222,Cruz
Black Hawk,WL 4-1,0.0,33.333,0.0,0.0,0.0,66.667,Trump
Black Hawk,WL 4-2,36.364,9.091,0.0,9.091,0.0,36.364,Trump
Black Hawk,WL 4-3,0.0,42.105,5.263,10.526,0.0,15.789,Cruz
Black Hawk,WL 4-4,0.0,29.63,3.704,7.407,0.0,51.852,Trump
Black Hawk,WL 4-5,13.514,29.73,0.0,5.405,0.0,21.622,Cruz
Black Hawk,WL 4-6,0.0,45.455,0.0,21.212,0.0,30.303,Cruz
Black Hawk,WL 5-1,0.0,73.333,0.0,6.667,0.0,6.667,Cruz
Black Hawk,WL 5-2,11.111,41.667,2.778,13.889,0.0,11.111,Cruz
Black Hawk,WL 5-3,13.636,29.545,2.273,11.364,0.0,27.273,Cruz
Black Hawk,WL 5-4,8.235,20.0,3.529,35.294,0.0,25.882,Rubio
Black Hawk,WL 5-5,5.455,21.818,4.848,26.061,0.0,20.0,Rubio
Black Hawk,WL 5-6,16.514,20.183,0.917,18.349,0.0,30.275,Trump
Black Hawk,CF W1 P1,14.493,23.188,0.0,24.638,0.0,27.536,Trump
Black Hawk,CF W1 P2,9.375,20.313,1.563,40.625,0.0,15.104,Rubio
Black Hawk,CF W1 P3,15.126,12.605,1.681,31.092,0.0,21.849,Rubio
Black Hawk,CF W2 P1,10.811,20.27,1.351,31.081,0.0,17.568,Rubio
Black Hawk,CF W2 P2 & CF Twp,9.052,32.328,0.862,32.759,0.431,11.207,Rubio
Black Hawk,CF W2 P3,7.664,31.387,4.015,29.562,1.46,18.248,Cruz
Black Hawk,CF W3 P1,8.085,18.723,2.979,40.426,0.426,19.574,Rubio
Black Hawk,CF W3 P2,4.286,14.643,3.214,39.643,0.0,20.0,Rubio
Black Hawk,CF W3 P3,3.947,9.211,0.658,52.632,0.658,23.684,Rubio
Black Hawk,CF W4 P2,10.204,15.306,2.041,40.816,1.02,19.388,Rubio
Black Hawk,CF W4 P3,5.0,11.429,0.0,54.286,0.0,17.143,Rubio
Black Hawk,CF W5 P1,7.432,25.0,2.703,31.081,0.0,20.946,Rubio
Black Hawk,Black Hawk Hudson Lincoln,11.644,34.589,3.082,20.205,1.027,12.329,Cruz
Black Hawk,CF W5 P3,12.903,23.502,2.304,29.032,0.922,21.198,Rubio
Black Hawk,CF W4 P1,22.368,26.316,2.632,17.763,0.0,19.737,Cruz
Black Hawk,Barclay Lester Dunkerton,9.524,34.127,2.381,22.222,0.0,19.841,Cruz
Black Hawk,Bennington,6.977,32.558,0.0,30.233,0.0,20.93,Cruz
Black Hawk,Big Creek La Porte,4.839,42.742,0.806,20.161,0.806,24.194,Cruz
Black Hawk,Evansdale W2,0.0,38.71,0.0,9.677,0.0,38.71,Trump
Black Hawk,WL 1-1,7.143,44.898,0.0,12.245,0.0,24.49,Cruz
Black Hawk,WL 2-5,6.522,31.522,2.174,22.826,0.0,31.522,Trump
Black Hawk,WL 3-2,10.638,34.043,6.383,17.021,0.0,23.404,Cruz
Boone,Ogden,7.895,35.965,0.877,23.684,0.877,21.053,Cruz
Boone,Rural Precinct 2,20.126,27.044,0.0,13.836,0.0,32.704,Trump
Boone,Rural Precinct 3,12.903,24.194,1.613,20.968,0.0,24.194,Trump
Boone,Rural Precinct 4,6.404,33.498,0.493,26.108,2.956,23.153,Cruz
Boone,Rural Precinct 5,4.255,34.043,0.0,2.128,4.255,40.426,Trump
Boone,Rural Precinct 6,8.176,36.478,0.0,19.497,0.629,18.239,Cruz
Boone,Rural Precinct 1,10.638,35.106,1.064,20.213,0.0,15.957,Cruz
Boone,Boone 2nd Ward,12.27,26.994,0.0,15.951,0.613,25.767,Cruz
Boone,Boone 3rd Ward,8.824,28.235,0.588,24.706,0.588,15.882,Cruz
Boone,Boone 4th Ward,8.046,32.184,0.0,16.667,2.874,23.563,Cruz
Boone,Boone 5th Ward,7.143,32.143,0.0,13.393,0.893,32.143,Trump
Boone,Madrid 1st Ward,7.273,29.091,0.0,7.273,0.0,38.182,Trump
Boone,Madrid 2nd Ward,6.944,30.556,0.0,16.667,0.0,23.611,Cruz
Boone,Madrid 3rd Ward,3.636,36.364,0.0,12.727,0.0,25.455,Cruz
Boone,Boone 1st Ward,18.487,42.017,1.681,15.966,0.84,10.924,Cruz
