c,p,Clinton,O'Malley,Sanders,Uncommitted,w
Johnson,CEDAR TOWNSHIP,0,0,100,0,Sanders
Johnson,IOWA CITY 03,16.667,0,83.333,0,Sanders
Johnson,NORTH LIBERTY 04,50,0,50,0,Sanders
Johnson,NORTH LIBERTY 05,33.333,0,66.667,0,Sanders
Johnson,NL06/MADISON /CCN,37.5,0,62.5,0,Sanders
Johnson,NEWPORT TOWNSHIP,57.143,0,42.857,0,Clinton
Johnson,UNION TOWNSHIP,50,0,50,0,Sanders
Johnson,WASHINGTON TOWNSHIP,0,0,100,0,Sanders
Johnson,IOWA CITY 04,50,0,50,0,Sanders
Johnson,IOWA CITY 05,16.667,0,83.333,0,Sanders
Johnson,IOWA CITY 06,50,0,50,0,Sanders
Johnson,IOWA CITY 07,50,0,50,0,Sanders
Johnson,BIG GROVE TOWNSHIP,50,25,25,0,Clinton
Johnson,CLEAR CREEK/TIFFIN,33.333,0,66.667,0,Sanders
Johnson,CORALVILLE 01,28.571,0,71.429,0,Sanders
Johnson,CORALVILLE 02,57.143,0,42.857,0,Clinton
Johnson,CORALVILLE 03,50,0,50,0,Sanders
Johnson,CORALVILLE 04,28.571,0,71.429,0,Sanders
Johnson,CORALVILLE 05,42.857,0,57.143,0,Sanders
Johnson,CORALVILLE 06,57.143,0,42.857,0,Clinton
Johnson,CORALVILLE 07,50,0,50,0,Sanders
Johnson,GRAHAM TOWNSHIP,0,0,100,0,Sanders
Johnson,HARDIN TOWNSHIP,0,0,100,0,Sanders
Johnson,HILLS,50,0,50,0,Sanders
Johnson,IOWA CITY 01,54.545,0,45.455,0,Clinton
Johnson,IOWA CITY 02,44.444,0,55.556,0,Sanders
Johnson,IOWA CITY 13,28.571,0,71.429,0,Sanders
Johnson,IOWA CITY 14,33.333,0,66.667,0,Sanders
Johnson,IOWA CITY 15,33.333,0,66.667,0,Sanders
Johnson,IOWA CITY 16,40,0,60,0,Sanders
Johnson,IOWA CITY 17,33.333,0,66.667,0,Sanders
Johnson,IOWA CITY 18,33.333,0,66.667,0,Sanders
Johnson,FREMONT-LINCOLN,50,0,50,0,Sanders
Johnson,IOWA CITY 19,0,0,100,0,Sanders
Johnson,IOWA CITY 20,14.286,0,85.714,0,Sanders
Johnson,IOWA CITY 21,22.222,0,77.778,0,Sanders
Johnson,IOWA CITY 22,42.857,0,57.143,0,Sanders
Johnson,IOWA CITY 23,45.455,0,54.545,0,Sanders
Johnson,IOWA CITY 24,50,0,50,0,Sanders
Johnson,IOWA CITY 08,62.5,0,37.5,0,Clinton
Johnson,JW/MN/SW,40,0,60,0,Sanders
Johnson,LIBERTY-PLEASANT VALLEY,50,0,50,0,Sanders
Johnson,NORTH LIBERTY 01,33.333,0,66.667,0,Sanders
Johnson,NORTH LIBERTY 02,33.333,0,66.667,0,Sanders
Johnson,OXFORD TOWNSHIP/OXFORD,50,0,50,0,Sanders
Johnson,PENN/ EAST LUCAS NORTH,55.556,0,44.444,0,Clinton
Johnson,SCOTT TWP-WEST BRANCH,50,0,50,0,Sanders
Johnson,SHARON TOWNSHIP,100,0,0,0,Clinton
Johnson,SOLON,40,0,60,0,Sanders
Johnson,UNIVERSITY HEIGHTS,50,0,50,0,Sanders
Johnson,WEST LUCAS TOWNSHIP,33.333,0,66.667,0,Sanders
Johnson,IOWA CITY 09,44.444,0,55.556,0,Sanders
Johnson,IC 10/ELSW,33.333,0,66.667,0,Sanders
Johnson,IOWA CITY 11,16.667,0,83.333,0,Sanders
Johnson,IC 12/EAST LUCAS SE,37.5,0,62.5,0,Sanders
Johnson,JEFFERSON EAST/SHUEYVILLE,60,0,40,0,Clinton
Johnson,NORTH LIBERTY 03 (PW),50,0,50,0,Sanders
Linn,Marion 13,33.333,0,66.667,0,Sanders
Linn,Marion 2,33.333,0,66.667,0,Sanders
Linn,Marion 7,50,0,50,0,Sanders
Linn,Marion 8,40,0,60,0,Sanders
Linn,Marion 9,50,0,50,0,Sanders
Linn,Marion 10,50,0,50,0,Sanders
Linn,Hiawatha 3,100,0,0,0,Clinton
Linn,Hiawatha 2,50,0,50,0,Sanders
Linn,Hiawatha 1,60,0,40,0,Clinton
Linn,Marion 14,50,0,50,0,Sanders
Linn,Mount Vernon north,66.667,0,33.333,0,Clinton
Linn,Cedar Rapids 5,50,0,50,0,Sanders
Linn,Cedar Rapids 10,50,0,50,0,Sanders
Linn,Cedar Rapids 11,50,0,50,0,Sanders
Linn,Cedar Rapids 44,33.333,0,66.667,0,Sanders
Linn,Cedar Rapids 12,60,0,40,0,Clinton
Linn,Cedar Rapids 13,40,0,60,0,Sanders
Linn,Cedar Rapids 14,50,0,50,0,Sanders
Linn,Fairfax City,33.333,0,66.667,0,Sanders
Linn,Cedar Rapids 15,50,0,50,0,Sanders
Linn,Cedar Rapids 16,40,0,60,0,Sanders
Linn,Putnam,50,0,50,0,Sanders
Linn,Otter Creek,50,0,50,0,Sanders
