c,p,Clinton,O'Malley,Sanders,Uncommitted,w
Adair,1NW,44.444,0.0,55.556,0.0,Sanders
Adair,2NE,54.545,0.0,45.455,0.0,Clinton
Adair,3SW,55.556,0.0,44.444,0.0,Clinton
Adair,4SE,70.0,0.0,30.0,0.0,Clinton
Adair,5GF,54.545,0.0,45.455,0.0,Clinton
Adams,Adams 1,50.0,0.0,50.0,0.0,Sanders
Adams,Adams 2,66.667,0.0,33.333,0.0,Clinton
Adams,Adams 3,57.143,0.0,42.857,0.0,Clinton
Adams,Adams 4,50.0,0.0,50.0,0.0,Sanders
Adams,Adams 5,60.0,0.0,40.0,0.0,Clinton
Allamakee,Pct 1 - WL/HV,33.333,0.0,66.667,0.0,Sanders
Allamakee,Pct 10 - Waukon 2,44.444,0.0,55.556,0.0,Sanders
Allamakee,Pct 11 - Waukon 3,71.429,0.0,28.571,0.0,Clinton
Allamakee,Pct 2 - FC/JF/LL/MK/UP,41.667,0.0,58.333,0.0,Sanders
Allamakee,Pct 3 - PO/FK,0.0,0.0,100.0,0.0,Sanders
Allamakee,Pct 4 - PV City,60.0,0.0,40.0,0.0,Clinton
Allamakee,Pct 5 - LT/PC/WV City,50.0,0.0,50.0,0.0,Sanders
Allamakee,Pct 6 - FV/TL/HF City,66.667,0.0,33.333,0.0,Clinton
Allamakee,Pct 7 - CN/LF/LS/LS City,50.0,0.0,50.0,0.0,Sanders
Allamakee,Pct 8 - IA/UC/NA City,25.0,0.0,75.0,0.0,Sanders
Allamakee,Pct 9 - Waukon 1,75.0,0.0,25.0,0.0,Clinton
Appanoose,Bellair/Lincoln,75.0,0.0,25.0,0.0,Clinton
Appanoose,Centerville Ward 1,63.636,0.0,36.364,0.0,Clinton
Appanoose,Johns/Independence,66.667,0.0,33.333,0.0,Clinton
Appanoose,Pleasant/Franklin,60.0,0.0,40.0,0.0,Clinton
Appanoose,Taylor/Chariton,71.429,0.0,28.571,0.0,Clinton
Appanoose,Vermillion/Douglas/Sharon,50.0,0.0,50.0,0.0,Sanders
Appanoose,Walnut Township,50.0,0.0,50.0,0.0,Sanders
Appanoose,Washington/Wells,60.0,0.0,40.0,0.0,Clinton
Appanoose,Centerville Ward 2,33.333,0.0,66.667,0.0,Sanders
Appanoose,Centerville Ward 3,50.0,0.0,50.0,0.0,Sanders
Appanoose,Caldwell Township,33.333,0.0,66.667,0.0,Sanders
Appanoose,Union / Udell,66.667,0.0,33.333,0.0,Clinton
Audubon,Precinct Two,63.158,0.0,36.842,0.0,Clinton
Audubon,Precinct One,61.905,0.0,38.095,0.0,Clinton
Benton,Vinton 2,66.667,0.0,33.333,0.0,Clinton
Benton,Florence-St Clair-Norway,60.0,0.0,40.0,0.0,Clinton
Benton,Fremont-Atkins,57.143,0.0,42.857,0.0,Clinton
Benton,Homer-Monroe-Jackson-Garrison,66.667,0.0,33.333,0.0,Clinton
Benton,Iowa-Leroy-Luzerne-Blairstown,50.0,0.0,50.0,0.0,Sanders
Benton,Kane-Keystone,50.0,0.0,50.0,0.0,Sanders
Benton,Polk-Urbana,62.5,0.0,37.5,0.0,Clinton
Benton,Vinton 1,50.0,0.0,50.0,0.0,Sanders
Benton,Eldorado-Newhall,50.0,0.0,50.0,0.0,Sanders
Benton,Vinton 3,50.0,0.0,50.0,0.0,Sanders
Benton,Vinton 4,50.0,0.0,50.0,0.0,Sanders
Benton,Walford,66.667,0.0,33.333,0.0,Clinton
Benton,Belle Plaine 3,50.0,0.0,50.0,0.0,Sanders
Benton,Belle Plaine 2,50.0,0.0,50.0,0.0,Sanders
Benton,Belle Plaine 1,33.333,0.0,66.667,0.0,Sanders
Benton,Big Grove-Union-Van Horne,33.333,0.0,66.667,0.0,Sanders
Benton,Bruce-Cedar-Mt Auburn,50.0,0.0,50.0,0.0,Sanders
Benton,Eden-Harrison-Taylor,75.0,0.0,25.0,0.0,Clinton
Benton,Benton-Canton-Shellsburg,62.5,0.0,37.5,0.0,Clinton
Black Hawk,WL 4-3,60.0,0.0,40.0,0.0,Clinton
Black Hawk,Evansdale W4,25.0,0.0,75.0,0.0,Sanders
Black Hawk,Mt Vernon,50.0,0.0,50.0,0.0,Sanders
Black Hawk,Poyner P1 & East Wloo,33.333,0.0,66.667,0.0,Sanders
Black Hawk,Poyner P2 Fox Gilbert Jesup,50.0,0.0,50.0,0.0,Sanders
Black Hawk,Spring Creek,100.0,0.0,0.0,0.0,Clinton
Black Hawk,Union,50.0,0.0,50.0,0.0,Sanders
Black Hawk,Washington Janesville,50.0,0.0,50.0,0.0,Sanders
Black Hawk,WL 1-1,37.5,0.0,62.5,0.0,Sanders
Black Hawk,WL 1-2,42.857,0.0,57.143,0.0,Sanders
Black Hawk,WL 1-3,25.0,0.0,75.0,0.0,Sanders
Black Hawk,CF W5 P3,50.0,0.0,50.0,0.0,Sanders
Black Hawk,CF W5 P2,44.444,0.0,55.556,0.0,Sanders
Black Hawk,CF W5 P1,50.0,0.0,50.0,0.0,Sanders
Black Hawk,CF W4 P3,0.0,0.0,83.333,16.667,Sanders
Black Hawk,CF W4 P2,28.571,0.0,71.429,0.0,Sanders
Black Hawk,CF W4 P1,40.0,0.0,60.0,0.0,Sanders
Black Hawk,CF W3 P3,16.667,0.0,83.333,0.0,Sanders
Black Hawk,CF W3 P2,44.444,0.0,55.556,0.0,Sanders
Black Hawk,CF W3 P1,42.857,0.0,57.143,0.0,Sanders
Black Hawk,CF W2 P3,54.545,0.0,45.455,0.0,Clinton
Black Hawk,CF W2 P2 & CF Twp,33.333,0.0,66.667,0.0,Sanders
Black Hawk,CF W2 P1,33.333,0.0,66.667,0.0,Sanders
Black Hawk,CF W1 P3,30.0,0.0,70.0,0.0,Sanders
Black Hawk,Evansdale W2,50.0,0.0,50.0,0.0,Sanders
Black Hawk,CF W1 P2,41.667,0.0,58.333,0.0,Sanders
Black Hawk,Evansdale W1,50.0,0.0,50.0,0.0,Sanders
Black Hawk,Eagle,100.0,0.0,0.0,0.0,Clinton
Black Hawk,Elk Run Heights & Raymond,57.143,0.0,42.857,0.0,Clinton
Black Hawk,Big Creek La Porte,42.857,0.0,57.143,0.0,Sanders
Black Hawk,Bennington,100.0,0.0,0.0,0.0,Clinton
Black Hawk,Barclay Lester Dunkerton,40.0,0.0,60.0,0.0,Sanders
Black Hawk,Black Hawk Hudson Lincoln,66.667,0.0,33.333,0.0,Clinton
Black Hawk,Cedar Orange,42.857,0.0,57.143,0.0,Sanders
Black Hawk,WL 1-4,37.5,0.0,62.5,0.0,Sanders
Black Hawk,WL 1-5,42.857,0.0,57.143,0.0,Sanders
Black Hawk,WL 1-6,57.143,0.0,42.857,0.0,Clinton
Black Hawk,WL 2-1,60.0,0.0,40.0,0.0,Clinton
Black Hawk,WL 2-2,50.0,0.0,50.0,0.0,Sanders
Black Hawk,WL 2-3,44.444,0.0,55.556,0.0,Sanders
Black Hawk,WL 2-4,54.545,0.0,45.455,0.0,Clinton
Black Hawk,WL 2-5,37.5,12.5,50.0,0.0,Sanders
Black Hawk,WL 2-6,42.857,0.0,57.143,0.0,Sanders
Black Hawk,WL 3-1,57.143,0.0,42.857,0.0,Clinton
Black Hawk,WL 3-2,66.667,0.0,33.333,0.0,Clinton
Black Hawk,WL 3-3,71.429,0.0,28.571,0.0,Clinton
Black Hawk,WL 3-4,50.0,0.0,50.0,0.0,Sanders
Black Hawk,WL 3-5,27.273,0.0,72.727,0.0,Sanders
Black Hawk,WL 3-6,16.667,0.0,83.333,0.0,Sanders
Black Hawk,WL 4-1,100.0,0.0,0.0,0.0,Clinton
Black Hawk,WL 4-2,85.714,0.0,14.286,0.0,Clinton
Black Hawk,Evansdale W3,33.333,0.0,66.667,0.0,Sanders
Black Hawk,WL 4-4,37.5,0.0,62.5,0.0,Sanders
Black Hawk,WL 4-5,72.727,0.0,27.273,0.0,Clinton
Black Hawk,WL 4-6,40.0,0.0,60.0,0.0,Sanders
Black Hawk,WL 5-1,40.0,0.0,60.0,0.0,Sanders
Black Hawk,CF W1 P1,42.857,0.0,57.143,0.0,Sanders
Black Hawk,WL 5-3,28.571,0.0,71.429,0.0,Sanders
Black Hawk,WL 5-4,50.0,0.0,50.0,0.0,Sanders
