Business,Year,Minimum Investment,City Incentives,Assessment,Terms,Jobs created,Jobs retained,Other Community Benefit
Amtek,2012,600000,130000,1983800,URTE,14,45,Expansion of local business
GRR-DTE -Sullivan Bank,2012,6000000,750000,7000000,10 years at 100%,25,0,Historic property; downtown housing
The Fountains,2012,35000000,3700000,26000000,5 years at 100%,300,0,Class A office construction
Pinnacle Engineering,2012,1026000,150000,792200,URTE,7,24,Expansion of local business
Intermec,2012,12500000,1100000,6343900,10 years at 50%,0,200,Reinvestment in downtown
600 3rd Ave SE,2012,5400000,1024000,4832400,10 years at 75%,9,106,Reinvestment in downtown
Raining Rose,2012,7750000,676385,7887400,5 years at 100%,15,97,Reuse of brownfield property
Westdale*,2013,90000000,11675501,60000000,14 years at 100%,500,0,"Redevelopment of declining mall, new jobs"
NADTA (CRST Truck Training),2013,2800000,270000,3997100,URTE,0,0,Expansion of local business
Great Furniture Mart,2013,5330000,1500000,3500000,10 years at 100%,0,0,Core housing
Edgewood Station,2013,2200000,147000,1384400,URTE,0,0,new jobs
Diamond V Mills,2013,4500000,230000,7961300,5 years at 100%,12,98,Expansion of local business
West Side Transport,2013,13250000,1400000,9275000,URTE,250,450,Expansion of local business
Bowling Street Flex Space,2013,4700000,480000,1234400,URTE,77,0,Facility-type new to the market
Great Furniture Mart,2013,0,1330000,0,10 years at 100%,0,0,Historic property: downtown housing
Geonetric,2013,4500000,1200000,4122300,10 years at 100%,0,60,Expansion of local business
Acme Graphics,2013,1400000,137734,1148100,5 years at 100%,2,17,Flood-impacted business
RuffaloCODY,2013,15000000,1034000,13179400,URTE,0,0,Expansion of local business
Armar Ventures,2014,800000,95000,941500,URTE,0,0,redevelopment of strip mall
Acme Electric,2014,1500000,357000,213400,URTE,0,0,core district housing
Auxiant,2014,1825000,220000,1189900,URTE,0,0,"downtown reinvestment, expansion of local business"
Fleck Sales,2014,2000000,235000,6621700,URTE,0,0,expansion of local business
1612 Development LLC,2014,350000,36652,148600,URTE,0,0,core district housing
Kingston Village,2014,9766000,836000,5000000,URTE,0,0,core district housing
CRST,2014,31000000,8350000,18000000,"100% Up to $8,350,000 (NPV)",80,0,"Expansion of local business, downtown reinvestment, floodwall"
Green Develoment Sokol,2014,2500000,665000,576000,10 years at 75%,12,0,"Historic Preservation, core district housing"
Commonwealth,2014,12992649,264000,2000000,URTE,0,0,"Historic Preservation, core district housing"
Kenworth,2014,4200000,433840,2922500,URTE,0,0,expansion of local business in target industry
Coventry Lofts,2014,4450000,1183700,1720000,,0,0,"Adaptive reuse, core district housing"
NewBo Station,2014,4000000,1064000,2800000,10 years at 100%,12,0,"Core district housing, new jobs"
Cornerhouse,2014,6000000,1074200,4200000,URTE,0,0,grayfield redevelopment
Northtowne Market,2014,16000000,2128000,10400000,5 years at 100% (each building),60,0,"brownfield/grayfield redevelopment, new jobs"
New Pioneer,2014,5500000,731500,1289800,5 years at 100%,50,0,"new jobs, adaptive reuse"
Apache Hose,2015,7310000,683700,7200000,5 years at 100%,15,27,"Local business expansion, new jobs"
Mott Building,2015,4661257,1123989,900000,URTE,0,0,"Historic Preservation, core distric housing"
Iowa Brewing,2015,2611000,52668,315000,URTE,16,,"Downtown Reinvestment, new jobs"
Water Rock,2015,11000000,1287440,5600000,URTE,0,0,brownfield redevelopment
Cornerstone Place,2015,13000000,3458000,2300000,URTE,0,0,"Historic presrevation, adaptive reuse, core district housing"
Kingston Pointe,2015,5900000,1569400,1920000,URTE,0,0,Core district housing
Monroe School,2015,3500000,931000,4100000,URTE,0,0,"historic preservation, workforce housing"
Oakhill Villages,2015,558000,148428,531000,URTE,0,0,Core district housing
Sanctuary at Ellis,2015,4200000,1239894,3830000,URTE,0,0,Core district housing
The Depot,2015,17000000,5426400,11900000,12 years at 100%,100,0,"Brownfield Redevelopment, core district housing"
MidAmerican Aerospace,2015,5000000,585200,5000000,URTE,0,40,adaptive reuse of strip center
Cedar Rapids Day School,2015,3500000,480000,1750000,10 years at 50%,15,0,"Downtown Reinvestment, new jobs"
Lofts at Red Cedar,2015,9200000,1509250,6500000,URTE,0,0,Downtown Housing
Cona & KN Properties,2015,750000,87780,845000,URTE,35,0,"Downtown Reinvestment, new jobs"
Mercy Care,2015,10300000,10300000,7200000,URTE,28,0,New High Quality Jobs
The National,2015,2600000,2600000,950000,URTE,15,0,"core district reinvestment, grayfield redevelopment"
42nd & Edgewood,2015,12000000,1596000,8400000,5 years at 100%,85,0,New High Quality Jobs
Center Point Apartments,2015,5500000,350000,3300000,"$35,000 annually for 10-years",0,0,"Core housing, stormwater mitigation for McCloud Run"
Creekside Apartments,2015,5500000,350000,3300000,"$35,000 annually for 10-years",0,0,"Core housing, stormwater mitigation for McCloud Run"
Miron Construction,2015,4000000,510245,2500000,10-years at 75%,14,4,"LEED Certified, New Jobs"
Smulekoffs Building,2015,15000000,1229743,4500000,10 years at 100%,50,0,"Historic Preservation, downtown housing"
Rowell Hardware,2016,500000,40000,210000,10-years at 75%,4,0,Historic Preservation
Green Development 12th Ave,2016,240000,20000,120000,5 years at 100%,4,0,Historic Preservation
OPC Allan Investments,2016,500000,40000,306900,5 years at 100%,4,0,Historic Preservation
Vspec LLC (IGD Industries),2016,3600000,174606,2800000,URTE,30,50,Expansion of local business
Thompson Truck and Trailer,2016,8300000,660000,4350000,URTE,10,34,"Expansion of local business in target industry, new jobs"
Ideal Theatre,2016,700000,20000,215000,URTE,0,0,Historic Preservation
The Gardens CCRC,2016,16000000,727000,8700000,4 years at 50%,80,0,New skilled care nursing units
Knutson Building,2016,7000000,500000,,10 years at 100%,,,"Historic Preservation, core housing"
