Business,City incentives,Business investment,Assessment,Jobs created,Jobs retained,Community benefit
Westdale,"$11,675,501","$90,000,000","$60,000,000",500,0,"Redevelopment of declining mall, new jobs"
Mercy Care,"$10,300,000","$10,300,000","$7,200,000",28,0,New High Quality Jobs
CRST,"$8,350,000","$31,000,000","$18,000,000",80,0,"Expansion of local business, downtown reinvestment, floodwall"
The Depot,"$5,426,400","$17,000,000","$11,900,000",100,0,"Brownfield Redevelopment, core district housing"
The Fountains,"$3,700,000","$35,000,000","$26,000,000",300,0,Class A office construction
Cornerstone Place,"$3,458,000","$13,000,000","$2,300,000",0,0,"Historic presrevation, adaptive reuse, core district housing"
The National,"$2,600,000","$2,600,000","$950,000",15,0,"core district reinvestment, grayfield redevelopment"
Northtowne Market,"$2,128,000","$16,000,000","$10,400,000",60,0,"brownfield/grayfield redevelopment, new jobs"
42nd & Edgewood,"$1,596,000","$12,000,000","$8,400,000",85,0,New High Quality Jobs
Kingston Pointe,"$1,569,400","$5,900,000","$1,920,000",0,0,Core district housing
Lofts at Red Cedar,"$1,509,250","$9,200,000","$6,500,000",0,0,Downtown Housing
Great Furniture Mart,"$1,500,000","$5,330,000","$3,500,000",0,0,Core housing
West Side Transport,"$1,400,000","$13,250,000","$9,275,000",250,450,Expansion of local business
Great Furniture Mart,"$1,330,000",$0,$0,0,0,Historic property: downtown housing
Water Rock,"$1,287,440","$11,000,000","$5,600,000",0,0,brownfield redevelopment
Sanctuary at Ellis,"$1,239,894","$4,200,000","$3,830,000",0,0,Core district housing
Smulekoffs Building,"$1,229,743","$15,000,000","$4,500,000",50,0,"Historic Preservation, downtown housing"
Geonetric,"$1,200,000","$4,500,000","$4,122,300",0,60,Expansion of local business
Coventry Lofts,"$1,183,700","$4,450,000","$1,720,000",0,0,"Adaptive reuse, core district housing"
Mott Building,"$1,123,989","$4,661,257","$900,000",0,0,"Historic Preservation, core distric housing"
Intermec,"$1,100,000","$12,500,000","$6,343,900",0,200,Reinvestment in downtown
Cornerhouse,"$1,074,200","$6,000,000","$4,200,000",0,0,grayfield redevelopment
NewBo Station,"$1,064,000","$4,000,000","$2,800,000",12,0,"Core district housing, new jobs"
RuffaloCODY,"$1,034,000","$15,000,000","$13,179,400",0,0,Expansion of local business
600 3rd Ave SE,"$1,024,000","$5,400,000","$4,832,400",9,106,Reinvestment in downtown
Monroe School,"$931,000","$3,500,000","$4,100,000",0,0,"historic preservation, workforce housing"
Kingston Village,"$836,000","$9,766,000","$5,000,000",0,0,core district housing
GRR-DTE -Sullivan Bank,"$750,000","$6,000,000","$7,000,000",25,0,Historic property; downtown housing
New Pioneer,"$731,500","$5,500,000","$1,289,800",50,0,"new jobs, adaptive reuse"
The Gardens CCRC,"$727,000","$16,000,000","$8,700,000",80,0,New skilled care nursing units
Apache Hose,"$683,700","$7,310,000","$7,200,000",15,27,"Local business expansion, new jobs"
Raining Rose,"$676,385","$7,750,000","$7,887,400",15,97,Reuse of brownfield property
Green Develoment Sokol,"$665,000","$2,500,000","$576,000",12,0,"Historic Preservation, core district housing"
Thompson Truck and Trailer,"$660,000","$8,300,000","$4,350,000",10,34,"Expansion of local business in target industry, new jobs"
MidAmerican Aerospace,"$585,200","$5,000,000","$5,000,000",0,40,adaptive reuse of strip center
Miron Construction,"$510,245","$4,000,000","$2,500,000",14,4,"LEED Certified, New Jobs"
Knutson Building,"$500,000","$7,000,000",,,,"Historic Preservation, core housing"
Bowling Street Flex Space,"$480,000","$4,700,000","$1,234,400",77,0,Facility-type new to the market
Cedar Rapids Day School,"$480,000","$3,500,000","$1,750,000",15,0,"Downtown Reinvestment, new jobs"
Kenworth,"$433,840","$4,200,000","$2,922,500",0,0,expansion of local business in target industry
Acme Electric,"$357,000","$1,500,000","$213,400",0,0,core district housing
Center Point Apartments,"$350,000","$5,500,000","$3,300,000",0,0,"Core housing, stormwater mitigation for McCloud Run"
Creekside Apartments,"$350,000","$5,500,000","$3,300,000",0,0,"Core housing, stormwater mitigation for McCloud Run"
NADTA (CRST Truck Training),"$270,000","$2,800,000","$3,997,100",0,0,Expansion of local business
Commonwealth,"$264,000","$12,992,649","$2,000,000",0,0,"Historic Preservation, core district housing"
Fleck Sales,"$235,000","$2,000,000","$6,621,700",0,0,expansion of local business
Diamond V Mills,"$230,000","$4,500,000","$7,961,300",12,98,Expansion of local business
Auxiant,"$220,000","$1,825,000","$1,189,900",0,0,"downtown reinvestment, expansion of local business"
Vspec LLC (IGD Industries),"$174,606","$3,600,000","$2,800,000",30,50,Expansion of local business
Pinnacle Engineering,"$150,000","$1,026,000","$792,200",7,24,Expansion of local business
Oakhill Villages,"$148,428","$558,000","$531,000",0,0,Core district housing
Edgewood Station,"$147,000","$2,200,000","$1,384,400",0,0,new jobs
Acme Graphics,"$137,734","$1,400,000","$1,148,100",2,17,Flood-impacted business
Amtek,"$130,000","$600,000","$1,983,800",14,45,Expansion of local business
Armar Ventures,"$95,000","$800,000","$941,500",0,0,redevelopment of strip mall
Cona & KN Properties,"$87,780","$750,000","$845,000",35,0,"Downtown Reinvestment, new jobs"
Iowa Brewing,"$52,668","$2,611,000","$315,000",16,,"Downtown Reinvestment, new jobs"
Rowell Hardware,"$40,000","$500,000","$210,000",4,0,Historic Preservation
OPC Allan Investments,"$40,000","$500,000","$306,900",4,0,Historic Preservation
1612 Development LLC,"$36,652","$350,000","$148,600",0,0,core district housing
Green Development 12th Ave,"$20,000","$240,000","$120,000",4,0,Historic Preservation
Ideal Theatre,"$20,000","$700,000","$215,000",0,0,Historic Preservation
