GIS_Number_valuations,Map_Name_valuations,Class_valuations,2009 Land,2009 Dwlg,2009 Improv,2009 Total
112625100100000,E-40 CHURCHES,Exempt,464400,0,473197,937597
112625100200000,E-40 CHURCHES,Exempt,663984,0,4315690,4979674
112630300100000,NE 160,Residential,30870,172518,0,203388
112630300200000,NE 160,Residential,29734,203234,0,232968
112630300300000,NE 160,Residential,29070,201623,0,230693
112630400100000,NE 160,Residential,30345,265629,0,295974
112630400200000,NE 160,Residential,28560,207729,0,236289
112630400300000,NE 160,Residential,28666,206749,0,235415
112630400400000,NE 160,Residential,29988,214093,0,244081
112630400500000,NE 160,Residential,28882,199796,0,228678
112630400600000,NE 160,Residential,28759,211755,0,240514
112630400700000,NE 160,Residential,26600,192780,0,219380
112630400800000,NE 160,Residential,28000,205942,0,233942
112630400900000,NE 160,Residential,29506,225199,0,254705
112630401000000,NE 160,Residential,29144,224583,0,253727
112630401100000,NE 160,Residential,30366,173280,0,203646
112630401200000,NE 160,Residential,30607,166124,0,196731
112630500100000,NE 160,Residential,30576,248512,0,279088
112630500200000,NE 160,Residential,28657,200902,0,229559
112630500300000,NE 160,Residential,28935,197751,0,226686
112630500400000,NE 160,Residential,29988,211315,0,241303
112630500500000,NE 160,Residential,28560,197722,0,226282
112630500600000,NE 160,Residential,28560,192547,0,221107
112630500700000,NE 160,Residential,32779,197321,0,230100
112630600100000,NE 160,Residential,29404,200887,0,230291
112630600200000,NE 160,Residential,29447,220322,0,249769
112630600300000,NE 160,Residential,29125,194015,0,223140
112630600400000,NE 160,Residential,30329,246307,0,276636
112630600500000,NE 160,Residential,30031,189671,0,219702
112630600600000,NE 160,Residential,26375,196849,0,223224
112630600700000,NE 160,Residential,28546,233350,0,261896
112630600800000,NE 160,Residential,27849,235211,0,263060
112630600900000,NE 160,Residential,29400,208027,0,237427
112630601000000,NE 160,Residential,26600,205368,0,231968
112630601100000,NE 160,Residential,29400,255602,0,285002
112630601200000,NE 160,Residential,28000,228437,0,256437
112630601300000,NE 160,Residential,26600,231804,0,258404
112630601400000,NE 160,Residential,29050,241151,0,270201
112630601500000,NE 160,Residential,27687,213819,0,241506
112630601600000,NE 160,Residential,29458,217976,0,247434
112630601700000,NE 160,Residential,26781,199675,0,226456
112630601800000,NE 160,Residential,27776,232483,0,260259
112630601900000,NE 160,Residential,30048,188895,0,218943
112630700100000,NE 160,Residential,30941,191148,0,222089
112632700100000,NE 160,Residential,29747,220426,0,250173
112632700200000,NE 160,Residential,31468,237118,0,268586
112632700300000,NE 160,Residential,31890,226275,0,258165
112632700400000,NE 160,Residential,27573,206567,0,234140
112632700500000,NE 160,Residential,28881,203278,0,232159
112632700600000,NE 160,Residential,28952,202022,0,230974
112632700700000,NE 160,Residential,27927,173651,0,201578
112632700800000,NE 160,Residential,29694,185189,0,214883
112632700900000,NE 160,Residential,29610,199394,0,229004
112632701000000,NE 160,Residential,29121,171081,0,200202
112632701100000,NE 160,Residential,27846,193331,0,221177
112632701200000,NE 160,Residential,29000,223586,0,252586
112632701300000,NE 160,Residential,28960,208551,0,237511
112632701400000,NE 160,Residential,30560,207874,0,238434
112632701500000,NE 160,Residential,28560,218297,0,246857
112632701600000,NE 160,Residential,29506,208149,0,237655
112632701700000,NE 160,Residential,28960,271061,0,300021
112632701800000,NE 160,Residential,26081,225486,0,251567
112632701900000,NE 160,Residential,29299,279991,0,309290
112632702000000,NE 160,Residential,28720,195528,0,224248
112632702100000,NE 160,Residential,28885,239073,0,267958
112632702200000,NE 160,Residential,26866,181101,0,207967
112632702300000,NE 160,Residential,29694,205621,0,235315
112632702400000,NE 160,Residential,29826,259838,0,289664
112632800100000,NE 160,Residential,30245,213872,0,244117
112632800200000,NE 160,Residential,71200,39154,0,110354
112632800300000,NE 160,Residential,55350,6396,0,61746
112632800400000,NE 160,Residential,53450,166033,0,219483
112632800500000,NE 160,Residential,30594,184248,0,214842
112632800600000,NE 160,Residential,30154,236359,0,266513
112632800700000,NE 160,Residential,28560,184962,0,213522
112632800800000,NE 160,Residential,30345,208950,0,239295
112632800900000,NE 160,Residential,29850,216440,0,246290
112632801000000,NE 160,Residential,32523,212477,0,245000
112632801100000,NE 160,Residential,30358,223820,0,254178
112632801200000,NE 160,Residential,29960,203356,0,233316
112632801300000,NE 160,Residential,30749,237950,0,268699
112632801400000,NE 160,Residential,29753,267752,0,297505
112632801500000,NE 160,Residential,29724,186723,0,216447
112632801600000,NE 160,Residential,28650,208719,0,237369
