GIS_Number_valuations,Map_Name_valuations,Class_valuations,2010 Land Res,2010 Land Comm,2010 Land Total,2010 Dwlg,2010 Improv,2010 Total
112625100100000,E-40 CHURCHES,Exempt,0,464400,464400,0,473197,937597
112625100200000,E-40 CHURCHES,Exempt,0,663984,663984,0,4315690,4979674
112630300100000,NE 160,Residential,30870,0,30870,172914,0,203784
112630300200000,NE 160,Residential,29734,0,29734,203330,0,233064
112630300300000,NE 160,Residential,29070,0,29070,200252,0,229322
112630400100000,NE 160,Residential,30345,0,30345,269006,0,299351
112630400200000,NE 160,Residential,28560,0,28560,206108,0,234668
112630400300000,NE 160,Residential,28666,0,28666,204245,0,232911
112630400400000,NE 160,Residential,29988,0,29988,212103,0,242091
112630400500000,NE 160,Residential,28882,0,28882,200163,0,229045
112630400600000,NE 160,Residential,28759,0,28759,207183,0,235942
112630400700000,NE 160,Residential,26600,0,26600,192704,0,219304
112630400800000,NE 160,Residential,28000,0,28000,201501,0,229501
112630400900000,NE 160,Residential,29506,0,29506,222158,0,251664
112630401000000,NE 160,Residential,29144,0,29144,219652,0,248796
112630401100000,NE 160,Residential,30366,0,30366,173933,0,204299
112630401200000,NE 160,Residential,30607,0,30607,164637,0,195244
112630500100000,NE 160,Residential,30576,0,30576,244321,0,274897
112630500200000,NE 160,Residential,28657,0,28657,195854,0,224511
112630500300000,NE 160,Residential,28935,0,28935,193365,0,222300
112630500400000,NE 160,Residential,29988,0,29988,211832,0,241820
112630500500000,NE 160,Residential,28560,0,28560,199302,0,227862
112630500600000,NE 160,Residential,28560,0,28560,197563,0,226123
112630500700000,NE 160,Residential,32779,0,32779,194793,0,227572
112630600100000,NE 160,Residential,29404,0,29404,199433,0,228837
112630600200000,NE 160,Residential,29447,0,29447,215188,0,244635
112630600300000,NE 160,Residential,29125,0,29125,190469,0,219594
112630600400000,NE 160,Residential,30329,0,30329,241797,0,272126
112630600500000,NE 160,Residential,30031,0,30031,192565,0,222596
112630600600000,NE 160,Residential,26375,0,26375,192982,0,219357
112630600700000,NE 160,Residential,28546,0,28546,231913,0,260459
112630600800000,NE 160,Residential,27849,0,27849,233040,0,260889
112630600900000,NE 160,Residential,29400,0,29400,206755,0,236155
112630601000000,NE 160,Residential,26600,0,26600,203888,0,230488
