GIS_Number_valuations,Map_Name_valuations,Class_valuations,2015 Land Res,2015 Land Comm,2015 Total Land,2015 Dwlg,2015 Improv,2015 Total
112235302100000,NE 175,AG LAND,23100,0,23100,0,0,23100
112625100100000,CHURCH,EXEMPT,0,480000,480000,0,477800,957800
112625100200000,CHURCH,EXEMPT,0,629400,629400,0,8591700,9221100
112630300100000,NE 160,RESIDENTIAL,50700,0,50700,158800,0,209500
112630300200000,NE 160,RESIDENTIAL,48800,0,48800,184300,0,233100
112630300300000,NE 160,RESIDENTIAL,47800,0,47800,183500,0,231300
112630400100000,NE 160,RESIDENTIAL,49900,0,49900,245400,0,295300
112630400200000,NE 160,RESIDENTIAL,46900,0,46900,187800,0,234700
112630400300000,NE 160,RESIDENTIAL,47100,0,47100,186300,0,233400
112630400400000,NE 160,RESIDENTIAL,49300,0,49300,192500,0,241800
112630400500000,NE 160,RESIDENTIAL,47400,0,47400,193700,0,241100
112630400600000,NE 160,RESIDENTIAL,47200,0,47200,187900,0,235100
112630400700000,NE 160,RESIDENTIAL,43700,0,43700,177100,0,220800
112630400800000,NE 160,RESIDENTIAL,46000,0,46000,183100,0,229100
112630400900000,NE 160,RESIDENTIAL,48500,0,48500,204500,0,253000
112630401000000,NE 160,RESIDENTIAL,47900,0,47900,211600,0,259500
112630401100000,NE 160,RESIDENTIAL,49900,0,49900,157400,0,207300
112630401200000,NE 160,RESIDENTIAL,50300,0,50300,150700,0,201000
112630500100000,NE 160,RESIDENTIAL,50200,0,50200,229900,0,280100
112630500200000,NE 160,RESIDENTIAL,47100,0,47100,182900,0,230000
112630500300000,NE 160,RESIDENTIAL,47500,0,47500,182400,0,229900
112630500400000,NE 160,RESIDENTIAL,49300,0,49300,210400,0,259700
112630500500000,NE 160,RESIDENTIAL,46900,0,46900,181400,0,228300
112630500600000,NE 160,RESIDENTIAL,46900,0,46900,180100,0,227000
112630500700000,NE 160,RESIDENTIAL,53900,0,53900,178400,0,232300
112630600100000,NE 160,RESIDENTIAL,48300,0,48300,187300,0,235600
112630600200000,NE 160,RESIDENTIAL,48400,0,48400,205800,0,254200
112630600300000,NE 160,RESIDENTIAL,47800,0,47800,184700,0,232500
112630600400000,NE 160,RESIDENTIAL,49800,0,49800,229700,0,279500
112630600500000,NE 160,RESIDENTIAL,49300,0,49300,178000,0,227300
112630600600000,NE 160,RESIDENTIAL,43300,0,43300,183500,0,226800
112630600700000,NE 160,RESIDENTIAL,46900,0,46900,226400,0,273300
112630600800000,NE 160,RESIDENTIAL,45800,0,45800,219400,0,265200
112630600900000,NE 160,RESIDENTIAL,48300,0,48300,193400,0,241700
112630601000000,NE 160,RESIDENTIAL,43700,0,43700,193100,0,236800
112630601100000,NE 160,RESIDENTIAL,48300,0,48300,237700,0,286000
112630601200000,NE 160,RESIDENTIAL,46000,0,46000,207300,0,253300
112630601300000,NE 160,RESIDENTIAL,43700,0,43700,208800,0,252500
112630601400000,NE 160,RESIDENTIAL,47700,0,47700,222000,0,269700
112630601500000,NE 160,RESIDENTIAL,45500,0,45500,198600,0,244100
112630601600000,NE 160,RESIDENTIAL,48400,0,48400,197300,0,245700
112630601700000,NE 160,RESIDENTIAL,44000,0,44000,187200,0,231200
112630601800000,NE 160,RESIDENTIAL,45600,0,45600,218700,0,264300
112630601900000,NE 160,RESIDENTIAL,49400,0,49400,179300,0,228700
112630700100000,NE 160,RESIDENTIAL,50800,0,50800,173600,0,224400
112632700100000,NE 160,RESIDENTIAL,48900,0,48900,208100,0,257000
112632700200000,NE 160,RESIDENTIAL,51700,0,51700,221600,0,273300
112632700300000,NE 160,RESIDENTIAL,52400,0,52400,210400,0,262800
112632700400000,NE 160,RESIDENTIAL,45300,0,45300,195300,0,240600
112632700500000,NE 160,RESIDENTIAL,47400,0,47400,193300,0,240700
112632700600000,NE 160,RESIDENTIAL,47600,0,47600,194700,0,242300
112632700700000,NE 160,RESIDENTIAL,45900,0,45900,159400,0,205300
112632700800000,NE 160,RESIDENTIAL,48800,0,48800,179100,0,227900
112632700900000,NE 160,RESIDENTIAL,48600,0,48600,183900,0,232500
112632701000000,NE 160,RESIDENTIAL,47800,0,47800,157900,0,205700
112632701100000,NE 160,RESIDENTIAL,45700,0,45700,175100,0,220800
112632701200000,NE 160,RESIDENTIAL,47600,0,47600,202000,0,249600
112632701300000,NE 160,RESIDENTIAL,47600,0,47600,186600,0,234200
112632701400000,NE 160,RESIDENTIAL,50200,0,50200,182500,0,232700
112632701500000,NE 160,RESIDENTIAL,46900,0,46900,194500,0,241400
112632701600000,NE 160,RESIDENTIAL,48500,0,48500,190400,0,238900
112632701700000,NE 160,RESIDENTIAL,47600,0,47600,247700,0,295300
112632701800000,NE 160,RESIDENTIAL,42800,0,42800,204300,0,247100
112632701900000,NE 160,RESIDENTIAL,48100,0,48100,250600,0,298700
112632702000000,NE 160,RESIDENTIAL,47200,0,47200,183000,0,230200
112632702100000,NE 160,RESIDENTIAL,47500,0,47500,234400,0,281900
112632702200000,NE 160,RESIDENTIAL,44100,0,44100,172800,0,216900
112632702300000,NE 160,RESIDENTIAL,48800,0,48800,195500,0,244300
112632702400000,NE 160,RESIDENTIAL,49000,0,49000,242600,0,291600
112632800100000,NE 160,RESIDENTIAL,49700,0,49700,207600,0,257300
112632800200000,CHURCH,EXEMPT,0,525300,525300,0,324200,849500
112632800300000,NE 160,RESIDENTIAL,55400,0,55400,292400,0,347800
112632800400000,NE 160,RESIDENTIAL,53500,0,53500,167900,0,221400
112632800500000,NE 160,RESIDENTIAL,50300,0,50300,175000,0,225300
112632800600000,NE 160,RESIDENTIAL,49500,0,49500,222500,0,272000
112632800700000,NE 160,RESIDENTIAL,46900,0,46900,183200,0,230100
112632800800000,NE 160,RESIDENTIAL,49900,0,49900,195100,0,245000
112632800900000,NE 160,RESIDENTIAL,49000,0,49000,202000,0,251000
112632801000000,NE 160,RESIDENTIAL,53400,0,53400,210700,0,264100
112632801100000,NE 160,RESIDENTIAL,49900,0,49900,210100,0,260000
112632801200000,NE 160,RESIDENTIAL,49200,0,49200,208900,0,258100
112632801300000,NE 160,RESIDENTIAL,50500,0,50500,219300,0,269800
112632801400000,NE 160,RESIDENTIAL,48900,0,48900,239600,0,288500
112632801500000,NE 160,RESIDENTIAL,48800,0,48800,172300,0,221100
112632801600000,NE 160,RESIDENTIAL,47100,0,47100,191000,0,238100
112632801700000,NE 160,RESIDENTIAL,48700,0,48700,183500,0,232200
112632801800000,NE 160,RESIDENTIAL,47000,0,47000,185800,0,232800
112632801900000,NE 160,RESIDENTIAL,48400,0,48400,168200,0,216600
112632802000000,NE 160,RESIDENTIAL,49500,0,49500,186200,0,235700
112632802100000,NE 160,RESIDENTIAL,46900,0,46900,189800,0,236700
112632802200000,NE 160,RESIDENTIAL,47900,0,47900,152400,0,200300
112632802300000,NE 160,RESIDENTIAL,45700,0,45700,192900,0,238600
112632802400000,NE 160,RESIDENTIAL,49300,0,49300,189300,0,238600
112632802500000,NE 160,RESIDENTIAL,46900,0,46900,190400,0,237300
112632900100000,NE 160,RESIDENTIAL,50800,0,50800,208000,0,258800
112632900200000,NE 160,RESIDENTIAL,47000,0,47000,199800,0,246800
112632900300000,NE 160,RESIDENTIAL,45000,0,45000,183600,0,228600
112632900400000,NE 160,RESIDENTIAL,47700,0,47700,173200,0,220900
112632900500000,NE 160,RESIDENTIAL,48000,0,48000,202900,0,250900
112632900600000,NE 160,RESIDENTIAL,45300,0,45300,228100,0,273400
112632900700000,NE 160,RESIDENTIAL,48300,0,48300,199900,0,248200
112632900800000,NE 160,RESIDENTIAL,44600,0,44600,196100,0,240700
112632900900000,NE 160,RESIDENTIAL,46900,0,46900,202100,0,249000
112632901000000,NE 160,RESIDENTIAL,49300,0,49300,224600,0,273900
112632901100000,NE 160,RESIDENTIAL,46200,0,46200,177600,0,223800
112632901200000,NE 160,RESIDENTIAL,47300,0,47300,188200,0,235500
112632901300000,NE 160,RESIDENTIAL,47800,0,47800,194000,0,241800
112635100100000,NE 160,RESIDENTIAL,49900,0,49900,209100,0,259000
112635100200000,NE 160,RESIDENTIAL,47000,0,47000,181400,0,228400
112635100300000,NE 160,RESIDENTIAL,49000,0,49000,193200,0,242200
112635100400000,NE 160,RESIDENTIAL,46200,0,46200,202500,0,248700
112635100500000,NE 160,RESIDENTIAL,51100,0,51100,237500,0,288600
112635100600000,NE 160,RESIDENTIAL,50400,0,50400,233800,0,284200
112635100700000,NE 160,RESIDENTIAL,47000,0,47000,177000,0,224000
112635100800000,NE 160,RESIDENTIAL,48900,0,48900,181900,0,230800
112635200100000,NE 160,RESIDENTIAL,47100,0,47100,172800,0,219900
112635200200000,NE 160,RESIDENTIAL,50700,0,50700,189900,0,240600
112635200300000,NE 160,RESIDENTIAL,47800,0,47800,183500,0,231300
112635200400000,NE 160,RESIDENTIAL,49900,0,49900,204300,0,254200
112635300100000,NE 160,RESIDENTIAL,49600,0,49600,180700,0,230300
112635300200000,NE 160,RESIDENTIAL,46900,0,46900,175500,0,222400
112635300300000,NE 160,RESIDENTIAL,49800,0,49800,161600,0,211400
112635300400000,NE 160,RESIDENTIAL,46900,0,46900,168400,0,215300
112635300500000,NE 160,RESIDENTIAL,46900,0,46900,204900,0,251800
112635300600000,NE 160,RESIDENTIAL,47400,0,47400,176100,0,223500
112635300700000,NE 160,RESIDENTIAL,47400,0,47400,184400,0,231800
112635300800000,NE 160,RESIDENTIAL,48000,0,48000,183400,0,231400
112635300900000,NE 160,RESIDENTIAL,46900,0,46900,184400,0,231300
112635301000000,NE 160,RESIDENTIAL,46900,0,46900,168000,0,214900
112635301100000,NE 160,RESIDENTIAL,46900,0,46900,158200,0,205100
112635301200000,NE 160,RESIDENTIAL,46300,0,46300,199500,0,245800
112635301300000,NE 160,RESIDENTIAL,49200,0,49200,181500,0,230700
112635301400000,NE 160,RESIDENTIAL,49800,0,49800,168000,0,217800
112635301500000,NE 160,RESIDENTIAL,49200,0,49200,188500,0,237700
112635301600000,NE 160,RESIDENTIAL,49800,0,49800,186700,0,236500
112635301700000,NE 160,RESIDENTIAL,46900,0,46900,198100,0,245000
112635301800000,NE 160,RESIDENTIAL,49300,0,49300,211700,0,261000
112635301900000,NE 160,RESIDENTIAL,44600,0,44600,176500,0,221100
112635302000000,NE 160,RESIDENTIAL,48400,0,48400,232200,0,280600
112635302100000,NE 160,RESIDENTIAL,49100,0,49100,190600,0,239700
112635302200000,NE 160,RESIDENTIAL,49100,0,49100,222600,0,271700
112635302300000,NE 160,RESIDENTIAL,48000,0,48000,194300,0,242300
112635302400000,NE 160,RESIDENTIAL,47400,0,47400,187300,0,234700
112635302500000,NE 160,RESIDENTIAL,47800,0,47800,176600,0,224400
112635302600000,NE 160,RESIDENTIAL,50500,0,50500,171500,0,222000
