GIS_Number,GIS_Number_2,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area
140535100100000,140535100100000,TWIN PINES GOLF & FIRE STATION,EXEMPT,CITY PROPERTY,3600,42ND ST NE,CEDAR RAPIDS CITY OF,148.14,,,,,,,
142823200300000,142823200300000,VACANT LAND,EXEMPT,CITY PROPERTY,221,1ST AVE SW,CEDAR RAPIDS CITY OF,0.3857,,,,,,,
142945200100000,142945200100000,10TH SQUARE PARK,EXEMPT,CITY PROPERTY,1010,10TH AVE SW,CEDAR RAPIDS CITY OF,0.4154,,,,,,,
143045202500000,143045202500000,ACCESS ROAD,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.2161,,,,,,,
142840600300000,142840600300000,AFRICAN AMERICAN HISTORICAL MUSEUM,EXEMPT,CITY PROPERTY,1217,1ST ST SE,CEDAR RAPIDS CITY OF,0.3022,,,,,,,
142840600200000,142840600200000,AFRICAN AMERICAN HISTORICAL MUSEUM,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.8867,,,,,,,
192920100400000,192920100400000,AIRPORT FACILITY,EXEMPT,CITY PROPERTY,9505,18TH ST SW,CEDAR RAPIDS CITY OF,155.7365,,,,,,,
191920100100000,191920100100000,AITPORT RIGHT OF WAY,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,380.14,,,,,,,
143228000100000,143228000100000,ALANDALE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,1.8267,,,,,,,
142140502000000,142140502000000,ALLEY,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.011,,,,,,,
142823201200000,142823201200000,ALLEY,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.014,,,,,,,
