GIS_Number,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,2016 Land Res,2016 Land Comm,2016 Land Total,2016 Dwlg,2016 Improv,2016 Total
140535100100000,TWIN PINES GOLF & FIRE STATION,EXEMPT,CITY PROPERTY,3600,42ND ST NE,CEDAR RAPIDS CITY OF,148.14,,,,,,,,0,0,0,0,0,0
142823200300000,VACANT LAND,EXEMPT,CITY PROPERTY,221,1ST AVE SW,CEDAR RAPIDS CITY OF,0.3857,,,,,,,,0,0,0,0,0,0
142945200100000,10TH SQUARE PARK,EXEMPT,CITY PROPERTY,1010,10TH AVE SW,CEDAR RAPIDS CITY OF,0.4154,,,,,,,,0,0,0,0,0,0
143045202500000,ACCESS ROAD,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.2161,,,,,,,,0,0,0,0,0,0
142840600300000,AFRICAN AMERICAN HISTORICAL MUSEUM,EXEMPT,CITY PROPERTY,1217,1ST ST SE,CEDAR RAPIDS CITY OF,0.3022,,,,,,,,0,0,0,0,0,0
142840600200000,AFRICAN AMERICAN HISTORICAL MUSEUM,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.8867,,,,,,,,0,0,0,0,0,0
192920100400000,AIRPORT FACILITY,EXEMPT,CITY PROPERTY,9505,18TH ST SW,CEDAR RAPIDS CITY OF,155.7365,,,,,,,,0,0,0,0,0,0
191920100100000,AITPORT RIGHT OF WAY,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,380.14,,,,,,,,0,0,0,0,0,0
143228000100000,ALANDALE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,1.8267,,,,,,,,0,0,0,0,0,0
142140502000000,ALLEY,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.011,,,,,,,,0,0,0,0,0,0
142823201200000,ALLEY,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.014,,,,,,,,0,0,0,0,0,0
142948301200000,ALLEY,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.069,,,,,,,,0,0,0,0,0,0
142248201000000,AMBROZ REC CENTER,EXEMPT,CITY PROPERTY,2000,MT VERNON RD SE,CEDAR RAPIDS CITY OF,3.284,,,,,,,,0,0,0,0,0,0
142240500100000,ANDERSON PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.98,,,,,,,,0,0,0,0,0,0
143020400300000,APACHE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,2.0,,,,,,,,0,0,0,0,0,0
143020400200000,APACHE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,2.43,,,,,,,,0,0,0,0,0,0
142612603400000,ARROWHEAD PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.48,,,,,,,,0,0,0,0,0,0
142145900100000,ART MUSEUM,EXEMPT,CITY PROPERTY,428,3RD AVE SE,CEDAR RAPIDS CITY OF,0.7713,,,,,,,,0,0,0,0,0,0
142733101700000,ASPHALT PARKING LOT,EXEMPT,CITY PROPERTY,119,15TH AVE SE,CEDAR RAPIDS CITY OF,0.0735,,,,,,,,0,0,0,0,0,0
142727800100000,BENDER POOL,EXEMPT,CITY PROPERTY,940,14TH AVE SE,CEDAR RAPIDS CITY OF,1.736,,,,,,,,0,0,0,0,0,0
142312600100000,BEVER PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,10.04,,,,,,,,0,0,0,0,0,0
142312600200000,BEVER PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,70.0,,,,,,,,0,0,0,0,0,0
