GIS_Number,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,_unnamed,2010 Land Res,2010 Land Comm,2010 Land Total,2010 Dwlg,2010 Improv,2010 Total,2008 Land,2008 Dwlg,2008 Improv,2008 total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2016 Land Res,2016 Land Comm,2016 Land Total,2016 Dwlg,2016 Improv,2016 Total
112732600500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,1.81,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112732600500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112732601500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,3.09,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112732601500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112735404100000,,Exempt,E-15 CITY,7520,COUNCIL ST NE,CEDAR RAPIDS CITY OF,5.84,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112735404100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112740200500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,2.4424,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112740200500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112747600100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112747600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112845101200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.03,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112845101200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112845101400000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,4.04,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112845101400000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112845101500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,2.49,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112845101500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112847601500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.41,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112847601500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112847701500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.82,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112847701500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113132700100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.6054,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113132700100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113132701000000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113132701000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113315103900000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,14.93,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113315103900000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113315104000000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113315104000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113410400200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.96,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113410400200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113413002200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113413002200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113417700300000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,8.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113417700300000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113425100100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.78,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113425100100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113425400300000,,Exempt,E-15 CITY,6900,COUNCIL ST NE,CEDAR RAPIDS CITY OF,0.45,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113425400300000,NE 159,RESIDENTIAL,10100,0,10100,0,0,10100
113425800100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.97,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113425800100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113425900100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,1.4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113425900100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113440300100000,,Exempt,E-15 CITY,415,BRODERICK DR NE,CITY OF CEDAR RAPIDS,0.5939,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113440300100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113447600100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,18.13,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113447600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
