GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","Gross Bldg Area","2013 Total","2016 Total"
112732600500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",1.81,"","","","","","","",0,0
112732601500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",3.09,"","","","","","","",0,0
112735404100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","COUNCIL ST NE","CEDAR RAPIDS CITY OF",5.84,"","","","","","","",0,0
112740200500000,"CITY PROPERTY",EXEMPT,"HUNTINGTON RIDGE PARK","VACANT LAND NE","CEDAR RAPIDS CITY OF",2.442,"","","","","","","",0,0
112747600100000,"CITY PROPERTY",EXEMPT,"HUNTINGTON RIDGE PARK","VACANT LAND NE","CEDAR RAPIDS CITY OF",4.71,"","","","","","","",0,0
112845101200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",2.03,"","","","","","","",0,0
112845101400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",4.04,"","","","","","","",0,0
112845101500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",2.49,"","","","","","","",0,0
112847601500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.41,"","","","","","","",0,0
112847701500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.82,"","","","","","","",0,0
113132700100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.595,"","","","","","","",0,0
113132701000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",1.46,"","","","","","","",0,0
113315103900000,"CITY PROPERTY",EXEMPT,"NIXON PARK","VACANT LAND NE","CEDAR RAPIDS CITY OF",14.93,"","","","","","","",0,0
113315104000000,"CITY PROPERTY",EXEMPT,"NIXON PARK","VACANT LAND NE","CEDAR RAPIDS CITY OF",4.55,"","","","","","","",0,0
113410400200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.96,"","","","","","","",0,0
