GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","2013 Total","2008 total"
131542601200000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NW","CEDAR RAPIDS CITY OF",1.77,"","","","","","",0,""
132425301700000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.46,"","","","","","",0,""
132440200100000,"CITY PROPERTY",EXEMPT,"","EDGEWOOD RD NW","CEDAR RAPIDS CITY OF",3.13,"","","","","","",0,70650
132440200300000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.855,"","","","","","",0,53100
132440202400000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.413,"","","","","","",0,""
132725601800000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NW","CEDAR RAPIDS CITY OF",1.14,"","","","","","",0,""
133525201200000,"SW 408",EXEMPT,"","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.4,"","","","","","",0,""
133525202500000,"SW 408",EXEMPT,"","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.96,"","","","","","",0,""
133525400900000,"SW 408",EXEMPT,"","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.23,"","","","","","",0,""
140220201100000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NE","CEDAR RAPIDS CITY OF",6.64,"","","","","","",0,""
140232600600000,"CITY PROPERTY",EXEMPT,"","C AVE NE","CEDAR RAPIDS CITY OF",0.182,Single-Family,"1 Story Frame",1956,1280.0,"","",0,116150
140232600700000,"CITY PROPERTY",EXEMPT,"","C AVE NE","CEDAR RAPIDS CITY OF",0.182,Single-Family,"Split Level Frame",1954,1120.0,"","",0,119893
140237600500000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NE","CEDAR RAPIDS CITY OF","","","","","","","",0,""
140240200500000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NE","CEDAR RAPIDS CITY OF","","","","","","","",0,""
140340401300000,"CITY PROPERTY",EXEMPT,"","C AVE NE","CEDAR RAPIDS CITY OF",0.321,Single-Family,"1 Story Frame",1956,1216.0,"","",0,129355
140340401400000,"CITY PROPERTY",EXEMPT,"","C AVE NE","CEDAR RAPIDS CITY OF",0.364,Single-Family,"1 Story Frame",1956,1578.0,"","",0,153928
140430101400000,"CITY PROPERTY",EXEMPT,"","0 VACANT LAND NE","CEDAR RAPIDS CITY OF",0.08,"","","","","","",0,""
140818001300000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.4,"","","","","","",0,""
