GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","2013 Total","2008 total","2016 Total"
113425400300000,"CITY PROPERTY",EXEMPT,"","COUNCIL ST NE","CEDAR RAPIDS CITY OF",0.45,"","","","","","",0,0,10100
140627600300000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NE","CEDAR RAPIDS CITY OF",8.08,"","","","","","",0,0,""
140822602400000,"CITY PROPERTY",EXEMPT,"INFORMATION TECHNLGY","42ND ST NE","CEDAR RAPIDS CITY OF",0.95,"","","","","Office - General",1977,0,0,470600
141130500600000,"CITY PROPERTY",EXEMPT,"","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.3391,"","","","","","",0,0,""
141725101200000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NW","CEDAR RAPIDS CITY OF",6.41,"","","","","","",0,0,87100
142010200100000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.2118,"","","","","","",0,0,""
142135100100000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NW","CEDAR RAPIDS CITY OF",3.014,"","","","","","",0,0,""
142135200100000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NW","CEDAR RAPIDS CITY OF",3.764,"","","","","","",0,0,""
142223202200000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.129,"","","","","","",0,0,12700
142223202300000,"CITY PROPERTY",EXEMPT,"","B AVE NE","CEDAR RAPIDS CITY OF",0.193,"","","","","","",0,0,338800
142725900100000,"CITY PROPERTY",EXEMPT,"NEWBO CITY MARKET PARKING","12TH AVE SE","CEDAR RAPIDS CITY OF",4.8324,"","","","","","",0,0,""
142813100904000,"CITY PROPERTY",EXEMPT,"","VACANT LAND SE","CEDAR RAPIDS CITY OF","","","","","","","",0,0,""
142815800100000,"CITY PROPERTY",EXEMPT,"","7TH AVE SW","CEDAR RAPIDS CITY OF","","","","","","","",0,0,""
142815800200000,"CITY PROPERTY",EXEMPT,"","8TH AVE SW","CEDAR RAPIDS CITY OF",0.7314,"","","","","","",0,0,""
142818800800000,"CITY PROPERTY",EXEMPT,"VACANT LOT","11TH AVE SE","CEDAR RAPIDS CITY OF",0.107,"","","","","","",0,0,""
142820500100000,"CITY PROPERTY",EXEMPT,"","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.97,"","","","","","",0,0,""
142827600100000,"CITY PROPERTY",EXEMPT,"","H ST SW","CEDAR RAPIDS CITY OF",0.2679,"","","","","","",0,0,""
142827600200000,"CITY PROPERTY",EXEMPT,"","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.386,"","","","","","",0,0,""
142827600300000,"CITY PROPERTY",EXEMPT,"","VACANT LAND SW","CEDAR RAPIDS CITY OF",3.631,"","","","","","",0,0,""
142827600400000,"CITY PROPERTY",EXEMPT,"","1ST ST SW","CEDAR RAPIDS CITY OF",3.9159,"","","","","","",0,0,""
142828400100000,"CITY PROPERTY",EXEMPT,"","2ND ST SW","CEDAR RAPIDS CITY OF",0.2527,"","","","","","",0,0,""
142847600100000,"CITY PROPERTY",EXEMPT,"","A ST SW","CEDAR RAPIDS CITY OF",2.8,"","","","","","",0,0,""
142847600200000,"CITY PROPERTY",EXEMPT,"","A ST SW","CEDAR RAPIDS CITY OF",0.7493,"","","","","","",0,0,""
142847700300000,"CITY PROPERTY",EXEMPT,"CZECH & SLOVAK MUSEUM PATIO/CLOCK TOWER","16TH AVE SW","CEDAR RAPIDS CITY OF",0.321,"","","","","","",0,0,""
142848100100000,"CITY PROPERTY",EXEMPT,"","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.2066,"","","","","","",0,0,""
142848100200000,"CITY PROPERTY",EXEMPT,"","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.1148,"","","","","","",0,0,""
142910300100000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.0901,"","","","","Office - General",1920,0,0,""
190922600100000,"CITY PROPERTY",EXEMPT,"","VACANT LAND SW","CEDAR RAPIDS CITY OF",20.67,"","","","","","",0,0,""
142723200900000,"CITY PROPERTY",EXEMPT,"","8TH ST SE","CEDAR RAPIDS CITY OF",0.096,"","","","","","",0,2400,6000
142017601300000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.087,"Detached Structures Only","",2002,"","","",0,3115,""
142828100500000,"CITY PROPERTY",EXEMPT,"","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.048,"Detached Structures Only","",1930,"","","",0,4150,""
142125200100000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.118,"","","","","","",0,5520,""
142017600700000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,6930,""
142135500100000,"CITY PROPERTY",EXEMPT,"GRAVEL PARKING SWISS VALLEY FA","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.268,"","","","","","",0,8040,""
142837700900000,"CITY PROPERTY",EXEMPT,"","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.048,"","","","","","",0,8680,8700
142823100500000,"CITY PROPERTY",EXEMPT,"PAVING ONLY","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.0413,"","","","","","",0,9195,""
142017600200000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.132,"Detached Structures Only","",2002,"","","",0,10135,""
142835201500000,"CITY PROPERTY",EXEMPT,"","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.115,"Detached Structures Only","",2001,"","","",0,10194,116000
142230600500000,"CITY PROPERTY",EXEMPT,CONVERSION,"5TH AVE SE","CEDAR RAPIDS CITY OF",0.1286,"","","","","","",0,12312,8400
142010301500000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,12870,""
142835100800000,"CITY PROPERTY",EXEMPT,"","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.058,"Detached Structures Only","",1984,"","","",0,13175,""
142040100100000,"CITY PROPERTY",EXEMPT,"","L AVE NW","CEDAR RAPIDS CITY OF",0.115,"","","","","","",0,13200,""
142827800200000,"CITY PROPERTY",EXEMPT,"","4TH AVE SW","CEDAR RAPIDS CITY OF",0.062,"","","","","","",0,13397,""
142010300900000,"CITY PROPERTY",EXEMPT,"","O AVE NW","CEDAR RAPIDS CITY OF",0.047,"","","","","","",0,15223,""
142017601200000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.214,"","","","","","",0,16500,""
142040100400000,"CITY PROPERTY",EXEMPT,"FENCING ONLY","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.1148,"","","","","","",0,16970,""
142018501800000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,17325,""
142132600800000,"CITY PROPERTY",EXEMPT,"VACANT LOT","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.1406,"","","","","","",0,19845,""
142911201100000,"CITY PROPERTY",EXEMPT,"PAVING ONLY","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.1286,"","","","","","",0,22257,109400
142040202000000,"CITY PROPERTY",EXEMPT,"","3RD ST NW","CEDAR RAPIDS CITY OF",0.115,"","","","","","",0,22581,""
142833601300000,"CITY PROPERTY",EXEMPT,"PAVING & FENCE","9TH AVE SW","CEDAR RAPIDS CITY OF",0.1196,"","","","","","",0,23723,19100
142732701800000,"CITY PROPERTY",EXEMPT,"","4TH ST SE","CEDAR RAPIDS CITY OF",0.096,"","","","","","",0,24758,""
142732702200000,"CITY PROPERTY",EXEMPT,"","4TH ST SE","CEDAR RAPIDS CITY OF",0.09,"","","","","","",0,25124,""
142835801300000,"CITY PROPERTY",EXEMPT,"","N ST SW","CEDAR RAPIDS CITY OF",0.108,"","","","","","",0,27180,121500
142823100600000,"CITY PROPERTY",EXEMPT,"PAVING & FENCE ONLY","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.1286,"","","","","","",0,27261,""
142125201800000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.126,"","","","","","",0,28332,""
142827800900000,"CITY PROPERTY",EXEMPT,"","5TH AVE SW","CEDAR RAPIDS CITY OF",0.0964,"","","","","","",0,28534,""
142912700400000,"CITY PROPERTY",EXEMPT,"","E AVE NW","CEDAR RAPIDS CITY OF",0.064,"","","","","","",0,28689,4800
142918900600000,"CITY PROPERTY",EXEMPT,"ANNETTES 3RD AVE BARBER SHOP","3RD AVE SW","CEDAR RAPIDS CITY OF",0.0937,"","","","","","",0,28722,10700
142040301800000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.161,"","","","","","",0,30231,""
142823100200000,"CITY PROPERTY",EXEMPT,"PAVING ONLY","1ST AVE SW","CEDAR RAPIDS CITY OF",0.0918,"","","","","","",0,30877,""
142823100300000,"CITY PROPERTY",EXEMPT,"PAVING ONLY","1ST AVE SW","CEDAR RAPIDS CITY OF",0.0918,"","","","","","",0,31281,""
142040100800000,"CITY PROPERTY",EXEMPT,WAREHOUSE,"3RD ST NW","CEDAR RAPIDS CITY OF",0.115,"","","","","Mini - Storage",2006,0,31497,""
142132601200000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.074,Single-Family,Salvage,1890,891.0,"","",0,31565,""
142040800100000,"CITY PROPERTY",EXEMPT,"","J AVE NW","CEDAR RAPIDS CITY OF",0.052,"","","","","","",0,31580,""
142040200200000,"CITY PROPERTY",EXEMPT,"","L AVE NW","CEDAR RAPIDS CITY OF",0.057,"","","","","","",0,32419,""
142017601600000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.126,"","","","","","",0,33108,""
142018401800000,"CITY PROPERTY",EXEMPT,"","3RD ST NW","CEDAR RAPIDS CITY OF",0.126,"","","","","","",0,33622,""
142837701000000,"CITY PROPERTY",EXEMPT,"","12TH AVE SW","CEDAR RAPIDS CITY OF",0.049,Single-Family,Salvage,1900,592.0,"","",0,33778,49700
142845500300000,"CITY PROPERTY",EXEMPT,"","2ND ST SW","CEDAR RAPIDS CITY OF",0.113,"","","","","","",0,35540,148200
142825600900000,"CITY PROPERTY",EXEMPT,"","3RD ST SW","CEDAR RAPIDS CITY OF",0.054,"","","","","","",0,35936,""
142825800800000,"CITY PROPERTY",EXEMPT,"","3RD ST SW","CEDAR RAPIDS CITY OF",0.055,"","","","","","",0,36055,""
142015501600000,"CITY PROPERTY",EXEMPT,WAREHOUSE,"ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.1175,"","","","","","",0,36081,""
142040100900000,"CITY PROPERTY",EXEMPT,"VACANT LOT","3RD ST NW","CEDAR RAPIDS CITY OF",0.1148,"","","","","","",0,36262,""
