GIS_Number,Map Name,Class,Doing_Business_As,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,2016 Total,2008 total,Sale date,Amount,Non-Useable Transaction Code,Recording
1.4273E+14,CITY PROPERTY,EXEMPT,VACANT LAND,17TH AVE SE,CEDAR RAPIDS CITY OF,0.0964,,,,,,,0,6804,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,ASPHALT PARKING LOT,15TH AVE SE,CEDAR RAPIDS CITY OF,0.0735,,,,,,,0,7690,,,,
1.42823E+14,CITY PROPERTY,EXEMPT,VACANT LAND,A AVE NW,CEDAR RAPIDS CITY OF,0.065,,,,,,,0,8742,,,,
1.4353E+14,CITY PROPERTY,EXEMPT,VACANT LAND,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.327,,,,,,,0,8775,,,,
1.4291E+14,CITY PROPERTY,EXEMPT,VACANT  BUILDING,E AVE NW,CEDAR RAPIDS CITY OF,0.0231,,,,,,,0,9040,,,,
1.42731E+14,CITY PROPERTY,EXEMPT,VACANT LAND,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.21,,,,,,,0,9072,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,J AVE NW,CEDAR RAPIDS CITY OF,0.126,,,,,,,0,9200,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,15TH AVE SE,CEDAR RAPIDS CITY OF,0.0826,,,,,,,0,9357,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,G AVE NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,9600,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,H AVE NW,CEDAR RAPIDS CITY OF,0.106,,,,,,,0,10964,,,,
1.42049E+14,CITY PROPERTY,EXEMPT,VACANT LOT,F AVE NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,12000,,,,
1.42049E+14,CITY PROPERTY,EXEMPT,VACANT LOT,F AVE NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,12000,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,ELLIS BLVD NW,CEDAR RAPIDS CITY OF,0.11,,,,,,,0,13365,,,,
1.4291E+14,CITY PROPERTY,EXEMPT,VAC LOT,4TH ST NW,CEDAR RAPIDS CITY OF,0.0528,,,,,,,0,13935,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,I AVE NW,CEDAR RAPIDS CITY OF,0.067,,,,,,,0,14291,,,,
1.92923E+14,CITY PROPERTY,EXEMPT,VACANT LAND,18TH ST SW,CEDAR RAPIDS CITY OF,0.2089,,,,,,,0,14742,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LOT,B ST SW,CEDAR RAPIDS CITY OF,0.1148,,,,,,,0,16200,,,,
1.4273E+14,CITY PROPERTY,EXEMPT,VACANT LAND,17TH AVE SE,CEDAR RAPIDS CITY OF,0.096,,,,,,,0,16256,,,,
1.4284E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.096,,,,,,,0,16392,,,,
1.4353E+14,CITY PROPERTY,EXEMPT,VACANT LAND,ROMPOT ST SE,CEDAR RAPIDS CITY OF,0.327,,,,,,,0,16874,,,,
1.43543E+14,CITY PROPERTY,EXEMPT,VACANT LAND,HELEN CT SE,CEDAR RAPIDS CITY OF,0.259,,,,,,,0,17698,,,,
1.43543E+14,CITY PROPERTY,EXEMPT,VACANT LAND,HELEN CT SE,CEDAR RAPIDS CITY OF,0.259,,,,,,,0,17698,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,18358,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.096,,,,,,,0,18828,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.118,,,,,,,0,20141,,,,
1.42841E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.087,,,,,,,0,20584,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,20596,,,,
1.42726E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST SE,CEDAR RAPIDS CITY OF,0.056,,,,,,,0,20643,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST NW,CEDAR RAPIDS CITY OF,0.1469,,,,,,,0,20736,,,,
1.42726E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST SE,CEDAR RAPIDS CITY OF,0.057,,,,,,,0,20824,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.096,,,,,,,0,20937,,,,
1.42726E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST SE,CEDAR RAPIDS CITY OF,0.071,,,,,,,0,20943,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.0884,,,,,,,0,21042,,,,
1.42724E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST SE,CEDAR RAPIDS CITY OF,0.063,,,,,,,0,22234,,,,
1.42818E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST SE,CEDAR RAPIDS CITY OF,0.041,,,,,,,0,22441,,,,
1.43423E+14,CITY PROPERTY,EXEMPT,VACANT LAND,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.119,,,,,,,0,22686,,,,
1.42728E+14,CITY PROPERTY,EXEMPT,VACANT LAND,16TH AVE SE,CEDAR RAPIDS CITY OF,0.261,,,,,,,0,22780,,,,
1.4273E+14,CITY PROPERTY,EXEMPT,VAC LOT,9TH ST SE,CEDAR RAPIDS CITY OF,0.0964,,,,,,,0,22830,,,,
1.42849E+14,CITY PROPERTY,EXEMPT,VACANT LAND,19TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,22922,,,,
1.42726E+14,CITY PROPERTY,EXEMPT,VACANT LAND,7TH ST SE,CEDAR RAPIDS CITY OF,0.068,,,,,,,0,22962,,,,
1.42726E+14,CITY PROPERTY,EXEMPT,VACANT LAND,10TH AVE SE,CEDAR RAPIDS CITY OF,0.096,,,,,,,0,23350,,,,
1.42818E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST SE,CEDAR RAPIDS CITY OF,0.083,,,,,,,0,23485,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.155,Detached Structures Only,,1948,,,,0,24054,,,,
1.42043E+14,CITY PROPERTY,EXEMPT,PAVING ONLY,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.1469,,,,,,,0,24235,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,3RD ST SE,CEDAR RAPIDS CITY OF,0.096,,,,,,,0,24686,,,,
1.42726E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST SE,CEDAR RAPIDS CITY OF,0.06,,,,,,,0,25644,,,,
1.41745E+14,CITY PROPERTY,EXEMPT,VACANT LAND,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.134,,,,,,,0,25808,,,,
1.42911E+14,CITY PROPERTY,EXEMPT,VACANT LAND,B AVE NW,CEDAR RAPIDS CITY OF,0.193,,,,,,,0,26182,,,,
1.42726E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST SE,CEDAR RAPIDS CITY OF,0.071,,,,,,,0,27352,,,,
1.4273E+14,CITY PROPERTY,EXEMPT,VACANT LAND,17TH AVE SE,CEDAR RAPIDS CITY OF,0.096,,,,,,,0,27465,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,I AVE NW,CEDAR RAPIDS CITY OF,0.051,,,,,,,0,28621,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.1286,,,,,,,0,28821,,,,
1.42018E+14,CITY PROPERTY,EXEMPT,VACANT LAND,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.1469,,,,,,,0,29144,,,,
1.42726E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST SE,CEDAR RAPIDS CITY OF,0.066,,,,,,,0,29248,,,,
1.4273E+14,CITY PROPERTY,EXEMPT,VACANT LAND,17TH AVE SE,CEDAR RAPIDS CITY OF,0.096,,,,,,,0,29367,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,18TH AVE SW,CEDAR RAPIDS CITY OF,0.115,,,,,,,0,29485,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,H AVE NW,CEDAR RAPIDS CITY OF,0.071,,,,,,,0,29538,,,,
1.42731E+14,CITY PROPERTY,EXEMPT,VACANT LAND,HULL AVE SE,CEDAR RAPIDS CITY OF,0.11,,,,,,,0,30116,,,,
1.43118E+14,CITY PROPERTY,EXEMPT,VACANT LAND,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.186,,,,,,,0,30300,,,,
1.43118E+14,CITY PROPERTY,EXEMPT,,BALSAM DR SW,CEDAR RAPIDS CITY OF,0.232,,,,,,,0,30300,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,G AVE NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,30421,,,,
1.41823E+14,CITY PROPERTY,EXEMPT,VACANT LAND,ELLIS RD NW,CEDAR RAPIDS CITY OF,0.388,,,,,,,0,30647,,,,
1.42911E+14,CITY PROPERTY,EXEMPT,VACANT LAND,A AVE NW,CEDAR RAPIDS CITY OF,0.059,,,,,,,0,30657,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.101,,,,,,,0,30798,,,,
1.42823E+14,CITY PROPERTY,EXEMPT,VACANT LAND,1ST AVE SW,CEDAR RAPIDS CITY OF,0.0951,,,,,,,0,30809,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.2066,,,,,,,0,30812,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.103,,,,,,,0,31254,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.087,,,,,,,0,31475,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,3RD ST SE,CEDAR RAPIDS CITY OF,0.08,,,,,,,0,31584,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,A ST SW,CEDAR RAPIDS CITY OF,0.0803,,,,,,,0,31753,,,,
1.43423E+14,CITY PROPERTY,EXEMPT,VACANT LAND,21ST AVE SW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,32244,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,17TH AVE SW,CEDAR RAPIDS CITY OF,0.057,,,,,,,0,32248,,,,
1.42845E+14,CITY PROPERTY,EXEMPT,VACANT LOT,1ST ST SW,CEDAR RAPIDS CITY OF,0.2296,,,,,,,0,32400,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,I AVE NW,CEDAR RAPIDS CITY OF,0.068,,,,,,,0,32774,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.2066,,,,,,,0,33097,,,,
1.42841E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.106,,,,,,,0,33148,,,,
1.42826E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH AVE SW,CEDAR RAPIDS CITY OF,0.113,,,,,,,0,33188,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.103,,,,,,,0,33226,,,,
1.42828E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH AVE SW,CEDAR RAPIDS CITY OF,0.049,,,,,,,0,33295,,,,
1.43543E+14,CITY PROPERTY,EXEMPT,VACANT LAND,VACANT LAND SE,CEDAR RAPIDS CITY OF,2.42,,,,,,,0,33550,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,I AVE NW,CEDAR RAPIDS CITY OF,0.032,,,,,,,0,33769,,,,
1.42848E+14,CITY PROPERTY,EXEMPT,VACANT LAND,A ST SW,CEDAR RAPIDS CITY OF,0.08,,,,,,,0,33869,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,34583,,,,
1.4283E+14,CITY PROPERTY,EXEMPT,VACANT LAND,DIAGONAL DR SW,CEDAR RAPIDS CITY OF,0.078,,,,,,,0,35525,,,,
