"",Reporting precincts,Total Precincts,Grassley,Judge,Aldrich,Hennager,Luick-Thrams,Write-in,winner
Adair,6,6,2702,890,110,45,11,2,Grassley
Adams,6,6,1514,454,58,25,9,1,Grassley
Allamakee,6,12,1688,694,67,20,14,0
Appanoose,0,13,0,0,0,0,0,0
Audubon,0,3,0,0,0,0,0,0
Benton,7,20,1961,610,71,28,6,2
Black Hawk,0,63,0,0,0,0,0,0
Boone,0,16,0,0,0,0,0,0
Bremer,0,14,0,0,0,0,0,0
Buchanan,0,16,0,0,0,0,0,0
Buena Vista,9,11,3347,1125,136,38,9,1
Butler,0,9,0,0,0,0,0,0
Calhoun,0,11,0,0,0,0,0,0
Carroll,6,14,2160,599,73,38,7,0
Cass,10,14,3024,724,110,67,16,5
Cedar,12,13,4090,1584,191,64,25,6
Cerro Gordo,17,27,9711,6956,439,216,118,17
Cherokee,8,8,4664,1328,128,44,16,4,Grassley
Chickasaw,0,14,0,0,0,0,0,0
Clarke,0,8,0,0,0,0,0,0
Clay,1,13,2679,1060,84,17,8,0
Clayton,3,15,2392,1392,76,75,6,0
Clinton,1,27,5000,5126,173,148,16,8
Crawford,1,9,1767,890,57,17,4,2
Dallas,0,35,0,0,0,0,0,0
Davis,9,9,2748,970,82,23,13,3,Grassley
Decatur,0,8,0,0,0,0,0,0
Delaware,12,13,6155,2238,177,153,15,0
Des Moines,0,17,0,0,0,0,0,0
Dickinson,0,15,0,0,0,0,0,0
Dubuque,3,36,11266,11579,460,180,40,17
Emmet,12,12,3338,1170,83,108,7,1,Grassley
Fayette,3,26,2273,1450,59,67,7,4
Floyd,9,9,4945,2723,181,97,21,5,Grassley
Franklin,10,13,1760,525,81,26,7,2
Fremont,6,6,2574,733,120,54,13,1,Grassley
Greene,0,8,0,0,0,0,0,0
Grundy,1,8,223,44,9,6,1,1
Guthrie,8,9,2743,733,160,39,14,4
Hamilton,0,9,0,0,0,0,0,0
Hancock,0,11,0,0,0,0,0,0
Hardin,0,9,0,0,0,0,0,0
Harrison,0,14,0,0,0,0,0,0
Henry,0,10,0,0,0,0,0,0
Howard,8,10,2318,1254,104,39,9,2
Humboldt,0,10,0,0,0,0,0,0
Ida,0,8,0,0,0,0,0,0
Iowa,9,12,3739,1237,149,54,12,2
Jackson,0,17,0,0,0,0,0,0
Jasper,20,21,11344,5996,499,404,30,20
Jefferson,5,13,2278,2733,163,43,21,12
Johnson,50,58,25297,40314,1715,744,354,115
Jones,4,15,1744,732,91,52,6,1
Keokuk,4,16,1074,409,20,11,6,1
Kossuth,0,21,0,0,0,0,0,0
Lee,0,23,0,0,0,0,0,0
Linn,1,87,18883,21731,970,282,107,37
Louisa,1,6,1087,645,43,12,5,0
Lucas,0,8,0,0,0,0,0,0
Lyon,0,9,0,0,0,0,0,0
Madison,10,10,5891,2198,276,89,18,8,Grassley
Mahaska,0,12,0,0,0,0,0,0
Marion,0,18,0,0,0,0,0,0
Marshall,5,20,2194,1097,117,33,5,1
Mills,6,12,1482,383,75,31,12,5
Mitchell,6,12,2072,1083,63,31,8,2
Monona,2,12,360,92,12,9,1,1
Monroe,0,8,0,0,0,0,0,0
Montgomery,0,8,0,0,0,0,0,0
Muscatine,21,24,10465,6305,504,336,37,15
O'Brien,0,10,0,0,0,0,0,0
Osceola,9,9,2598,455,53,21,10,3,Grassley
Page,0,9,0,0,0,0,0,0
Palo Alto,6,7,2908,1037,73,63,7,1
Plymouth,14,14,10317,2293,233,74,20,3,Grassley
Pocahontas,0,8,0,0,0,0,0,0
Polk,0,178,0,0,0,0,0,0
Pottawattamie,0,41,0,0,0,0,0,0
Poweshiek,0,11,0,0,0,0,0,0
Ringgold,0,8,0,0,0,0,0,0
Sac,10,10,3956,1013,97,37,11,6,Grassley
Scott,0,64,0,0,0,0,0,0
Shelby,0,10,0,0,0,0,0,0
Sioux,0,17,0,0,0,0,0,0
Story,0,44,0,0,0,0,0,0
Tama,0,17,0,0,0,0,0,0
Taylor,2,8,1008,275,34,15,6,0
Union,0,9,0,0,0,0,0,0
Van Buren,9,9,2614,762,76,64,5,4,Grassley
Wapello,5,23,4013,3193,134,127,14,8
Warren,30,32,15799,8191,701,219,68,24
Washington,2,11,1043,329,71,17,3,2
Wayne,0,5,0,0,0,0,0,0
Webster,0,29,0,0,0,0,0,0
Winnebago,0,11,0,0,0,0,0,0
Winneshiek,0,12,0,0,0,0,0,0
Woodbury,0,45,0,0,0,0,0,0
Worth,2,8,1299,706,50,27,8,1
Wright,11,11,4197,1545,167,39,12,4,Grassley
