"",Reporting precincts,Total Precincts,Grassley,Judge,Aldrich,Hennager,Luick-Thrams,Write-in,winner
Adair,6,6,2708,894,111,46,11,2,Grassley
Adams,6,6,1515,454,58,25,9,1,Grassley
Allamakee,12,12,4473,2099,168,62,24,1,Grassley
Appanoose,13,13,4120,1690,121,55,18,6,Grassley
Audubon,3,3,2323,847,70,35,7,0,Grassley
Benton,20,20,9351,3811,355,134,26,8,Grassley
Black Hawk,63,63,33884,27245,1643,551,143,61,Grassley
Boone,16,16,8593,4820,455,142,34,12,Grassley
Bremer,14,14,8583,4357,334,100,28,13,Grassley
Buchanan,16,16,6382,3313,298,121,28,7,Grassley
Buena Vista,11,11,5369,2382,210,72,13,4,Grassley
Butler,9,9,5433,1782,146,81,16,6,Grassley
Calhoun,11,11,3798,1154,119,32,10,5,Grassley
Carroll,14,14,7259,2714,244,104,20,3,Grassley
Cass,14,14,5081,1558,161,103,21,5,Grassley
Cedar,13,13,6103,2908,268,91,31,9,Grassley
Cerro Gordo,27,27,13417,8173,588,276,158,21,Grassley
Cherokee,8,8,4670,1331,128,44,16,4,Grassley
Chickasaw,14,14,4177,1956,153,73,22,1,Grassley
Clarke,8,8,2903,1273,118,73,12,6,Grassley
Clay,13,13,6260,1894,227,61,25,5,Grassley
Clayton,15,15,5851,2779,175,190,16,1,Grassley
Clinton,27,27,12821,8851,584,445,37,15,Grassley
Crawford,9,9,4674,1771,182,74,17,0,Grassley
Dallas,35,35,24374,11876,1072,315,103,35,Grassley
Davis,9,9,2750,972,82,23,13,3,Grassley
Decatur,8,8,2488,1037,91,45,15,5,Grassley
Delaware,13,13,6445,2369,191,160,15,0,Grassley
Des Moines,17,17,10353,7589,475,186,40,26,Grassley
Dickinson,15,15,7489,2421,204,85,30,6,Grassley
Dubuque,36,36,27348,19291,1266,416,133,46,Grassley
Emmet,12,12,3341,1171,83,108,7,1,Grassley
Fayette,26,26,6412,3069,216,220,17,13,Grassley
Floyd,9,9,4947,2725,183,97,21,5,Grassley
Franklin,13,13,3550,1172,150,50,16,2,Grassley
Fremont,6,6,2582,735,120,54,13,1,Grassley
Greene,8,8,3197,1344,123,61,13,5,Grassley
Grundy,8,8,5261,1370,127,95,11,4,Grassley
Guthrie,9,9,4004,1413,225,55,21,6,Grassley
Hamilton,9,9,5128,2163,186,94,20,6,Grassley
Hancock,11,11,4232,1324,170,69,18,6,Grassley
Hardin,9,9,5812,2273,234,80,21,4,Grassley
Harrison,14,14,5108,1788,248,119,27,8,Grassley
Henry,10,10,6294,2535,248,109,26,13,Grassley
Howard,10,10,2859,1459,129,50,11,2,Grassley
Humboldt,10,10,3860,999,110,46,18,6,Grassley
Ida,8,8,2868,590,78,24,7,4,Grassley
Iowa,12,12,6062,2443,209,82,24,4,Grassley
Jackson,17,17,6283,3450,212,81,26,5,Grassley
Jasper,21,21,11688,6170,525,421,31,20,Grassley
Jefferson,13,13,4094,3447,271,74,31,19,Grassley
Johnson,58,58,28914,42699,1891,827,378,124,Judge
Jones,15,15,6544,3058,261,172,18,6,Grassley
Keokuk,16,16,3692,1043,109,42,16,3,Grassley
Kossuth,21,21,6027,2247,114,157,24,5,Grassley
Lee,23,23,8441,6382,504,474,26,19,Grassley
Linn,87,87,62737,47635,3818,994,305,125,Grassley
Louisa,6,6,3303,1429,146,43,11,7,Grassley
Lucas,8,8,3061,1066,99,37,8,0,Grassley
Lyon,9,9,5328,761,107,44,11,3,Grassley
Madison,10,10,5891,2198,276,89,18,8,Grassley
Mahaska,12,12,7788,2291,246,88,27,5,Grassley
Marion,18,18,12407,4562,429,166,44,13,Grassley
Marshall,20,20,10410,6555,480,182,49,10,Grassley
Mills,12,12,5290,1740,259,93,30,10,Grassley
Mitchell,12,12,3680,1536,102,46,11,4,Grassley
Monona,12,12,3315,1049,107,46,9,4,Grassley
Monroe,8,8,2458,1280,75,16,7,1,Grassley
Montgomery,8,8,3646,1067,148,68,16,4,Grassley
Muscatine,24,24,11157,6963,543,371,41,20,Grassley
O'Brien,10,10,6057,1060,107,37,15,7,Grassley
Osceola,9,9,2601,455,53,21,10,3,Grassley
Page,9,9,5208,1461,176,61,11,4,Grassley
Palo Alto,7,7,3377,1109,83,73,9,2,Grassley
Plymouth,14,14,10338,2300,234,75,20,3,Grassley
Pocahontas,8,8,2891,784,96,41,11,1,Grassley
Polk,178,178,118062,100204,6586,2166,784,360,Grassley
Pottawattamie,41,41,25721,12943,1264,1333,148,57,Grassley
Poweshiek,11,11,5606,3717,243,86,28,7,Grassley
Ringgold,8,8,1987,616,54,20,5,1,Grassley
Sac,10,10,3965,1015,97,37,11,6,Grassley
Scott,64,64,46415,34503,2717,626,239,192,Grassley
Shelby,10,10,4480,1409,153,51,13,4,Grassley
Sioux,17,17,15902,1709,225,72,16,8,Grassley
Story,44,44,25020,20934,1622,445,190,61,Grassley
Tama,17,17,5534,2769,204,191,10,12,Grassley
Taylor,8,8,2220,613,70,29,7,2,Grassley
Union,9,9,3913,1625,140,79,16,2,Grassley
Van Buren,9,9,2618,764,76,64,5,4,Grassley
Wapello,23,23,8692,5365,352,337,27,17,Grassley
Warren,32,32,17030,8669,760,231,78,25,Grassley
Washington,11,11,7251,3062,343,83,28,10,Grassley
Wayne,5,5,2195,645,56,28,4,1,Grassley
Webster,29,29,11045,5396,415,222,65,16,Grassley
Winnebago,11,11,3938,1590,153,62,15,3,Grassley
Winneshiek,12,12,6349,4436,296,97,36,5,Grassley
Woodbury,45,45,27159,13902,1015,790,95,37,Grassley
Worth,8,8,2774,1246,120,71,8,3,Grassley
Wright,11,11,4208,1550,168,39,12,4,Grassley
