Date,year,Address,City,Inc. #,Responsetime,address_geo,lat,long
2010-01-02,2010,283 38TH STR SE,Cedar Rapids,1000042,6.51,"283 38TH STR SE, Cedar Rapids, Iowa",42.0143181,-91.6307498
2010-01-10,2010,1317 6TH NW,Cedar Rapids,1000267,4.06,"1317 6TH NW, Cedar Rapids, Iowa",41.985935,-91.680531
2010-01-19,2010,4141 22ND SW,Cedar Rapids,1000465,3.19,"4141 22ND SW, Cedar Rapids, Iowa",41.957516,-91.725324
2010-01-29,2010,129 27TH STR SE,Cedar Rapids,1000683,4.14,"129 27TH STR SE, Cedar Rapids, Iowa",42.00323,-91.6335579
2010-01-29,2010,129 27TH STR SE,Cedar Rapids,1000688,3.26,"129 27TH STR SE, Cedar Rapids, Iowa",42.00323,-91.6335579
2010-02-06,2010,1321 15TH SE,Cedar Rapids,1000875,4.36,"1321 15TH SE, Cedar Rapids, Iowa",41.9725208,-91.649068
2010-02-13,2010,394 17TH SE,Cedar Rapids,1001053,3.39,"394 17TH SE, Cedar Rapids, Iowa",41.983908,-91.646164
2010-02-16,2010,1925 20TH NW,Cedar Rapids,1001106,6.02,"1925 20TH NW, Cedar Rapids, Iowa",41.995072,-91.6989399
2010-02-26,2010,1412 SCARLET SAGE SW,Cedar Rapids,1001343,8.07,"1412 SCARLET SAGE SW, Cedar Rapids, Iowa",41.916682,-91.6327994
2010-03-01,2010,5443 GORDON NW,Cedar Rapids,1001413,4.08,"5443 GORDON NW, Cedar Rapids, Iowa",41.971421,-91.741801
2010-03-08,2010,2981 6TH SW,Cedar Rapids,1001577,5.2,"2981 6TH SW, Cedar Rapids, Iowa",41.9481724,-91.6767353
2010-03-12,2010,4617 J SW,Cedar Rapids,1001681,7.44,"4617 J SW, Cedar Rapids, Iowa",41.9327276,-91.6659564
2010-03-15,2010,2020 SCOTTY SW,Cedar Rapids,1001767,3.02,"2020 SCOTTY SW, Cedar Rapids, Iowa",41.9584998,-91.7206067
2010-03-18,2010,2253 C SW,Cedar Rapids,1001824,5.11,"2253 C SW, Cedar Rapids, Iowa",41.9575581,-91.6502249
