Date,year,Address,City,Inc #,Turnout,Travel,RT original,Responsetime,address_geo,lat,long
2010-01-02,2010,127 E College St,Iowa City,2015-10-26,01:39:00,01:37:00,03:16:00,3.16,"127 E College St, Iowa City, Iowa",41.6589192,-91.533477
2010-01-10,2010,112 S Summit St,Iowa City,10-122,1899-12-30,01:19:00,01:19:00,1.19,"112 S Summit St, Iowa City, Iowa",41.659563,-91.520936
2010-01-21,2010,510 S Johnson St.,Iowa City,10-241,01:45:00,01:52:00,03:37:00,3.37,"510 S Johnson St., Iowa City, Iowa",41.654996,-91.526888
2010-01-28,2010,2551 Nevada Ave,Iowa City,10-345,01:36:00,02:58:00,04:34:00,4.34,"2551 Nevada Ave, Iowa City, Iowa",41.630592,-91.5025
2010-01-28,2010,1205 Laura Drive,Iowa City,10-335,02:49:00,05:28:00,08:17:00,8.17,"1205 Laura Drive, Iowa City, Iowa",41.684809,-91.543113
2010-02-16,2010,223 E Bloomington St,Iowa City,10-534,01:41:00,01:28:00,03:09:00,3.09,"223 E Bloomington St, Iowa City, Iowa",41.664406,-91.532119
2010-02-18,2010,515 E College St,Iowa City,10-557,01:42:00,01:16:00,02:58:00,2.58,"515 E College St, Iowa City, Iowa",41.658613,-91.527979
2010-02-21,2010,2404 Bartelt Rd,Iowa City,10-594,01:29:00,03:44:00,05:13:00,5.13,"2404 Bartelt Rd, Iowa City, Iowa",41.6541476,-91.5740197
2010-02-25,2010,320 E Washington St,Iowa City,10-641,01:29:00,01:22:00,02:51:00,2.51,"320 E Washington St, Iowa City, Iowa",41.6603942,-91.5310564
2010-03-09,2010,2401 HWY 6 E,Iowa City,10-776,02:43:00,01:51:00,04:34:00,4.34,"2401 HWY 6 E, Iowa City, Iowa",41.6352244,-91.5000773
2010-03-18,2010,940 Longfellow Ct,Iowa City,10-847,01:47:00,03:39:00,05:26:00,5.26,"940 Longfellow Ct, Iowa City, Iowa",41.650727,-91.515237
2010-03-21,2010,2570 Independence Road,Iowa City,10-868,02:40:00,03:42:00,06:22:00,6.22,"2570 Independence Road, Iowa City, Iowa",41.632758,-91.474934
2010-03-29,2010,2635 Westwinds Dr,Iowa City,10-951,01:18:00,04:47:00,06:05:00,6.05,"2635 Westwinds Dr, Iowa City, Iowa",41.650799,-91.578572
2010-04-14,2010,1060 Scott Park Dr,Iowa City,10/1/1124,02:21:00,05:29:00,07:50:00,7.5,"1060 Scott Park Dr, Iowa City, Iowa",41.662166,-91.481698
2010-04-17,2010,1328 E Bloomington St,Iowa City,10/1/1173,01:21:00,02:07:00,03:28:00,3.28,"1328 E Bloomington St, Iowa City, Iowa",41.6649079,-91.516186
2010-04-18,2010,1342 Oxford Pl,Iowa City,10/1/1177,01:31:00,03:07:00,04:38:00,4.38,"1342 Oxford Pl, Iowa City, Iowa",41.644545,-91.488319
2010-04-30,2010,1511 Spruce St,Iowa City,10/1/1315,00:19:00,05:03:00,05:22:00,5.22,"1511 Spruce St, Iowa City, Iowa",41.643428,-91.512523
2010-04-30,2010,2040 Waterfront Dr,Iowa City,10/1/1303,02:16:00,03:58:00,06:14:00,6.14,"2040 Waterfront Dr, Iowa City, Iowa",41.637776,-91.529345
2010-05-30,2010,1205 Laura Dr,Iowa City,10/1/1683,01:24:00,03:00:00,04:24:00,4.24,"1205 Laura Dr, Iowa City, Iowa",41.684809,-91.543113
2010-06-01,2010,3342 Rohret Rd,Iowa City,10/1/1705,00:59:00,03:51:00,04:50:00,4.5,"3342 Rohret Rd, Iowa City, Iowa",41.646094,-91.588499
2010-08-03,2010,834 Clark St,Iowa City,2491-10-01,02:08:00,02:51:00,04:59:00,4.59,"834 Clark St, Iowa City, Iowa",41.651216,-91.5192299
2010-08-13,2010,218 E Market St,Iowa City,2613-10-01,01:57:00,01:46:00,03:43:00,3.43,"218 E Market St, Iowa City, Iowa",41.6637729,-91.532317
2010-08-22,2010,630 S Capitol St,Iowa City,2728-10-01,1899-12-30,03:02:00,03:02:00,3.02,"630 S Capitol St, Iowa City, Iowa",41.653607,-91.535771
2010-09-08,2010,838 Walnut St,Iowa City,2993-10-01,00:59:00,02:41:00,03:40:00,3.4,"838 Walnut St, Iowa City, Iowa",41.6505115,-91.5226453
2010-09-11,2010,1080 Silvercrest Way,Iowa City,3030-10-01,01:14:00,06:14:00,07:28:00,7.28,"1080 Silvercrest Way, Iowa City, Iowa",41.6490592,-91.4806716
2010-09-19,2010,25 s Madison St,Iowa City,3132-10-01,01:11:00,02:39:00,03:50:00,3.5,"25 s Madison St, Iowa City, Iowa",41.6609691,-91.5377053
2010-10-15,2010,1109 Pine St,Iowa City,3493-10-01,01:53:00,03:52:00,05:45:00,5.45,"1109 Pine St, Iowa City, Iowa",41.648911,-91.513864
2010-10-24,2010,2711 Ferndale Dr,Iowa City,3640-10-01,02:13:00,01:47:00,04:00:00,4,"2711 Ferndale Dr, Iowa City, Iowa",41.655324,-91.494983
2010-10-29,2010,2401 E Highway #6,Iowa City,3703-10-01,01:39:00,02:24:00,04:03:00,4.03,"2401 E Highway #6, Iowa City, Iowa",41.6352244,-91.5000773
2010-11-23,2010,219 E Iowa Ave,Iowa City,4027-10-01,01:20:00,01:28:00,02:48:00,2.48,"219 E Iowa Ave, Iowa City, Iowa",41.6608963,-91.5322989
2010-11-25,2010,2420 S Old Highway 218,Iowa City,4040-10-01,02:17:00,04:19:00,06:36:00,6.36,"2420 S Old Highway 218, Iowa City, Iowa",41.6345081,-91.5388446
2010-11-30,2010,2901 Melrose Ave,Iowa City,4102-10-01,00:50:00,04:30:00,05:20:00,5.2,"2901 Melrose Ave, Iowa City, Iowa",41.654121,-91.5811013
2010-12-03,2010,4 Washington Pl,Iowa City,4145-10-01,01:46:00,03:07:00,04:53:00,4.53,"4 Washington Pl, Iowa City, Iowa",41.659528,-91.515897
2010-12-15,2010,2401 Bartlelt Rd,Iowa City,4274-10-01,02:47:00,04:31:00,07:18:00,7.18,"2401 Bartlelt Rd, Iowa City, Iowa",41.6541195,-91.5739886
2011-01-28,2011,121 E Washington St,Iowa City,11-303,02:09:00,03:25:00,05:34:00,5.34,"121 E Washington St, Iowa City, Iowa",41.6598812,-91.533816
2011-01-29,2011,421 S Dodge St,Iowa City,11-318,02:45:00,01:07:00,03:52:00,3.52,"421 S Dodge St, Iowa City, Iowa",41.655941,-91.526254
2011-02-14,2011,1402 Esther St,Iowa City,11-550,02:49:00,02:31:00,05:20:00,5.2,"1402 Esther St, Iowa City, Iowa",41.644628,-91.492611
2011-03-05,2011,201 Hawk Ridge Dr,Iowa City,11-774,02:13:00,04:54:00,07:07:00,7.07,"201 Hawk Ridge Dr, Iowa City, Iowa",41.6478487,-91.5536316
2011-03-14,2011,2470 Lakeside Dr,Iowa City,11-873,01:39:00,02:46:00,04:25:00,4.25,"2470 Lakeside Dr, Iowa City, Iowa",41.634189,-91.501451
2011-03-14,2011,2470 Lakeside Dr,Iowa City,11-869,01:59:00,02:36:00,04:35:00,4.35,"2470 Lakeside Dr, Iowa City, Iowa",41.634189,-91.501451
2011-03-17,2011,214 E. Church St,Iowa City,11-892,03:29:00,01:44:00,05:13:00,5.13,"214 E. Church St, Iowa City, Iowa",41.66831,-91.532402
2011-04-02,2011,730 N Linn St,Iowa City,11/1/1107,02:02:00,02:13:00,04:15:00,4.15,"730 N Linn St, Iowa City, Iowa",41.669866,-91.531229
2011-04-04,2011,119 E College St,Iowa City,11/1/1128,1899-12-30,04:03:00,04:03:00,4.03,"119 E College St, Iowa City, Iowa",41.65879,-91.533473
2011-05-01,2011,434 S Johnson St,Iowa City,11/1/1461,02:31:00,02:43:00,05:14:00,5.14,"434 S Johnson St, Iowa City, Iowa",41.655757,-91.5268789
2011-05-02,2011,1303 Tracy Ln,Iowa City,11/1/1471,02:03:00,02:22:00,04:25:00,4.25,"1303 Tracy Ln, Iowa City, Iowa",41.639355,-91.51678
2011-05-08,2011,2500 E Highway #6,Iowa City,11/1/1561,02:00:00,01:53:00,03:53:00,3.53,"2500 E Highway #6, Iowa City, Iowa",41.6352244,-91.5000773
2011-05-29,2011,401 Kirkwood Ave,Iowa City,11/1/1817,01:37:00,01:49:00,03:26:00,3.26,"401 Kirkwood Ave, Iowa City, Iowa",41.649077,-91.530391
2011-06-07,2011,403 Armhurst St,Iowa City,1936-11-01,01:52:00,04:58:00,06:50:00,6.5,"403 Armhurst St, Iowa City, Iowa",41.665761,-91.487519
2011-06-29,2011,1032 Howell St,Iowa City,2220-11-01,02:42:00,02:06:00,04:48:00,4.48,"1032 Howell St, Iowa City, Iowa",41.648741,-91.519806
2011-07-05,2011,58 Rita Lyn Ct,Iowa City,2280-11-01,01:34:00,04:13:00,05:47:00,5.47,"58 Rita Lyn Ct, Iowa City, Iowa",41.663608,-91.503936
2011-07-05,2011,1205 Laur Dr,Iowa City,2274-11-01,01:54:00,04:37:00,06:31:00,6.31,"1205 Laur Dr, Iowa City, Iowa",41.684809,-91.543113
2011-07-23,2011,2140 Davis St,Iowa City,2513-11-01,1899-12-30,04:41:00,04:41:00,4.41,"2140 Davis St, Iowa City, Iowa",41.637771,-91.5168
2011-08-07,2011,1037 Cross Park Ave,Iowa City,2709-11-01,01:50:00,02:37:00,04:27:00,4.27,"1037 Cross Park Ave, Iowa City, Iowa",41.6388296,-91.521153
2011-08-23,2011,729 N Dubuque St,Iowa City,2919-11-01,01:42:00,02:39:00,04:21:00,4.21,"729 N Dubuque St, Iowa City, Iowa",41.670347,-91.533081
2011-09-07,2011,2401 E Highway #6,Iowa City,3175-11-01,01:14:00,02:09:00,03:23:00,3.23,"2401 E Highway #6, Iowa City, Iowa",41.6352244,-91.5000773
2011-09-12,2011,324 N Lucas St,Iowa City,3247-11-01,01:22:00,01:39:00,03:01:00,3.01,"324 N Lucas St, Iowa City, Iowa",41.6653019,-91.523955
2011-09-12,2011,734 Westwinds Dr,Iowa City,3231-11-01,02:42:00,05:06:00,07:48:00,7.48,"734 Westwinds Dr, Iowa City, Iowa",41.652109,-91.577457
2011-09-20,2011,420 N 1st Ave,Iowa City,3373-11-01,00:53:00,04:27:00,05:20:00,5.2,"420 N 1st Ave, Iowa City, Iowa",41.666789,-91.501436
2011-09-24,2011,225 E Iowa Ave,Iowa City,3429-11-01,01:26:00,00:57:00,02:23:00,2.23,"225 E Iowa Ave, Iowa City, Iowa",41.660984,-91.532031
2011-10-02,2011,1916 Waterfront Dr,Iowa City,3539-11-01,01:34:00,01:57:00,03:31:00,3.31,"1916 Waterfront Dr, Iowa City, Iowa",41.6418294,-91.529644
2011-10-21,2011,432 Samoa Dr,Iowa City,3800-11-01,02:05:00,03:19:00,05:24:00,5.24,"432 Samoa Dr, Iowa City, Iowa",41.655305,-91.576265
2011-10-24,2011,2420 Wayne Ave,Iowa City,3863-11-01,01:44:00,01:42:00,03:26:00,3.26,"2420 Wayne Ave, Iowa City, Iowa",41.647671,-91.499996
2011-11-01,2011,1902 Woodridge Ave,Iowa City,3991-11-01,01:39:00,02:55:00,04:34:00,4.34,"1902 Woodridge Ave, Iowa City, Iowa",41.664524,-91.508296
2011-11-02,2011,511 Westwinds Dr,Iowa City,4008-11-01,01:16:00,03:06:00,04:22:00,4.22,"511 Westwinds Dr, Iowa City, Iowa",41.654782,-91.578539
2011-11-13,2011,801 Bowery St,Iowa City,4176-11-01,01:32:00,01:52:00,03:24:00,3.24,"801 Bowery St, Iowa City, Iowa",41.653854,-91.524005
2011-11-14,2011,3525 Shamorck Pl,Iowa City,4190-11-01,1899-12-30,06:46:00,06:46:00,6.46,"3525 Shamorck Pl, Iowa City, Iowa",41.6554721,-91.4818374
2011-12-26,2011,2427 Petsel Pl,Iowa City,4662-11-01,00:53:00,03:30:00,04:23:00,4.23,"2427 Petsel Pl, Iowa City, Iowa",41.655,-91.57523
2012-01-01,2012,320 S Dubuque St,Iowa City,2015-12-04,01:46:00,01:32:00,03:18:00,3.18,"320 S Dubuque St, Iowa City, Iowa",41.6570266,-91.5327378
2012-01-02,2012,E Market St and N Lucas St,Iowa City,2015-12-18,01:55:00,01:47:00,03:42:00,3.42,"E Market St and N Lucas St, Iowa City, Iowa",41.6635146,-91.5242554
2012-01-17,2012,517 S Linn St,Iowa City,12-187,02:29:00,02:10:00,04:39:00,4.39,"517 S Linn St, Iowa City, Iowa",41.654964,-91.532141
2012-01-21,2012,1132 Ash St,Iowa City,12-232,02:44:00,03:29:00,06:13:00,6.13,"1132 Ash St, Iowa City, Iowa",41.647778,-91.514376
2012-02-19,2012,1114 Essex St,Iowa City,12-587,01:50:00,02:50:00,04:40:00,4.4,"1114 Essex St, Iowa City, Iowa",41.6481939,-91.492645
2012-02-21,2012,322 N Van Buren St,Iowa City,12-625,02:15:00,01:18:00,03:33:00,3.33,"322 N Van Buren St, Iowa City, Iowa",41.665335,-91.528208
2012-03-11,2012,2707 Triple Crown Ln,Iowa City,12-856,01:35:00,02:20:00,03:55:00,3.55,"2707 Triple Crown Ln, Iowa City, Iowa",41.6307811,-91.4908383
2012-03-17,2012,30 W Court St,Iowa City,12-929,00:35:00,02:28:00,03:03:00,3.03,"30 W Court St, Iowa City, Iowa",41.6566344,-91.5366621
2012-03-21,2012,1233 Sandusky Dr,Iowa City,12-974,01:13:00,03:01:00,04:14:00,4.14,"1233 Sandusky Dr, Iowa City, Iowa",41.6368691,-91.5173951
2012-04-07,2012,2000 Industrial Park Rd,Iowa City,12/1/1221,01:33:00,02:59:00,04:32:00,4.32,"2000 Industrial Park Rd, Iowa City, Iowa",41.6361062,-91.4948517
2012-04-10,2012,1418 Sycamore St,Iowa City,12/1/1259,02:00:00,03:54:00,05:54:00,5.54,"1418 Sycamore St, Iowa City, Iowa",41.645058,-91.511273
2012-04-13,2012,1205 Laura Dr,Iowa City,12/1/1288,01:41:00,04:41:00,06:22:00,6.22,"1205 Laura Dr, Iowa City, Iowa",41.684809,-91.543113
2012-05-03,2012,2000 Industrial Park Rd,Iowa City,12/1/1572,02:00:00,02:11:00,04:11:00,4.11,"2000 Industrial Park Rd, Iowa City, Iowa",41.6361062,-91.4948517
2012-05-07,2012,1001 Oakcrest St,Iowa City,12/1/1645,01:44:00,03:58:00,05:42:00,5.42,"1001 Oakcrest St, Iowa City, Iowa",41.6516561,-91.5530734
2012-05-13,2012,825 Hudson Ave,Iowa City,12/1/1734,01:25:00,02:56:00,04:21:00,4.21,"825 Hudson Ave, Iowa City, Iowa",41.649512,-91.545818
2012-05-24,2012,2500 E Highway #6,Iowa City,12/1/1875,01:17:00,02:22:00,03:39:00,3.39,"2500 E Highway #6, Iowa City, Iowa",41.6352244,-91.5000773
2012-06-13,2012,2240 Taylor Dr,Iowa City,2169-12-01,01:31:00,02:09:00,03:40:00,3.4,"2240 Taylor Dr, Iowa City, Iowa",41.6361489,-91.5183221
2012-07-11,2012,1914 Gleason Ave,Iowa City,2544-12-01,01:21:00,02:26:00,03:47:00,3.47,"1914 Gleason Ave, Iowa City, Iowa",41.637307,-91.50809
2012-07-21,2012,2238 Russell Dr,Iowa City,2694-12-01,01:27:00,02:10:00,03:37:00,3.37,"2238 Russell Dr, Iowa City, Iowa",41.636156,-91.5147269
2012-07-22,2012,1035 Howell St,Iowa City,2708-12-01,01:14:00,02:22:00,03:36:00,3.36,"1035 Howell St, Iowa City, Iowa",41.648457,-91.520572
2012-07-26,2012,2401 6 HWY E,Iowa City,2777-12-01,02:04:00,02:01:00,04:05:00,4.05,"2401 6 HWY E, Iowa City, Iowa",41.6352244,-91.5000773
2012-08-04,2012,411 S Summit St,Iowa City,2916-12-01,01:45:00,04:24:00,06:09:00,6.09,"411 S Summit St, Iowa City, Iowa",41.656159,-91.521645
2012-08-19,2012,403 S Johnson St,Iowa City,3163-12-01,01:00:00,02:13:00,03:13:00,3.13,"403 S Johnson St, Iowa City, Iowa",41.656515,-91.527686
2012-09-01,2012,712 E Market St,Iowa City,3403-12-01,01:32:00,01:23:00,02:55:00,2.55,"712 E Market St, Iowa City, Iowa",41.663848,-91.525154
2012-09-07,2012,816 Cross Park Ave,Iowa City,3497-12-01,01:58:00,03:06:00,05:04:00,5.04,"816 Cross Park Ave, Iowa City, Iowa",41.6390928,-91.5240941
2012-09-11,2012,1817 Hollywood Ct,Iowa City,3594-12-01,01:09:00,01:58:00,03:07:00,3.07,"1817 Hollywood Ct, Iowa City, Iowa",41.639879,-91.51017
2012-09-29,2012,816 S Gilbert,Iowa City,3888-12-01,00:59:00,01:47:00,02:46:00,2.46,"816 S Gilbert, Iowa City, Iowa",41.6515939,-91.5310362
2012-10-12,2012,1205 Laura Dr,Iowa City,4112-12-01,01:03:00,04:16:00,05:19:00,5.19,"1205 Laura Dr, Iowa City, Iowa",41.684809,-91.543113
2012-10-21,2012,612 Keswick Dr,Iowa City,4273-12-01,01:22:00,01:50:00,03:12:00,3.12,"612 Keswick Dr, Iowa City, Iowa",41.652697,-91.567215
2012-10-24,2012,335 S Gilbert St,Iowa City,4318-12-01,00:44:00,01:54:00,02:38:00,2.38,"335 S Gilbert St, Iowa City, Iowa",41.6571097,-91.5305105
2012-11-10,2012,225 S Grand Ave,Iowa City,4549-12-01,01:06:00,01:09:00,02:15:00,2.15,"225 S Grand Ave, Iowa City, Iowa",41.6568467,-91.5460062
2012-11-29,2012,500 E Market St,Iowa City,4786-12-01,01:31:00,01:09:00,02:40:00,2.4,"500 E Market St, Iowa City, Iowa",41.6641176,-91.528466
2012-12-01,2012,413 Samoa Dr,Iowa City,4828-12-01,01:38:00,02:33:00,04:11:00,4.11,"413 Samoa Dr, Iowa City, Iowa",41.6556519,-91.5765526
2012-12-01,2012,413 samoa Dr,Iowa City,4824-12-01,01:48:00,03:00:00,04:48:00,4.48,"413 samoa Dr, Iowa City, Iowa",41.6556519,-91.5765526
2013-01-12,2013,403 N 7th Ave,Iowa City,13-166,01:56:00,03:21:00,05:17:00,5.17,"403 N 7th Ave, Iowa City, Iowa",41.6668779,-91.511295
2013-01-22,2013,1515 Jackson Ave,Iowa City,13-309,01:45:00,03:21:00,05:06:00,5.06,"1515 Jackson Ave, Iowa City, Iowa",41.650322,-91.513197
2013-01-23,2013,316 E Bloomington St,Iowa City,13-322,01:32:00,01:06:00,02:38:00,2.38,"316 E Bloomington St, Iowa City, Iowa",41.6646929,-91.5309064
2013-02-11,2013,115 S Lucas St,Iowa City,13-591,01:53:00,01:26:00,03:19:00,3.19,"115 S Lucas St, Iowa City, Iowa",41.659451,-91.524676
