Date,year,Address,City,Alarm,Arrival,RT original,Responsetime,address_geo,lat,long
2014-10-17,2014,701 9th Avenue,Marion,08:39:30,08:40:40,00:01:10,1.1,"701 9th Avenue, Marion, Iowa",42.034798,-91.602439
2014-03-27,2014,901 S. 11th Street,Marion,13:14:37,13:15:56,00:01:19,1.19,"901 S. 11th Street, Marion, Iowa",42.021476,-91.597421
2011-02-28,2011,1485 Grand Avenue,Marion,23:33:16,23:34:50,00:01:34,1.34,"1485 Grand Avenue, Marion, Iowa",42.0197428,-91.5942852
2013-10-08,2013,1521 11th Street,Marion,20:24:27,20:26:05,00:01:38,1.38,"1521 11th Street, Marion, Iowa",42.040011,-91.59765
2013-10-16,2013,305 2nd Avenue,Marion,14:57:18,14:59:03,00:01:45,1.45,"305 2nd Avenue, Marion, Iowa",42.027823,-91.606456
2010-11-04,2010,1520 11th Street,Marion,15:02:43,15:04:30,00:01:47,1.47,"1520 11th Street, Marion, Iowa",42.04002,-91.598416
2010-09-17,2010,770 7th Street,Marion,09:42:07,09:44:11,00:02:04,2.04,"770 7th Street, Marion, Iowa",42.0339794,-91.6027926
2010-05-24,2010,1701 Jackson Drive,Marion,00:09:16,00:11:25,00:02:09,2.09,"1701 Jackson Drive, Marion, Iowa",42.0409128,-91.5411374
2013-04-22,2013,3405 7th Avenue,Marion,11:11:49,11:13:59,00:02:10,2.1,"3405 7th Avenue, Marion, Iowa",42.0355503,-91.5762664
2011-12-24,2011,1005 7th Street,Marion,05:14:58,05:17:08,00:02:10,2.1,"1005 7th Street, Marion, Iowa",42.036417,-91.60243
2011-06-14,2011,1550 50th Street,Marion,13:24:34,13:26:45,00:02:11,2.11,"1550 50th Street, Marion, Iowa",42.038902,-91.557301
2011-06-30,2011,80 W. 8th Avenue,Marion,13:03:02,13:05:17,00:02:15,2.15,"80 W. 8th Avenue, Marion, Iowa",42.034628,-91.612143
2013-03-27,2013,1420 Twixt Town Road,Marion,05:00:12,05:02:32,00:02:20,2.2,"1420 Twixt Town Road, Marion, Iowa",42.0277502,-91.6183232
2013-02-13,2013,780 5th Avenue,Marion,15:23:44,15:26:09,00:02:25,2.25,"780 5th Avenue, Marion, Iowa",42.031792,-91.602306
2011-06-13,2011,1550 50th Street,Marion,10:06:16,10:08:42,00:02:26,2.26,"1550 50th Street, Marion, Iowa",42.038902,-91.557301
2014-04-24,2014,959 10th Street,Marion,15:00:52,15:03:18,00:02:26,2.26,"959 10th Street, Marion, Iowa",42.03561,-91.598916
2014-05-20,2014,1461 39th Street,Marion,15:00:30,15:02:56,00:02:26,2.26,"1461 39th Street, Marion, Iowa",42.0408345,-91.5706839
2014-07-13,2014,954 6th Street,Marion,19:13:11,19:15:44,00:02:33,2.33,"954 6th Street, Marion, Iowa",42.03588,-91.604317
2010-08-15,2010,3495 7th Avenue,Marion,14:26:37,14:29:13,00:02:36,2.36,"3495 7th Avenue, Marion, Iowa",42.0353343,-91.5752156
2011-09-12,2011,1095 6th Avenue,Marion,16:48:28,16:51:04,00:02:36,2.36,"1095 6th Avenue, Marion, Iowa",42.0319963,-91.5986798
2010-07-16,2010,480 5th Avenue,Marion,22:08:13,22:10:54,00:02:41,2.41,"480 5th Avenue, Marion, Iowa",42.0316,-91.60507
2010-08-15,2010,585 8th Avenue,Marion,22:15:51,22:18:34,00:02:43,2.43,"585 8th Avenue, Marion, Iowa",42.033977,-91.604456
2014-04-25,2014,310 35th Street,Marion,08:12:56,08:15:42,00:02:46,2.46,"310 35th Street, Marion, Iowa",42.029784,-91.574945
2010-07-22,2010,20 Ash Drive,Marion,19:45:52,19:48:39,00:02:47,2.47,"20 Ash Drive, Marion, Iowa",42.0342032,-91.5736747
2014-11-08,2014,1018 7th Avenue,Marion,16:41:02,16:43:51,00:02:49,2.49,"1018 7th Avenue, Marion, Iowa",42.0334153,-91.5990146
2013-07-21,2013,449 Morris Drive,Marion,06:49:31,06:52:21,00:02:50,2.5,"449 Morris Drive, Marion, Iowa",42.0348738,-91.5651963
2014-11-11,2014,78 Birch Drive,Marion,20:08:36,20:11:27,00:02:51,2.51,"78 Birch Drive, Marion, Iowa",42.0336425,-91.5695934
2014-12-21,2014,3920 Highway 151,Marion,23:14:15,23:17:06,00:02:51,2.51,"3920 Highway 151, Marion, Iowa",42.0356241,-91.5504727
2010-08-02,2010,699 31st Street,Marion,14:14:36,14:17:32,00:02:56,2.56,"699 31st Street, Marion, Iowa",42.0336841,-91.5793755
2014-07-16,2014,957 12th Street,Marion,16:38:05,16:41:02,00:02:57,2.57,"957 12th Street, Marion, Iowa",42.035736,-91.596537
2010-09-18,2010,365 Marion Blvd,Marion,06:45:23,06:48:22,00:02:59,2.59,"365 Marion Blvd, Marion, Iowa",42.0290234,-91.6140983
2013-06-11,2013,920 W. 14th Avenue,Marion,13:34:39,13:37:39,00:03:00,3,"920 W. 14th Avenue, Marion, Iowa",42.039765,-91.620851
2014-06-30,2014,14th Street & 8th Avenue,Marion,14:54:00,14:57:00,00:03:00,3,"14th Street & 8th Avenue, Marion, Iowa",42.034183,-91.5946029
2010-06-24,2010,795 4th Avenue,Marion,18:12:30,18:15:30,00:03:00,3,"795 4th Avenue, Marion, Iowa",42.030427,-91.601911
2010-01-16,2010,901 7th Avenue,Marion,10:55:33,10:58:36,00:03:03,3.03,"901 7th Avenue, Marion, Iowa",42.033112,-91.600271
2011-09-10,2011,2730 24th Street,Marion,16:31:22,16:34:25,00:03:03,3.03,"2730 24th Street, Marion, Iowa",42.049309,-91.587774
2010-11-07,2010,5491 Highway 151,Marion,07:27:36,07:30:43,00:03:07,3.07,"5491 Highway 151, Marion, Iowa",42.0333902,-91.5532783
2013-02-13,2013,295 3rd Avenue,Marion,06:51:39,06:54:46,00:03:07,3.07,"295 3rd Avenue, Marion, Iowa",42.0295429,-91.607379
2010-07-23,2010,479 5th Avenue,Marion,10:08:40,10:11:47,00:03:07,3.07,"479 5th Avenue, Marion, Iowa",42.030436,-91.605133
2011-03-26,2011,530 3rd Avenue,Marion,12:52:12,12:55:21,00:03:09,3.09,"530 3rd Avenue, Marion, Iowa",42.0298418,-91.6047063
2013-10-16,2013,5500 Dyer Avenue,Marion,12:33:45,12:36:54,00:03:09,3.09,"5500 Dyer Avenue, Marion, Iowa",42.0367943,-91.5511416
2010-01-02,2010,975 12th Street,Marion,23:07:55,23:11:09,00:03:14,3.14,"975 12th Street, Marion, Iowa",42.035901,-91.596524
2010-08-09,2010,3500 29th Avenue,Marion,07:05:00,07:08:15,00:03:15,3.15,"3500 29th Avenue, Marion, Iowa",42.051012,-91.5736676
2014-10-14,2014,890 Bentley Drive,Marion,18:19:59,18:23:16,00:03:17,3.17,"890 Bentley Drive, Marion, Iowa",42.0462442,-91.6017473
2014-07-16,2014,560 W. 8th Avenue,Marion,18:48:53,18:52:11,00:03:18,3.18,"560 W. 8th Avenue, Marion, Iowa",42.034778,-91.616524
2014-02-18,2014,Highways 13 & 151,Marion,07:08:33,07:12:00,00:03:27,3.27,"Highways 13 & 151, Marion, Iowa",42.0358364,-91.5504392
2010-09-20,2010,102 3rd Avenue,Marion,23:06:24,23:09:51,00:03:27,3.27,"102 3rd Avenue, Marion, Iowa",42.030064,-91.610077
2011-03-07,2011,957 13th Street,Marion,00:12:51,00:16:19,00:03:28,3.28,"957 13th Street, Marion, Iowa",42.035718,-91.595401
2011-11-24,2011,1030 Twixt Town Road,Marion,11:50:48,11:54:16,00:03:28,3.28,"1030 Twixt Town Road, Marion, Iowa",42.0279081,-91.6208584
2011-11-12,2011,5491 Highway 151,Marion,16:58:35,17:02:06,00:03:31,3.31,"5491 Highway 151, Marion, Iowa",42.0333902,-91.5532783
2014-06-17,2014,975 12th Street,Marion,09:22:34,09:26:09,00:03:35,3.35,"975 12th Street, Marion, Iowa",42.035901,-91.596524
2014-09-08,2014,1485 9th Street,Marion,10:31:29,10:35:05,00:03:36,3.36,"1485 9th Street, Marion, Iowa",42.039858,-91.600147
2010-10-05,2010,1135 Blairs Ferry Road,Marion,14:33:51,14:37:31,00:03:40,3.4,"1135 Blairs Ferry Road, Marion, Iowa",42.031752,-91.620457
2010-05-20,2010,1375 Red Fox Way,Marion,19:02:14,19:05:55,00:03:41,3.41,"1375 Red Fox Way, Marion, Iowa",42.0385769,-91.551242
