Date,year,Address,City,Responsetime,lat,long
2010-01-02,2010,127 E College St,Iowa City,3.16,41.6589192,-91.533477
2010-01-10,2010,112 S Summit St,Iowa City,1.19,41.659563,-91.520936
2010-01-21,2010,510 S Johnson St.,Iowa City,3.37,41.654996,-91.526888
2010-01-28,2010,2551 Nevada Ave,Iowa City,4.34,41.630592,-91.5025
2010-01-28,2010,1205 Laura Drive,Iowa City,8.17,41.684809,-91.543113
2010-02-16,2010,223 E Bloomington St,Iowa City,3.09,41.664406,-91.532119
2010-02-18,2010,515 E College St,Iowa City,2.58,41.658613,-91.527979
2010-02-21,2010,2404 Bartelt Rd,Iowa City,5.13,41.6541476,-91.5740197
2010-02-25,2010,320 E Washington St,Iowa City,2.51,41.6603942,-91.5310564
2010-03-09,2010,2401 HWY 6 E,Iowa City,4.34,41.6352244,-91.5000773
2010-03-18,2010,940 Longfellow Ct,Iowa City,5.26,41.650727,-91.515237
2010-03-21,2010,2570 Independence Road,Iowa City,6.22,41.632758,-91.474934
2010-03-29,2010,2635 Westwinds Dr,Iowa City,6.05,41.650799,-91.578572
2010-04-14,2010,1060 Scott Park Dr,Iowa City,7.5,41.662166,-91.481698
2010-04-17,2010,1328 E Bloomington St,Iowa City,3.28,41.6649079,-91.516186
2010-04-18,2010,1342 Oxford Pl,Iowa City,4.38,41.644545,-91.488319
2010-04-30,2010,1511 Spruce St,Iowa City,5.22,41.643428,-91.512523
2010-04-30,2010,2040 Waterfront Dr,Iowa City,6.14,41.637776,-91.529345
2010-05-30,2010,1205 Laura Dr,Iowa City,4.24,41.684809,-91.543113
2010-06-01,2010,3342 Rohret Rd,Iowa City,4.5,41.646094,-91.588499
2010-08-03,2010,834 Clark St,Iowa City,4.59,41.651216,-91.5192299
2010-08-13,2010,218 E Market St,Iowa City,3.43,41.6637729,-91.532317
2010-08-22,2010,630 S Capitol St,Iowa City,3.02,41.653607,-91.535771
2010-09-08,2010,838 Walnut St,Iowa City,3.4,41.6505115,-91.5226453
2010-09-11,2010,1080 Silvercrest Way,Iowa City,7.28,41.6490592,-91.4806716
2010-09-19,2010,25 s Madison St,Iowa City,3.5,41.6609691,-91.5377053
2010-10-15,2010,1109 Pine St,Iowa City,5.45,41.648911,-91.513864
2010-10-24,2010,2711 Ferndale Dr,Iowa City,4,41.655324,-91.494983
2010-10-29,2010,2401 E Highway #6,Iowa City,4.03,41.6352244,-91.5000773
2010-11-23,2010,219 E Iowa Ave,Iowa City,2.48,41.6608963,-91.5322989
2010-11-25,2010,2420 S Old Highway 218,Iowa City,6.36,41.6345081,-91.5388446
2010-11-30,2010,2901 Melrose Ave,Iowa City,5.2,41.654121,-91.5811013
2010-12-03,2010,4 Washington Pl,Iowa City,4.53,41.659528,-91.515897
