Date,year,Address,City,Responsetime,lat,long
2014-10-17,2014,701 9th Avenue,Marion,1.1,42.034798,-91.602439
2014-03-27,2014,901 S. 11th Street,Marion,1.19,42.021476,-91.597421
2011-02-28,2011,1485 Grand Avenue,Marion,1.34,42.0197428,-91.5942852
2013-10-08,2013,1521 11th Street,Marion,1.38,42.040011,-91.59765
2013-10-16,2013,305 2nd Avenue,Marion,1.45,42.027823,-91.606456
2010-11-04,2010,1520 11th Street,Marion,1.47,42.04002,-91.598416
2010-09-17,2010,770 7th Street,Marion,2.04,42.0339794,-91.6027926
2010-05-24,2010,1701 Jackson Drive,Marion,2.09,42.0409128,-91.5411374
2013-04-22,2013,3405 7th Avenue,Marion,2.1,42.0355503,-91.5762664
2011-12-24,2011,1005 7th Street,Marion,2.1,42.036417,-91.60243
2011-06-14,2011,1550 50th Street,Marion,2.11,42.038902,-91.557301
2011-06-30,2011,80 W. 8th Avenue,Marion,2.15,42.034628,-91.612143
2013-03-27,2013,1420 Twixt Town Road,Marion,2.2,42.0277502,-91.6183232
2013-02-13,2013,780 5th Avenue,Marion,2.25,42.031792,-91.602306
2011-06-13,2011,1550 50th Street,Marion,2.26,42.038902,-91.557301
2014-04-24,2014,959 10th Street,Marion,2.26,42.03561,-91.598916
2014-05-20,2014,1461 39th Street,Marion,2.26,42.0408345,-91.5706839
2014-07-13,2014,954 6th Street,Marion,2.33,42.03588,-91.604317
2010-08-15,2010,3495 7th Avenue,Marion,2.36,42.0353343,-91.5752156
2011-09-12,2011,1095 6th Avenue,Marion,2.36,42.0319963,-91.5986798
2010-07-16,2010,480 5th Avenue,Marion,2.41,42.0316,-91.60507
2010-08-15,2010,585 8th Avenue,Marion,2.43,42.033977,-91.604456
2014-04-25,2014,310 35th Street,Marion,2.46,42.029784,-91.574945
2010-07-22,2010,20 Ash Drive,Marion,2.47,42.0342032,-91.5736747
2014-11-08,2014,1018 7th Avenue,Marion,2.49,42.0334153,-91.5990146
2013-07-21,2013,449 Morris Drive,Marion,2.5,42.0348738,-91.5651963
2014-11-11,2014,78 Birch Drive,Marion,2.51,42.0336425,-91.5695934
2014-12-21,2014,3920 Highway 151,Marion,2.51,42.0356241,-91.5504727
2010-08-02,2010,699 31st Street,Marion,2.56,42.0336841,-91.5793755
2014-07-16,2014,957 12th Street,Marion,2.57,42.035736,-91.596537
2010-09-18,2010,365 Marion Blvd,Marion,2.59,42.0290234,-91.6140983
2013-06-11,2013,920 W. 14th Avenue,Marion,3,42.039765,-91.620851
2014-06-30,2014,14th Street & 8th Avenue,Marion,3,42.034183,-91.5946029
2010-06-24,2010,795 4th Avenue,Marion,3,42.030427,-91.601911
2010-01-16,2010,901 7th Avenue,Marion,3.03,42.033112,-91.600271
2011-09-10,2011,2730 24th Street,Marion,3.03,42.049309,-91.587774
2010-11-07,2010,5491 Highway 151,Marion,3.07,42.0333902,-91.5532783
2013-02-13,2013,295 3rd Avenue,Marion,3.07,42.0295429,-91.607379
2010-07-23,2010,479 5th Avenue,Marion,3.07,42.030436,-91.605133
2011-03-26,2011,530 3rd Avenue,Marion,3.09,42.0298418,-91.6047063
2013-10-16,2013,5500 Dyer Avenue,Marion,3.09,42.0367943,-91.5511416
2010-01-02,2010,975 12th Street,Marion,3.14,42.035901,-91.596524
2010-08-09,2010,3500 29th Avenue,Marion,3.15,42.051012,-91.5736676
2014-10-14,2014,890 Bentley Drive,Marion,3.17,42.0462442,-91.6017473
2014-07-16,2014,560 W. 8th Avenue,Marion,3.18,42.034778,-91.616524
2014-02-18,2014,Highways 13 & 151,Marion,3.27,42.0358364,-91.5504392
2010-09-20,2010,102 3rd Avenue,Marion,3.27,42.030064,-91.610077
2011-03-07,2011,957 13th Street,Marion,3.28,42.035718,-91.595401
2011-11-24,2011,1030 Twixt Town Road,Marion,3.28,42.0279081,-91.6208584
2011-11-12,2011,5491 Highway 151,Marion,3.31,42.0333902,-91.5532783
2014-06-17,2014,975 12th Street,Marion,3.35,42.035901,-91.596524
2014-09-08,2014,1485 9th Street,Marion,3.36,42.039858,-91.600147
2010-10-05,2010,1135 Blairs Ferry Road,Marion,3.4,42.031752,-91.620457
2010-05-20,2010,1375 Red Fox Way,Marion,3.41,42.0385769,-91.551242
2011-03-28,2011,860 Linnview Drive,Marion,3.44,42.035935,-91.62482
2011-08-28,2011,2635 1st Avenue,Marion,3.44,42.027662,-91.584028
2011-11-18,2011,740 Alpine Road,Marion,3.47,42.0381969,-91.618788
2010-09-18,2010,225 Normandy Dr,Marion,3.49,42.0335529,-91.5678674
2010-05-21,2010,1095 6th Avenue,Marion,3.51,42.0319963,-91.5986798
2013-01-08,2013,750 Marion Boulevard,Marion,3.54,42.0274296,-91.6190795
2010-02-12,2010,1210 Blairs Ferry Road,Marion,3.56,42.0329229,-91.624533
2013-01-25,2013,2900 Indian Creek Road,Marion,3.56,42.0507464,-91.5916952
2014-02-24,2014,1366 7th Street,Marion,3.57,42.038951,-91.603025
2013-05-21,2013,129 Southview Drive,Marion,3.58,42.0288533,-91.6213773
2014-11-09,2014,101 S. 11th Street,Marion,3.58,42.027689,-91.597648
2013-10-18,2013,900 26th Street,Marion,4,42.034966,-91.585014
2011-09-06,2011,590 Bentley Drive,Marion,4.01,42.0461231,-91.6017496
2013-08-05,2013,820 27th Street,Marion,4.01,42.034354,-91.583899
2010-12-09,2010,1080 Lyons Lane,Marion,4.01,42.032797,-91.613625
2011-03-07,2011,115 Southview Drive,Marion,4.02,42.0279699,-91.6213804
2010-09-15,2010,1301 5th Avenue,Marion,4.03,42.031811,-91.595037
2013-11-14,2013,1120 W. 8th Avenue,Marion,4.04,42.0355,-91.623583
2014-03-03,2014,365 Marion Blvd.,Marion,4.04,42.0290234,-91.6140983
2011-12-23,2011,1030 Twixt Town Road,Marion,4.04,42.0279081,-91.6208584
2013-10-02,2013,102 3rd Avenue,Marion,4.05,42.030064,-91.610077
2013-02-22,2013,3909 29th Avenue,Marion,4.05,42.049661,-91.569518
2010-10-06,2010,655 49th Street,Marion,4.06,42.031268,-91.557439
2010-03-30,2010,4640 Vasey Avenue,Marion,4.1,42.04085,-91.560354
2011-08-04,2011,2430 17th Avenue,Marion,4.12,42.041544,-91.586651
2013-10-18,2013,3470 Crown Avenue,Marion,4.14,42.045859,-91.575115
2013-11-28,2013,1403 14th Street,Marion,4.15,42.039733,-91.5945
2011-04-12,2011,2900 Indian Creek Road,Marion,4.18,42.0507464,-91.5916952
2014-12-11,2014,439 Lindale Drive,Marion,4.19,42.030768,-91.623526
2014-01-05,2014,480 Ida Drive,Marion,4.21,42.0355737,-91.5646958
2010-12-21,2010,130 29th Street Court,Marion,4.22,42.028215,-91.581491
2013-07-09,2013,1690 Park Avenue,Marion,4.23,42.038903,-91.592383
2014-11-13,2014,170 Southview Drive,Marion,4.25,42.02877,-91.621754
2014-02-26,2014,3111 10th Street,Marion,4.27,42.0531719,-91.5988513
2011-10-06,2011,13 Chapel Ridge Circle,Marion,4.29,42.030533,-91.622012
2014-07-12,2014,343 Pheasant Avenue,Marion,4.3,42.0485479,-91.613606
2011-11-22,2011,180 21st Street,Marion,4.3,42.028767,-91.590383
2014-07-12,2014,343 Pheasant Avenue,Marion,4.3,42.0485479,-91.613606
2011-07-12,2011,1590 Brockman Avenue,Marion,4.31,42.042428,-91.59308
2010-10-29,2010,1135 Valley Park Street,Marion,4.31,42.019537,-91.600778
2011-02-09,2011,790 22nd Street,Marion,4.31,42.0341017,-91.5889828
2010-11-29,2010,1483 Grand Avenue,Marion,4.32,42.0205649,-91.5967558
2013-02-25,2013,6 Chapel Ridge Circle,Marion,4.32,42.030533,-91.622012
2014-12-31,2014,1210 Blairs Ferry Road,Marion,4.34,42.0329229,-91.624533
2014-05-15,2014,125 Southview Drive,Marion,4.38,42.028829,-91.62106
2013-02-10,2013,675 S. 15th Street,Marion,4.39,42.024067,-91.59155
2013-05-15,2013,490 20 Street,Marion,4.42,42.031336,-91.590765
2014-03-14,2014,925 Westview Drive,Marion,4.42,42.022615,-91.600269
2010-11-04,2010,2430 17th Avenue,Marion,4.45,42.041544,-91.586651
2010-08-18,2010,1030 Indian Creek Circle,Marion,4.45,42.049949,-91.598157
2011-08-24,2011,2560 Westminster Place,Marion,4.46,42.048,-91.617631
2010-07-24,2010,1680 9th Street,Marion,4.47,42.041646,-91.600815
2011-02-12,2011,5491 Highway 151,Marion,4.48,42.0333902,-91.5532783
2014-01-16,2014,3051 28th Avenue,Marion,4.49,42.049435,-91.579986
2010-06-07,2010,483 Ida Drive,Marion,4.54,42.0355459,-91.564671
2013-06-28,2013,3025 8th Street,Marion,4.54,42.052276,-91.601056
2011-08-30,2011,515 Bentley Drive,Marion,4.55,42.0461231,-91.6017496
2014-10-29,2014,4200 Munier Road,Marion,5,42.022293,-91.565674
2010-05-26,2010,760 Grand Avenue,Marion,5.01,42.020804,-91.601983
2010-11-11,2010,1121 Plumwood Court,Marion,5.01,42.045111,-91.62317
2014-03-29,2014,2650 Spoonbill Drive,Marion,5.03,42.048291,-91.564302
2013-06-30,2013,2990 24th Avenue,Marion,5.07,42.046725,-91.5804069
2013-06-26,2013,675 S. 15th Street,Marion,5.08,42.024067,-91.59155
2014-03-27,2014,895 S. 11th Street,Marion,5.1,42.02175,-91.597712
2013-03-12,2013,3060 16th Avenue,Marion,5.1,42.041064,-91.579656
2014-04-11,2014,520 17th Street,Marion,5.11,42.031756,-91.592443
2010-01-27,2010,396 18th Street,Marion,5.11,42.030847,-91.591913
2013-02-07,2013,3230 9th Street,Marion,5.11,42.053422,-91.6006419
2014-12-24,2014,2080 26th Street,Marion,5.12,42.043952,-91.585023
2013-08-10,2013,1731 Cherokee Drive,Marion,5.14,42.041276,-91.5456391
2011-05-10,2011,670 34th Avenue,Marion,5.14,42.055206,-91.602752
2011-01-17,2011,901 S. 11th Street,Marion,5.16,42.021476,-91.597421
2011-05-30,2011,2385 Stratford Drive,Marion,5.19,42.046154,-91.571831
2011-08-23,2011,2910 Newcastle Road,Marion,5.2,42.050743,-91.622888
2013-08-17,2013,1985 Blackhawk Drive,Marion,5.2,42.0424233,-91.5465507
2010-01-13,2010,3040 8th Street,Marion,5.21,42.0522874,-91.6013887
2011-08-03,2011,1485 Grand Avenue,Marion,5.27,42.0197428,-91.5942852
2014-11-26,2014,2980 East Post Road,Marion,5.3,42.0064978,-91.5992033
2011-09-27,2011,365 Irish Drive,Marion,5.32,42.056833,-91.611635
2014-07-05,2014,1525 Hillcrest Court,Marion,5.32,42.0160989,-91.592812
2013-06-09,2013,1510 9th Avenue,Marion,5.35,42.035206,-91.59371
2010-06-05,2010,210 13th Street,Marion,5.44,42.029196,-91.596103
2013-08-04,2013,2860 23rd Avenue,Marion,5.44,42.045924,-91.581832
2013-06-21,2013,880 14th Street,Marion,5.46,42.034699,-91.594941
2013-06-24,2013,2440 Eastlawn Drive,Marion,5.49,42.024937,-91.58613
2011-09-07,2011,2751 Regal Court,Marion,5.51,42.017041,-91.582658
2013-05-10,2013,775 Fairview Drive,Marion,5.52,42.0243687,-91.6016047
2013-04-20,2013,2635 6th Street,Marion,5.54,42.048949,-91.603591
2014-05-11,2014,1160 S. 12th Street,Marion,5.59,42.0182239,-91.597222
2010-09-20,2010,690 Bentley Dr,Marion,6.01,42.0462442,-91.6017473
2014-01-18,2014,1235 Lincoln Drive,Marion,6.02,42.0379409,-91.593131
2014-08-05,2014,345 W. 33rd Avenue,Marion,6.03,42.05398,-91.611326
2011-07-07,2011,2195 Catherine Court,Marion,6.07,42.018506,-91.589159
2010-11-30,2010,1483 Grand Avenue,Marion,6.1,42.0205649,-91.5967558
2013-05-08,2013,3175 8th Street,Marion,6.11,42.053177,-91.601049
2010-09-17,2010,2100 Highway 13,Marion,6.12,42.0126964,-91.550288
2010-11-27,2010,1682 Highway 151,Marion,6.13,42.0379827,-91.528734
2010-09-30,2010,200 Ridge Drive,Marion,6.15,42.0292799,-91.6220356
2010-07-23,2010,3108 Carlisle Circle,Marion,6.16,42.0545149,-91.5780429
2011-07-06,2011,1300 Highway 151,Marion,6.16,42.0472109,-91.4912394
2010-04-18,2010,400 Lindale Drive,Marion,6.2,42.030873,-91.626817
2013-01-16,2013,1710 Marion Airport Road,Marion,6.44,42.0354049,-91.5268681
2013-04-07,2013,4047 Bruce Road,Marion,6.44,42.062233,-91.600988
2010-10-16,2010,4500 Tower Terrace Road,Marion,6.56,42.0594695,-91.5796012
2011-08-08,2011,2167 Dawn Drive,Marion,6.56,42.068038,-91.619674
2011-10-04,2011,1351 Airport Road,Marion,7.33,41.2864563,-91.6687694
2010-05-02,2010,2149 Echo Hill Road,Marion,7.56,42.075953,-91.616967
2011-12-28,2011,1006 Orrian Drive,Marion,7.57,42.00867,-91.6057189
2014-06-15,2014,5650 Lucore Road,Marion,8.29,42.077193,-91.579665
2010-01-20,2010,3261 N. Alburnett Road,Marion,8.3,42.0990116,-91.6188369
2010-06-26,2010,1535 Radio Road,Marion,8.33,42.058783,-91.51345
2011-04-10,2011,County Home & Hindman Rds,Marion,8.45,42.093397,-91.5206365
