Service Name,time_diff_edit,Incident Date,Year,Full Address,Fire Incident Type,lat,long
Atkins Fire Department,10,6/22/10,2010,7251 30th AVE,Building fire,41.971541,-91.912003
Atkins Fire Department,5,7/15/11,2011,217 4th AVE,Building fire,41.9949048,-91.8668949
Atkins Fire Department,4,10/18/11,2011,100 Main AVE,Building fire,41.9961262,-91.861977
Atkins Fire Department,14,9/5/12,2012,6769 Benton-Linn RD,Building fire,42.076888,-91.834818
Atkins Fire Department,10,5/24/13,2013,6947 31st AVE,Building fire,42.014376,-91.8932845
Atkins Fire Department,3,9/18/13,2013,and Census Tract 2410.01,Building fire,41.9969436,-91.8621262
Atkins Fire Department,9,8/5/14,2014,2952 72nd ST,Building fire,41.9777021,-91.9119943
Belle Plaine Fire Department,6,1/15/13,2013,1512 6th AVE,Building fire,41.899939,-92.280314
Belle Plaine Fire Department,18,8/3/13,2013,3890 w,Building fire,41.8774077,-92.3411753
Belle Plaine Fire Department,6,10/9/13,2013,807 13 ST,Building fire,41.896834,-92.276092
Belle Plaine Fire Department,3,10/20/13,2013,1403 6th AVE,Building fire,41.898381,-92.279396
Belle Plaine Fire Department,5,11/16/13,2013,1606 7th AVE,Building fire,41.901304,-92.279133
Belle Plaine Fire Department,4,12/21/13,2013,701 8th AVE,Building fire,41.891343,-92.276075
Belle Plaine Fire Department,15,1/26/14,2014,7629 16th AVE,Building fire,41.916929,-92.186128
Belle Plaine Fire Department,12,2/9/14,2014,7772 13th ave dr AVE,Building fire,41.8955529,-92.2757404
Belle Plaine Fire Department,23,2/25/14,2014,3069 390th ST,Building fire,41.8614515,-92.3274384
Belle Plaine Fire Department,11,5/25/14,2014,104 maple ST,Building fire,41.90497,-92.180361
Belle Plaine Fire Department,4,9/20/14,2014,603 13th ST,Building fire,41.8970537,-92.2795234
Blairstown Fire Department,5,1/31/11,2011,300 locust ST Apt 1,Building fire,41.908876,-92.084087
Blairstown Fire Department,5,8/13/11,2011,604 Locust ST NE,Building fire,41.9109501,-92.084433
Blairstown Fire Department,13,2/3/12,2012,2482 77th STS,Building fire,41.9062539,-92.0456069
Blairstown Fire Department,5,8/18/13,2013,and The Apartment above the Bent Bucket corner bar.,Building fire,41.9086563,-92.0845119
Blairstown Fire Department,15,10/19/13,2013,7833 19th AVE,Building fire,41.883786,-92.126946
Blairstown Fire Department,7,11/14/13,2013,207 NE Prospect,Building fire,41.907825,-92.0817919
