Incident FDID,County,Service Name,Time Diff : Alarm - Arrival,time_diff_edit,Incident Date,Year,Full Address,Incident City,Fire Incident Type - Code,Fire Incident Type,full_address_geocode,lat,long
6001,Benton,Atkins Fire Department,0:00,0,2/20/05,2005,7297 32nd AVE,Atkins,111,Building fire,"7297 32nd AVE, Atkins, Iowa",41.964061,-91.8751769
6001,Benton,Atkins Fire Department,0:10,10,10/20/05,2005,3172 69th ST,Atkins,111,Building fire,"3172 69th ST, Atkins, Iowa",42.0211714,-91.8777986
6001,Benton,Atkins Fire Department,0:04,4,11/25/05,2005,86 Cardinal AVE,Atkins,111,Building fire,"86 Cardinal AVE, Atkins, Iowa",41.996555,-91.868781
6001,Benton,Atkins Fire Department,0:10,10,10/1/07,2007,7297 32nd AVE,Atkins,111,Building fire,"7297 32nd AVE, Atkins, Iowa",41.964061,-91.8751769
6001,Benton,Atkins Fire Department,0:05,5,11/25/07,2007,403 2nd AVE,Atkins,112,Fires in structure other than in a building,"403 2nd AVE, Atkins, Iowa",41.9926549,-91.8633068
6001,Benton,Atkins Fire Department,0:05,5,12/16/07,2007,102 3rd Ave.,Atkins,111,Building fire,"102 3rd Ave., Atkins, Iowa",41.995972,-91.864312
6001,Benton,Atkins Fire Department,0:07,7,11/11/08,2008,7301 33rd AVE,Atkins,112,Fires in structure other than in a building,"7301 33rd AVE, Atkins, Iowa",41.964768,-91.853366
6001,Benton,Atkins Fire Department,0:07,7,11/19/08,2008,7180 31st AVE,Atkins,112,Fires in structure other than in a building,"7180 31st AVE, Atkins, Iowa",41.979712,-91.887416
6001,Benton,Atkins Fire Department,0:13,13,1/16/09,2009,3073 73rd ST,Atkins,111,Building fire,"3073 73rd ST, Atkins, Iowa",41.967799,-91.898573
6001,Benton,Atkins Fire Department,0:02,2,8/9/09,2009,314 2nd AVE,Atkins,111,Building fire,"314 2nd AVE, Atkins, Iowa",41.993567,-91.862902
6001,Benton,Atkins Fire Department,0:10,10,6/22/10,2010,7251 30th AVE,Atkins,111,Building fire,"7251 30th AVE, Atkins, Iowa",41.971541,-91.912003
6001,Benton,Atkins Fire Department,0:06,6,8/14/10,2010,403 2nd ST,Atkins,118,"Trash or rubbish fire, contained","403 2nd ST, Atkins, Iowa",41.995378,-91.867189
6001,Benton,Atkins Fire Department,0:05,5,7/15/11,2011,217 4th AVE,Atkins,111,Building fire,"217 4th AVE, Atkins, Iowa",41.9949048,-91.8668949
6001,Benton,Atkins Fire Department,0:04,4,10/18/11,2011,100 Main AVE,Atkins,111,Building fire,"100 Main AVE, Atkins, Iowa",41.9961262,-91.861977
6001,Benton,Atkins Fire Department,0:14,14,9/5/12,2012,6769 Benton-Linn RD,Shellsburg,111,Building fire,"6769 Benton-Linn RD, Shellsburg, Iowa",42.076888,-91.834818
6001,Benton,Atkins Fire Department,0:10,10,5/24/13,2013,6947 31st AVE,Atkins,111,Building fire,"6947 31st AVE, Atkins, Iowa",42.014376,-91.8932845
6001,Benton,Atkins Fire Department,0:03,3,9/18/13,2013,and Census Tract 2410.01,Atkins,111,Building fire,"and Census Tract 2410.01, Atkins, Iowa",41.9969436,-91.8621262
6001,Benton,Atkins Fire Department,0:09,9,8/5/14,2014,2952 72nd ST,Atkins,111,Building fire,"2952 72nd ST, Atkins, Iowa",41.9777021,-91.9119943
6002,Benton,Belle Plaine Fire Department,0:04,4,11/13/04,2004,1522 SUNSET DR,BELLE PLAINE,111,Building fire,"1522 SUNSET DR, BELLE PLAINE, Iowa",41.901428,-92.265845
6002,Benton,Belle Plaine Fire Department,0:11,11,1/31/05,2005,112 11TH ST,BELLE PLAINE,111,Building fire,"112 11TH ST, BELLE PLAINE, Iowa",41.895482,-92.286472
6002,Benton,Belle Plaine Fire Department,0:06,6,3/10/05,2005,208 11TH ST,BELLE PLAINE,111,Building fire,"208 11TH ST, BELLE PLAINE, Iowa",41.895492,-92.284874
6002,Benton,Belle Plaine Fire Department,0:07,7,8/21/05,2005,1512 4TH AVE,BELLE PLAINE,111,Building fire,"1512 4TH AVE, BELLE PLAINE, Iowa",41.9000429,-92.283665
6002,Benton,Belle Plaine Fire Department,0:07,7,10/22/05,2005,1306 10TH AVE Apt 1,BELLE PLAINE,111,Building fire,"1306 10TH AVE Apt 1, BELLE PLAINE, Iowa",41.8975754,-92.2733082
6002,Benton,Belle Plaine Fire Department,0:06,6,1/15/13,2013,1512 6th AVE,Belle Plaine,111,Building fire,"1512 6th AVE, Belle Plaine, Iowa",41.899939,-92.280314
6002,Benton,Belle Plaine Fire Department,0:18,18,8/3/13,2013,3890 w,Belle Plaine,111,Building fire,"3890 w, Belle Plaine, Iowa",41.8774077,-92.3411753
6002,Benton,Belle Plaine Fire Department,0:06,6,10/9/13,2013,807 13 ST,Belle Plaine,111,Building fire,"807 13 ST, Belle Plaine, Iowa",41.896834,-92.276092
