Service Name,time_diff_edit,Incident Date,Year,Full Address,Fire Incident Type,lat,long
Iowa City Fire Department,3,1/2/10,2010,127 E COLLEGE ST,Building fire,41.6589192,-91.533477
Iowa City Fire Department,1,1/10/10,2010,112 S SUMMIT ST,Building fire,41.659563,-91.520936
Iowa City Fire Department,3,1/21/10,2010,510 S JOHNSON ST,Building fire,41.654996,-91.526888
Iowa City Fire Department,8,1/28/10,2010,1205 LAURA DR,Building fire,41.684809,-91.543113
Iowa City Fire Department,8,1/28/10,2010,1205 LAURA DR,Building fire,41.684809,-91.543113
Iowa City Fire Department,4,1/28/10,2010,2551 NEVADA AV,Building fire,41.630592,-91.5025
Iowa City Fire Department,8,1/28/10,2010,1205 LAURA DR,Building fire,41.684809,-91.543113
Iowa City Fire Department,4,2/6/10,2010,1926 BROADWAY ST,Building fire,41.6405972,-91.5200812
Iowa City Fire Department,3,2/16/10,2010,223 E BLOOMINGTON ST,Building fire,41.664406,-91.532119
Iowa City Fire Department,2,2/18/10,2010,515 E COLLEGE ST,Building fire,41.658613,-91.527979
Iowa City Fire Department,5,2/21/10,2010,2404 BARTELT RD Apt 2A,Building fire,41.6541476,-91.5740197
Iowa City Fire Department,2,2/25/10,2010,320 E WASHINGTON ST Apt 5A,Building fire,41.6603942,-91.5310564
Iowa City Fire Department,4,3/9/10,2010,2401 HWY 6 E Apt 4,Building fire,41.6352244,-91.5000773
Iowa City Fire Department,5,3/18/10,2010,940 LONGFELLOW CT,Building fire,41.650727,-91.515237
Iowa City Fire Department,6,3/21/10,2010,2570 INDEPENDENCE RD,Building fire,41.632758,-91.474934
Iowa City Fire Department,6,3/29/10,2010,2635 WESTWINDS DR,Building fire,41.650799,-91.578572
Iowa City Fire Department,7,4/14/10,2010,1060 SCOTT PARK DR,Building fire,41.662166,-91.481698
Iowa City Fire Department,3,4/17/10,2010,1328 E BLOOMINGTON ST,Building fire,41.6649079,-91.516186
Iowa City Fire Department,4,4/18/10,2010,1342 OXFORD PL,Building fire,41.644545,-91.488319
Iowa City Fire Department,6,4/30/10,2010,2040 WATERFRONT DR,Building fire,41.637776,-91.529345
Iowa City Fire Department,5,4/30/10,2010,1511 SPRUCE ST,Building fire,41.643428,-91.512523
Iowa City Fire Department,4,5/30/10,2010,1205 LAURA DR Apt 145,Building fire,41.684809,-91.543113
Iowa City Fire Department,4,6/1/10,2010,3342 ROHRET RD,Building fire,41.646094,-91.588499
Iowa City Fire Department,6,8/3/10,2010,834 CLARK ST,Building fire,41.651216,-91.5192299
Iowa City Fire Department,3,8/13/10,2010,218 E MARKET ST,Building fire,41.6637729,-91.532317
Iowa City Fire Department,3,8/22/10,2010,630 S CAPITOL ST,Building fire,41.653607,-91.535771
Iowa City Fire Department,3,9/8/10,2010,838 WALNUT ST,Building fire,41.6505115,-91.5226453
Iowa City Fire Department,7,9/11/10,2010,1080 SILVERCREST WAY,Building fire,41.6490592,-91.4806716
Iowa City Fire Department,3,9/19/10,2010,25 S MADISON ST,Building fire,41.6609691,-91.5377053
Iowa City Fire Department,6,10/15/10,2010,1109 PINE ST,Building fire,41.648911,-91.513864
Iowa City Fire Department,4,10/24/10,2010,2711 FERNDALE DR,Building fire,41.655324,-91.494983
Iowa City Fire Department,4,10/29/10,2010,2401 E HIGHWAY #6 Apt 3809,Building fire,41.6352244,-91.5000773
Iowa City Fire Department,2,11/23/10,2010,219 E IOWA AVE,Building fire,41.6608963,-91.5322989
Iowa City Fire Department,6,11/25/10,2010,2420 S OLD HIGHWAY 218,Building fire,41.6345081,-91.5388446
Iowa City Fire Department,5,11/30/10,2010,2901 MELROSE AVE,Building fire,41.653354,-91.581267
Iowa City Fire Department,4,12/3/10,2010,4 WASHINGTON PL,Building fire,41.659528,-91.515897
