Date,Year,Address,City,ResponseTime,lat,long
2-Jan-2010,2010,283 38TH STR SE,Cedar Rapids,6.51,42.0143181,-91.6307498
2-Jan-2010,2010,127 E College St,Iowa City,3.16,41.6589192,-91.533477
2-Jan-2010,2010,975 12th Street,Marion,3.14,42.035901,-91.596524
10-Jan-2010,2010,1317 6TH NW,Cedar Rapids,4.06,41.985935,-91.680531
10-Jan-2010,2010,112 S Summit St,Iowa City,1.19,41.659563,-91.520936
13-Jan-2010,2010,3040 8th Street,Marion,5.21,42.0522874,-91.6013887
16-Jan-2010,2010,901 7th Avenue,Marion,3.03,42.033112,-91.600271
19-Jan-2010,2010,4141 22ND SW,Cedar Rapids,3.19,41.957516,-91.725324
20-Jan-2010,2010,3261 N. Alburnett Road,Marion,8.3,42.0990116,-91.6188369
21-Jan-2010,2010,510 S Johnson St.,Iowa City,3.37,41.654996,-91.526888
27-Jan-2010,2010,396 18th Street,Marion,5.11,42.030847,-91.591913
28-Jan-2010,2010,2551 Nevada Ave,Iowa City,4.34,41.630592,-91.5025
28-Jan-2010,2010,1205 Laura Drive,Iowa City,8.17,41.684809,-91.543113
29-Jan-2010,2010,129 27TH STR SE,Cedar Rapids,4.14,42.00323,-91.6335579
29-Jan-2010,2010,129 27TH STR SE,Cedar Rapids,3.26,42.00323,-91.6335579
6-Feb-2010,2010,1321 15TH SE,Cedar Rapids,4.36,41.9725208,-91.649068
12-Feb-2010,2010,1210 Blairs Ferry Road,Marion,3.56,42.0329229,-91.624533
13-Feb-2010,2010,394 17TH SE,Cedar Rapids,3.39,41.983908,-91.646164
16-Feb-2010,2010,1925 20TH NW,Cedar Rapids,6.02,41.995072,-91.6989399
16-Feb-2010,2010,223 E Bloomington St,Iowa City,3.09,41.664406,-91.532119
18-Feb-2010,2010,515 E College St,Iowa City,2.58,41.658613,-91.527979
21-Feb-2010,2010,2404 Bartelt Rd,Iowa City,5.13,41.6541476,-91.5740197
25-Feb-2010,2010,320 E Washington St,Iowa City,2.51,41.6603942,-91.5310564
26-Feb-2010,2010,1412 SCARLET SAGE SW,Cedar Rapids,8.07,41.916682,-91.6327994
1-Mar-2010,2010,5443 GORDON NW,Cedar Rapids,4.08,41.971421,-91.741801
8-Mar-2010,2010,2981 6TH SW,Cedar Rapids,5.2,41.9481724,-91.6767353
9-Mar-2010,2010,2401 HWY 6 E,Iowa City,4.34,41.6352244,-91.5000773
12-Mar-2010,2010,4617 J SW,Cedar Rapids,7.44,41.9327276,-91.6659564
15-Mar-2010,2010,2020 SCOTTY SW,Cedar Rapids,3.02,41.9584998,-91.7206067
18-Mar-2010,2010,2253 C SW,Cedar Rapids,5.11,41.9575581,-91.6502249
18-Mar-2010,2010,940 Longfellow Ct,Iowa City,5.26,41.650727,-91.515237
21-Mar-2010,2010,253 38TH STR SE,Cedar Rapids,4.21,42.0146069,-91.6307928
21-Mar-2010,2010,2570 Independence Road,Iowa City,6.22,41.632758,-91.474934
24-Mar-2010,2010,2042 LINN SE,Cedar Rapids,5.33,41.993408,-91.632357
26-Mar-2010,2010,3524 NORTHWOOD NE,Cedar Rapids,4.55,42.015201,-91.674922
29-Mar-2010,2010,2635 Westwinds Dr,Iowa City,6.05,41.650799,-91.578572
30-Mar-2010,2010,4640 Vasey Avenue,Marion,4.1,42.04085,-91.560354
31-Mar-2010,2010,1252 32ND NE,Cedar Rapids,4.44,42.01077,-91.654663
1-Apr-2010,2010,3306 N. Marion Road,Marion,9.38,42.103793,-91.6019
4-Apr-2010,2010,511 17TH SE,Cedar Rapids,5.19,41.982158,-91.646781
5-Apr-2010,2010,1640 F NW,Cedar Rapids,5.04,41.97944,-91.6939711
6-Apr-2010,2010,1442 2nd SE,Cedar Rapids,0.02,41.9871377,-91.6516762
14-Apr-2010,2010,1060 Scott Park Dr,Iowa City,7.5,41.662166,-91.481698
16-Apr-2010,2010,1911 K SW,Cedar Rapids,4.42,41.959241,-91.668289
16-Apr-2010,2010,526 MEMORIAL SE,Cedar Rapids,2.49,41.98107,-91.627842
17-Apr-2010,2010,1328 E Bloomington St,Iowa City,3.28,41.6649079,-91.516186
18-Apr-2010,2010,1342 Oxford Pl,Iowa City,4.38,41.644545,-91.488319
18-Apr-2010,2010,400 Lindale Drive,Marion,6.2,42.030873,-91.626817
20-Apr-2010,2010,201 27TH STR SE,Cedar Rapids,4.26,42.003132,-91.633144
20-Apr-2010,2010,2417 Cimmarron Road,Marion,9.06,42.073182,-91.601131
28-Apr-2010,2010,3545 Coffey Lane,Marion,9.1,42.117331,-91.55748
30-Apr-2010,2010,830 BRIDGIT SE,Cedar Rapids,6.11,42.024757,-91.618441
30-Apr-2010,2010,1511 Spruce St,Iowa City,5.22,41.643428,-91.512523
30-Apr-2010,2010,2040 Waterfront Dr,Iowa City,6.14,41.637776,-91.529345
2-May-2010,2010,2149 Echo Hill Road,Marion,7.56,42.075953,-91.616967
6-May-2010,2010,2050 GLASS NE,Cedar Rapids,4.32,42.0127384,-91.6694312
9-May-2010,2010,4200 1ST E,Cedar Rapids,5.47,42.0228456,-91.632451
9-May-2010,2010,3211 44TH NE,Cedar Rapids,10.49,42.023305,-91.687965
10-May-2010,2010,901 Oakland NE,Cedar Rapids,3.01,41.995911,-91.660087
11-May-2010,2010,2928 MEADOWBROOK SE,Cedar Rapids,3.45,41.980998,-91.624786
16-May-2010,2010,2406 Franklin NE,Cedar Rapids,8.17,42.003146,-91.644219
20-May-2010,2010,1375 Red Fox Way,Marion,3.41,42.0385769,-91.551242
21-May-2010,2010,1095 6th Avenue,Marion,3.51,42.0319963,-91.5986798
24-May-2010,2010,1701 Jackson Drive,Marion,2.09,42.0409128,-91.5411374
26-May-2010,2010,760 Grand Avenue,Marion,5.01,42.020804,-91.601983
30-May-2010,2010,1205 Laura Dr,Iowa City,4.24,41.684809,-91.543113
31-May-2010,2010,1215 32ND NE,Cedar Rapids,4.36,42.009997,-91.653128
1-Jun-2010,2010,3342 Rohret Rd,Iowa City,4.5,41.646094,-91.588499
5-Jun-2010,2010,210 13th Street,Marion,5.44,42.029196,-91.596103
7-Jun-2010,2010,483 Ida Drive,Marion,4.54,42.0355459,-91.564671
12-Jun-2010,2010,1618 MORRIS NW,Cedar Rapids,5.39,41.990585,-91.726747
24-Jun-2010,2010,795 4th Avenue,Marion,3,42.030427,-91.601911
25-Jun-2010,2010,1400 SEMINOLE VALLEY NE,Cedar Rapids,6.28,42.0026004,-91.7281718
26-Jun-2010,2010,1535 Radio Road,Marion,8.33,42.058783,-91.51345
29-Jun-2010,2010,3230 DALEWOOD SE,Cedar Rapids,3.56,41.97871,-91.620622
5-Jul-2010,2010,112 OKLAHOMA AV SW,Cedar Rapids,6.52,41.917769,-91.662803
5-Jul-2010,2010,382 LESLEY NE,Cedar Rapids,6.35,42.0294716,-91.6899694
11-Jul-2010,2010,934 26TH SE,Cedar Rapids,3.14,41.975888,-91.630272
12-Jul-2010,2010,934 26TH SE,Cedar Rapids,3.35,41.975888,-91.630272
16-Jul-2010,2010,480 5th Avenue,Marion,2.41,42.0316,-91.60507
18-Jul-2010,2010,862 OAKLAND NE,Cedar Rapids,3.23,41.994578,-91.659267
20-Jul-2010,2010,419 36TH NE,Cedar Rapids,4.04,42.014414,-91.639191
22-Jul-2010,2010,20 Ash Drive,Marion,2.47,42.0342032,-91.5736747
23-Jul-2010,2010,479 5th Avenue,Marion,3.07,42.030436,-91.605133
23-Jul-2010,2010,3108 Carlisle Circle,Marion,6.16,42.0545149,-91.5780429
24-Jul-2010,2010,1680 9th Street,Marion,4.47,42.041646,-91.600815
2-Aug-2010,2010,304 K NW,Cedar Rapids,3.38,41.983869,-91.677818
2-Aug-2010,2010,699 31st Street,Marion,2.56,42.0336841,-91.5793755
3-Aug-2010,2010,1416 10TH NW,Cedar Rapids,4.4,41.9873819,-91.68615
3-Aug-2010,2010,834 Clark St,Iowa City,4.59,41.651216,-91.5192299
