Board/Commission,Member Name,City,County,Position,Term Begin,Term End↓,Gender,Party,Status
Accountancy Examining Board ,Dale Leibfried,Dubuque,DUBUQUE,Certified Public Accountant,2014-05-01,2017-04-30,Male,Rep,A
Accountancy Examining Board ,Shelley Laracuente,ANKENY,POLK,Public Member,2014-05-01,2017-04-30,Female,Rep,A
Accountancy Examining Board ,Cheryl Critelli,West Des Moines,POLK,Public Member,2015-05-01,2018-04-30,Female,Rep,A
Accountancy Examining Board ,Robert Snodgrass,CRESTON,UNION,Certified Public Accountant,2015-05-01,2018-04-30,Male,Dem,A
Accountancy Examining Board ,Tommy Thompson,FAIRFIELD,JEFFERSON,Cpa,2015-05-01,2018-04-30,Male,Rep,A
Accountancy Examining Board ,Laura Walker,PEOSTA,DUBUQUE,Certified Public Accountant,2016-05-01,2019-04-30,Female,None,A
Accountancy Examining Board ,Dirk Dixon,West Des Moines,POLK,Lpa,2016-05-01,2019-04-30,Male,None,A
Accountancy Examining Board ,Ying Sa,DES MOINES,POLK,Certified Public Accountant,2016-05-01,2019-04-30,Female,None,A
"Adult and Juvenile Offenders, Interstate Council for",Cord Overton,West Des Moines,POLK,Governor's Office Representative,2013-12-03,,Male,Rep,A
"Adult and Juvenile Offenders, Interstate Council for",Mary Roche,Des Moines,POLK,Victim Liaison,2012-12-03,,Female,None,A
"African Americans, Commission on the Status of",Rita Davenport,Boone,BOONE,Member,2013-05-01,2017-04-30,Female,Rep,A
"African Americans, Commission on the Status of","Kenneth Morris, Jr.",Cedar Rapids,LINN,Member,2014-07-01,2018-04-30,Male,None,A
"African Americans, Commission on the Status of",Veronica Sutton,Dubuque,DUBUQUE,Member,2014-05-01,2018-04-30,Female,None,A
"African Americans, Commission on the Status of","Clair Rudison, Jr.",DES MOINES,POLK,Member,2016-05-01,2020-04-30,Male,Rep,A
"African Americans, Commission on the Status of",Ahmadu Baba-Singhri,Des Moines,POLK,Member,2016-05-01,2020-04-30,Male,None,A
"African Americans, Commission on the Status of",Michael Hulme,Bondurant,POLK,Member,2016-05-01,2020-04-30,Male,Rep,A
"African Americans, Commission on the Status of",Miranda Mathis,Story City,STORY,Member,2016-05-01,2020-04-30,Female,Rep,A
"Aging, Commission on",Beverly Winkie,belle plaine,BENTON,55+,2015-04-14,2017-04-30,Female,Rep,A
"Aging, Commission on",Quentin Hart,WATERLOO,BLACK HAWK,Member,2013-05-01,2017-04-30,Male,Dem,A
"Aging, Commission on",G. Willard Jenkins,WATERLOO,BLACK HAWK,55+,2013-05-01,2017-04-30,Male,Rep,A
"Aging, Commission on",Carole Dunkin,DE WITT,CLINTON,55+,2015-05-01,2019-04-30,Female,Rep,A
"Aging, Commission on",Betty Grandquist,DES MOINES,POLK,55+,2015-05-01,2019-04-30,Female,Dem,A
"Aging, Commission on",Richard Stone,Indianola,WARREN,Member,2016-05-01,2020-04-30,Male,Rep,A
"Aging, Commission on",Richard Motz,Sioux City,WOODBURY,55+,2016-05-01,2020-04-30,Male,None,A
Agricultural Development Board,John Fredrickson,Gowrie,WEBSTER,Member,2013-07-01,2017-04-30,Male,None,A
Agricultural Development Board,Mark Leonard,HOLSTEIN,IDA,Member,2013-07-01,2018-04-30,Male,Rep,A
Agricultural Development Board,Stacie Euken,Wiota,CASS,Member,2013-07-01,2019-04-30,Female,None,A
Agricultural Development Board,Annette Townsley,Letts,LOUISA,Member,2015-05-01,2021-04-30,Female,Rep,A
Agricultural Development Board,Lyle Borg,Pella,MARION,Member,2016-05-01,2022-04-30,Male,Rep,A
"Agricultural Education, Council on",Dale Gruis,INDIANOLA,WARREN,Council for Vocational Education Rep,2014-07-01,2017-06-30,Male,None,A
"Agricultural Education, Council on",Susan Benning,FREDERICKSBURG,CHICKASAW,Representative of Agriculture,2014-07-01,2017-06-30,Female,Rep,A
"Agricultural Education, Council on",Kala Miller,Ottumwa,WAPELLO,Teacher Educator,2014-07-01,2017-06-30,Female,None,A
"Agricultural Education, Council on",Larry Marek,Riverside,WASHINGTON,Representative of Agriculture,2015-07-01,2018-06-30,Male,None,A
"Agricultural Education, Council on",Kent Klemme,Ankeny,POLK,Representative of Agriculture,2016-07-01,2019-06-30,Male,Rep,A
"Agricultural Education, Council on",Caitlin Wessel,Bondurant,POLK,Secondary School Program Instructor,2016-07-01,2019-06-30,Female,None,A
"Agricultural Education, Council on",Breanne Harms,Ankeny,POLK,Representative of Agriculture,2016-07-01,2019-06-30,Female,None,A
"Agricultural Education, Council on",William Fett,Des Moines,POLK,Postsecondary School Program Instructor,2016-07-01,2019-06-30,Male,None,A
"Agricultural Education, Council on",DeAnn Cooper Sindergard,Rolfe,POCAHONTAS,Representative of Agriculture,2016-07-01,2019-06-30,Female,Rep,A
Alcoholic Beverages Commission,Tami Doll,Council Bluffs,POTTAWATTAMIE,Licensee,2012-05-01,2017-04-30,Female,Rep,A
Alcoholic Beverages Commission,Jason Wilson,Johnston,POLK,Licensee,2013-05-01,2018-04-30,Male,None,A
Alcoholic Beverages Commission,Gary Nystrom,BOONE,BOONE,Management / Business Executive,2014-05-01,2019-04-30,Male,Rep,A
Alcoholic Beverages Commission,Rachel Eubank,Des Moines,POLK,Management / Business Executive,2015-05-01,2020-04-30,Female,Rep,A
Alcoholic Beverages Commission,John Pauli,Carroll,CARROLL,Management / Business Executive,2016-05-01,2021-04-30,Male,None,A
Architectural Examining Board,Tandi Brannaman,Iowa City,JOHNSON,Licensed Architect,2014-05-01,2017-04-30,Female,None,A
Architectural Examining Board,Tyler Kamerman,Des Moines,POLK,Public Member,2014-05-01,2017-04-30,Male,None,A
Architectural Examining Board,Jerry Purdy,ADEL,DALLAS,Licensed Architect,2014-05-01,2017-04-30,Male,Rep,A
Architectural Examining Board,Bruce Bassler,Ames,STORY,Licensed Architect,2015-05-01,2018-04-30,Male,Rep,A
Architectural Examining Board,Linda Alfson Schemmel,WEST DES MOINES,POLK,Licensed Architect,2015-05-01,2018-04-30,Female,None,A
Architectural Examining Board,Emily Forquer,Afton,UNION,Licensed Architect,2016-05-01,2019-04-30,Female,None,A
Architectural Examining Board,Kolby DeWitt,Sioux City,IOWA,Public Member,2016-05-01,2019-04-30,Male,Rep,A
Armory Board,Timothy Kline,Polk City,POLK,Civilian Construction,2009-12-21,,Male,Dem,A
Armory Board,Chad Stone,Des Moines,POLK,Active Military Officer,2015-12-08,,Male,None,A
Armory Board,Amy Price,Ankeny,POLK,Active Military Officer,2009-12-21,,Female,None,A
Armory Board,Timothy Orr,Johnston,POLK,Adjutant General,2009-12-21,,Male,None,A
Armory Board,Benjamin Corell,Johnston,POLK,Quartermaster,2009-12-21,,Male,None,A
Armory Board,Katherine Barton,Ankeny,POLK,Active Military Officer,2009-12-21,,Female,None,A
"Arts Council, Iowa",Vacant,,,Public Member,2008-07-01,2011-06-30,Female,Dem,V
"Arts Council, Iowa",Paul Dennison,Mt. Pleasant,HENRY,Chair,2014-07-01,2017-06-30,Male,Rep,A
"Arts Council, Iowa",Janine Calsbeek,Orange City,SIOUX,Public Member,2014-07-01,2017-06-30,Female,Dem,A
"Arts Council, Iowa",Carmen Darland,Eldridge,SCOTT,Vice-Chair,2014-07-01,2017-06-30,Female,Rep,A
"Arts Council, Iowa",Randall Lengeling,DUBUQUE,DUBUQUE,Public Member,2014-07-01,2017-06-30,Male,None,A
"Arts Council, Iowa",Heidi Pierson,Marshalltown,MARSHALL,Public Member,2015-07-01,2018-06-30,Female,None,A
"Arts Council, Iowa",Braden Falline,Spencer,CLAY,Public Member,2016-07-01,2018-06-30,Male,None,A
"Arts Council, Iowa",Frances Parrott,Ames,STORY,Public Member,2015-07-01,2018-06-30,Female,Rep,A
"Arts Council, Iowa",Lisa Walsh,BURLINGTON,DES MOINES,Public Member,2015-07-01,2018-06-30,Female,Rep,A
"Arts Council, Iowa",Kent Hartwig,Des Moines,POLK,Public Member,2015-07-01,2018-06-30,Male,Rep,A
"Arts Council, Iowa",Lori Topp,Hubbard,HARDIN,Public Member,2016-07-01,2019-06-30,Female,Dem,A
"Arts Council, Iowa",Kenneth Sidey,Greenfield,ADAIR,Public Member,2016-07-01,2019-06-30,Male,None,A
"Arts Council, Iowa",Brittany Deal,Des Moines,POLK,Public Member,2016-07-01,2019-06-30,Female,None,A
"Arts Council, Iowa",Terri Steinke,Urbandale,POLK,Public Member,2016-07-01,2019-06-30,Female,Rep,A
"Arts Council, Iowa",Evan Hilsabeck,Coralville,JOHNSON,Public Member,2016-07-01,2019-06-30,Male,Dem,A
"Asian and Pacific Islander Affairs, Commission of",Vacant,,,Member,2009-11-23,2012-04-30,Female,None,V
"Asian and Pacific Islander Affairs, Commission of",George Youi Sayavong,SIOUX CITY,WOODBURY,Member,2014-05-01,2018-04-30,Male,None,A
"Asian and Pacific Islander Affairs, Commission of",Karlai Thornburg,AMES,STORY,Member,2014-05-01,2018-04-30,Female,None,A
"Asian and Pacific Islander Affairs, Commission of",Michelle Yoshimura,West Des Moines,DALLAS,Member,2014-05-01,2018-04-30,Female,Rep,A
