County,September 15
Autauga County,5.1
Baldwin County,5.2
Barbour County,8.7
Bibb County,6.3
Blount County,5.2
Bullock County,8.4
Butler County,7.5
Calhoun County,6.8
Chambers County,5.7
Cherokee County,5.1
Chilton County,5.3
Choctaw County,8.9
Clarke County,11.7
Clay County,5.7
Cleburne County,5.4
Coffee County,5.8
Colbert County,7.6
Conecuh County,9.1
Coosa County,6.2
Covington County,6.7
Crenshaw County,5.6
Cullman County,5
Dale County,6.1
Dallas County,9.9
Dekalb County,5.8
Elmore County,5
Escambia County,7.1
Etowah County,6
Fayette County,7.1
Franklin County,6.2
Geneva County,5.5
Greene County,10.4
Hale County,6.8
Henry County,6.4
Houston County,6.1
Jackson County,6.3
Jefferson County,5.7
Lamar County,5.9
Lauderdale County,6.7
Lawrence County,7.4
Lee County,4.8
Limestone County,5.2
Lowndes County,11.7
Macon County,7.7
Madison County,5.2
Marengo County,7.2
Marion County,7.1
Marshall County,5.5
Mobile County,7
Monroe County,9.7
Montgomery County,6
Morgan County,5.6
Perry County,9.5
Pickens County,6.2
Pike County,6.4
Randolph County,5.5
Russell County,5.7
Saint Clair County,5.1
Shelby County,4.1
Sumter County,7.4
Talladega County,6.4
Tallapoosa County,6
Tuscaloosa County,5.2
Walker County,7
Washington County,8.8
Wilcox County,15.1
Winston County,6.9
