GEO.id,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC05_EST_VC02,HC05_MOE_VC02
Id,Geography,Total; Estimate; Women 15 to 50 years,Total; Margin of Error; Women 15 to 50 years,Women with births in the past 12 months  - Number; Estimate; Women 15 to 50 years,Women with births in the past 12 months  - Number; Margin of Error; Women 15 to 50 years,"Women with births in the past 12 months  - Rate per 1,000 women; Estimate; Women 15 to 50 years","Women with births in the past 12 months  - Rate per 1,000 women; Margin of Error; Women 15 to 50 years",Total; Estimate; 15 to 19 years,Total; Margin of Error; 15 to 19 years,Women with births in the past 12 months  - Number; Estimate; 15 to 19 years,Women with births in the past 12 months  - Number; Margin of Error; 15 to 19 years,Women with births in the past 12 months  - Percent Distribution; Estimate; 15 to 19 years,Women with births in the past 12 months  - Percent Distribution; Margin of Error; 15 to 19 years,"Women with births in the past 12 months  - Rate per 1,000 women; Estimate; 15 to 19 years","Women with births in the past 12 months  - Rate per 1,000 women; Margin of Error; 15 to 19 years",Percent of women who had a birth in the past 12 months who were unmarried; Estimate; 15 to 19 years,Percent of women who had a birth in the past 12 months who were unmarried; Margin of Error; 15 to 19 years
1400000US19001960100,"Census Tract 9601, Adair County, Iowa",517,57,48,28,93,55,55,32,0,9,0.0,32.7,0,296,,
1400000US19001960200,"Census Tract 9602, Adair County, Iowa",288,52,7,9,24,29,28,19,0,9,0.0,87.9,0,440,,
1400000US19001960300,"Census Tract 9603, Adair County, Iowa",598,54,23,17,38,27,134,39,4,7,17.4,23.0,30,51,100.0,100.0
1400000US19003950100,"Census Tract 9501, Adams County, Iowa",368,43,45,36,122,99,66,23,0,9,0.0,34.1,0,257,,
1400000US19003950200,"Census Tract 9502, Adams County, Iowa",411,41,57,28,139,64,43,17,0,9,0.0,28.8,0,351,,
1400000US19005960100,"Census Tract 9601, Allamakee County, Iowa",370,71,7,9,19,23,79,38,0,9,0.0,87.9,0,221,,
1400000US19005960200,"Census Tract 9602, Allamakee County, Iowa",542,75,43,31,79,55,109,46,10,16,23.3,31.4,92,141,100.0,73.6
1400000US19005960300,"Census Tract 9603, Allamakee County, Iowa",678,84,38,28,56,42,123,60,0,9,0.0,37.7,0,150,,
1400000US19005960400,"Census Tract 9604, Allamakee County, Iowa",403,52,58,31,144,80,45,25,0,9,0.0,28.4,0,341,,
1400000US19005960500,"Census Tract 9605, Allamakee County, Iowa",671,82,100,56,149,80,70,33,0,9,0.0,18.0,0,245,,
1400000US19007950100,"Census Tract 9501, Appanoose County, Iowa",580,64,41,22,71,38,81,37,16,15,39.0,28.2,198,178,43.8,51.3
1400000US19007950200,"Census Tract 9502, Appanoose County, Iowa",309,42,14,13,45,42,51,22,0,9,0.0,62.2,0,313,,
1400000US19007950300,"Census Tract 9503, Appanoose County, Iowa",561,82,11,16,20,28,58,35,0,9,0.0,70.1,0,284,,
1400000US19007950400,"Census Tract 9504, Appanoose County, Iowa",741,93,34,32,46,44,101,41,0,9,0.0,39.9,0,179,,
1400000US19007950500,"Census Tract 9505, Appanoose County, Iowa",350,62,19,16,54,47,46,25,0,9,0.0,53.4,0,336,,
1400000US19009070100,"Census Tract 701, Audubon County, Iowa",356,48,15,12,42,35,72,29,1,2,6.7,16.2,14,31,100.0,100.0
1400000US19009070200,"Census Tract 702, Audubon County, Iowa",423,56,23,21,54,49,55,22,0,9,0.0,48.5,0,296,,
1400000US19009070300,"Census Tract 703, Audubon County, Iowa",366,46,11,11,30,28,88,33,0,9,0.0,70.1,0,202,,
1400000US19011960100,"Census Tract 9601, Benton County, Iowa",720,84,40,28,56,37,51,31,12,19,30.0,37.3,235,310,100.0,67.2
1400000US19011960200,"Census Tract 9602, Benton County, Iowa",660,111,36,19,55,29,111,56,0,9,0.0,38.8,0,164,,
1400000US19011960300,"Census Tract 9603, Benton County, Iowa",1047,152,38,45,36,46,246,79,0,13,0.0,37.7,0,78,,
1400000US19011960400,"Census Tract 9604, Benton County, Iowa",699,102,49,33,70,48,68,37,0,9,0.0,32.2,0,251,,
1400000US19011960500,"Census Tract 9605, Benton County, Iowa",1359,114,65,23,48,17,207,57,0,13,0.0,26.0,0,92,,
1400000US19011960600,"Census Tract 9606, Benton County, Iowa",555,86,69,36,124,66,55,26,0,9,0.0,24.8,0,296,,
1400000US19011960700,"Census Tract 9607, Benton County, Iowa",543,86,18,16,33,30,59,42,0,9,0.0,54.8,0,281,,
1400000US19013000100,"Census Tract 1, Black Hawk County, Iowa",446,124,71,51,159,109,90,49,0,9,0.0,24.2,0,198,,
1400000US19013000200,"Census Tract 2, Black Hawk County, Iowa",902,171,14,20,16,22,115,63,0,9,0.0,62.2,0,159,,
1400000US19013000300,"Census Tract 3, Black Hawk County, Iowa",592,105,117,51,198,90,37,29,5,8,4.3,6.5,135,211,100.0,100.0
1400000US19013000400,"Census Tract 4, Black Hawk County, Iowa",470,172,12,11,26,26,18,20,0,9,0.0,67.2,0,548,,
1400000US19013000500,"Census Tract 5, Black Hawk County, Iowa",509,100,79,63,155,111,28,26,7,11,8.9,16.7,250,378,100.0,87.9
