Physician_First_Name,Physician_Middle_Name,Physician_Last_Name,Recipient_Primary_Business_Street_Address_Line1,Recipient_Primary_Business_Street_Address_Line2,Recipient_City,Recipient_Zip_Code,Physician_Primary_Type,Physician_Specialty,Physician_Profile_ID,Category,Total_Amount_of_Payment_USDollars,General,Research
JOHN,J,CALLAGHAN,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",1221685,GNRL,10050404.45,151,0
ANNUNZIATO,"",AMENDOLA,"200 HAWKINS DR","01018 JPP","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine",273734,GNRL,943929.57,100,0
BRUCE,"",HUGHES,"1111 6TH AVE","","DES MOINES",50314-2610,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology",12930,RSRCH,525821.25,637,2
BRIAN,D,ADAMS,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery",226425,RSRCH,421965.52,164,3
UDAYA,"",KABADI,"17185 BERKSHIRE PKWY","",CLIVE,50325,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",555954,GNRL,417451.93,476,0
CHARLES,S,JENNISCH,"6921 HICKMAN RD STE 2327","",URBANDALE,50322-4805,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",55276,GNRL,382927.25,916,0
Bryan,"","Den Hartog","6001 Westown pwky","","Des Moines",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",905186,GNRL,303340.98,83,0
MARK,C,JOHNSON,"910 N EISENHOWER AVE","","MASON CITY",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",46454,GNRL,300054.74,590,0
NICOLAS,WAHIB,SHAMMAS,"1236 E RUSHOLME ST","SUITE 300",DAVENPORT,52803,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology",132783,RSRCH,286775.29,379,14
PHINIT,"",PHISITKUL,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",190130,GNRL,268923.68,61,0
JENNIFER,G,ROBINSON,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",35650,RSRCH,217022.12,275,9
CLARK,MITCHELL,STANFORD,"322 S DENTAL SCIENCE BLDG","","IOWA CITY",52242,"Doctor of Dentistry","Dental Providers|Dentist|Prosthodontics",60155,GNRL,215159.87,148,0
STEFFANY,L,MOHAN,"1089 JORDAN CREEK PKWY STE 100","","WEST DES MOINES",50266,"Doctor of Dentistry","Dental Providers|Dentist|General Practice",704544,GNRL,200571.53,108,0
CRAIG,ALAN,SHADUR,"1215 PLEASANT STREET","","DES MOINES",50309-1409,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology",128935,GNRL,188818.82,327,0
ANUJ,"",BHARGAVA,"305 31st Street","","WEST DES MOINES",50265,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",211123,RSRCH,187572.83,277,6
ERIC,"",SCOTT,"5950 UNIVERSITY AVE","STE 231","WEST DES MOINES",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery",914881,RSRCH,184665.6,275,6
NICHOLAS,J,GOETSCH,"1731 W RIDGEWAY AVE","SUITE 100",WATERLOO,50701-4595,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",214566,GNRL,183731.28,323,0
MICHAEL,J,PAGE,"1212 PLEASANT ST STE 211","","DES MOINES",50309,"Medical Doctor","Allopathic & Osteopathic Physicians|Colon & Rectal Surgery",103422,GNRL,181577.63,338,0
