Teaching_Hospital_Name,Teaching_Hospital_ID,Total_Amount_of_Payment_USDollars,General,Research
"UNIV OF IOWA HOSP & CLINIC",1761,7145376.67999997,607,1248
"UNIV OF IOWA HOSP & CLINIC",2948,7023542.07999999,447,1480
"State University Of Iowa",582,2695130.22,215,665
"MERCY MEDICAL CENTER-DES MOINES",1751,483026.21,32,67
"IOWA METHODIST MEDICAL CENTER",1753,333116.15,42,11
"Catholic Health Initiatives Iowa Corp",572,279381.92,2,33
"MERCY MEDICAL CENTER-DES MOINES",2938,247691.82,14,58
"GENESIS MEDICAL CENTER",2946,168767.06,15,103
"TRINITY BETTENDORF",2815,168562.57,2,33
"IOWA LUTHTERAN HOSPITAL",2939,145977.95,25,13
"Mercy Medical Center",2942,138774.0,19,10
"IOWA LUTHTERAN HOSPITAL",1752,100130.3,16,12
"GENESIS MEDICAL CENTER",1759,95219.69,36,16
"Trinity Bettendorf",1629,88134.28,0,7
"ST. LUKES METHODIST HOSPITAL",2935,80275.3,42,13
"IOWA METHODIST MEDICAL CENTER",2940,62325.65,11,14
"MERCY MEDICAL CENTER - NORTH IOWA",1521,53897.23,49,7
"Central Iowa Hospital Corporation",574,50079.01,21,10
"Genesis Health System",580,48995.79,29,8
"Mercy Medical Center",576,46949.05,21,1
"MERCY MEDICAL CENTER - SIOUX CITY",2708,42301.6,14,0
"ST. LUKES REGL MEDICAL CENTER",1757,35937.12,57,0
"Central Iowa Hospital Corporation",573,35367.34,8,2
"ST. LUKES METHODIST HOSPITAL",1748,35076.75,23,9
"TRINITY REGIONAL MEDICAL CENTER",2943,25582.29,6,0
"Trinity Medical Center",449,21625.99,1,3
"ALLEN MEMORIAL HOSPITAL",2941,21215.66,16,0
"COVENANT MEDICAL CENTER",2945,19997.08,14,4
"MERCY MEDICAL CENTER - NORTH",2707,19770.93,10,4
"COVENANT MEDICAL CENTER",1758,19421.3,4,3
"BROADLAWNS MEDICAL CENTER",2949,18480.35,18,4
"ST LUKES METHODIST HOSPITAL",569,18290.05,11,7
"BROADLAWNS MEDICAL CENTER",583,17929.59,18,1
"BROADLAWNS MEDICAL CENTER",1762,15449.65,55,0
"Mercy Health Services/Iowa Corp.",342,13820.47,27,4
"Northwest Iowa Hospital Corporation",578,12331.89,28,1
"Allen Memorial Hospital Corporation",575,10358.0,4,0
"ALLEN MEMORIAL HOSPITAL",1754,9740.0,4,0
"MERCY MEDICAL CENTER",1755,8831.7,15,0
"JENNIE EDMUNDSON MEMORIAL",1749,8577.68,7,0
"Covenant Medical Center Inc",579,8414.15,9,3
"JENNIE EDMUNDSON MEMORIAL",2936,7403.89,6,0
"MERCY HOSPITAL IOWA CITY",1750,6967.0,6,1
"ST. LUKES REGL MEDICAL CENTER",2944,5282.37,7,0
"Marian Health Center-Smhc",343,4350.0,10,0
"MERCY HOSPITAL IOWA CITY",2937,3240.37,7,0
"MERCY MEDICAL CENTER - SIOUX CITY",1522,3183.64,8,0
"Trinity Regional Medical Center",1756,800.0,5,0
"Jennie Edmundson Memorial Hospital",570,789.53,2,0
"TRINITY REGIONAL MEDICAL CENTER",577,607.42,4,0
