Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Name_of_Study,Research_Information_Link,Context_of_Research
132783,"Bayer HealthCare LLC",NJ,100000005409,17482.96,09/12/2014,"Cash or cash equivalent",205825890,"","","Independent Study Support -Bayer Product or TA-","",""
132783,"Bayer HealthCare LLC",NJ,100000005409,7206.08,09/12/2014,"Cash or cash equivalent",205825184,"","","Independent Study Support -Bayer Product or TA-","",""
132783,"Bayer HealthCare LLC",NJ,100000005409,4860.00,04/09/2014,"Cash or cash equivalent",205839118,"","","6 Clinical Trial Pase IV -Post Marketing- -Bayer Product or TA-","",""
132783,"Bayer HealthCare LLC",NJ,100000005409,4050.00,04/09/2014,"Cash or cash equivalent",205836988,"","","6 Clinical Trial Pase IV -Post Marketing- -Bayer Product or TA-","",""
132783,"Bayer HealthCare LLC",NJ,100000005409,2500.00,06/09/2014,"Cash or cash equivalent",205839378,"","","6 Clinical Trial Pase IV -Post Marketing- -Bayer Product or TA-","",""
132783,"Bayer HealthCare LLC",NJ,100000005409,2430.00,10/20/2014,"Cash or cash equivalent",205819827,"","","6 Clinical Trial Pase IV -Post Marketing- -Bayer Product or TA-","",""
132783,"Bayer HealthCare LLC",NJ,100000005409,1890.00,09/22/2014,"Cash or cash equivalent",205837042,"","","6 Clinical Trial Pase IV -Post Marketing- -Bayer Product or TA-","",""
132783,"Bayer HealthCare LLC",NJ,100000005409,1500.00,06/09/2014,"Cash or cash equivalent",205828080,"","","6 Clinical Trial Pase IV -Post Marketing- -Bayer Product or TA-","",""
132783,"Bayer HealthCare LLC",NJ,100000005409,1350.00,04/09/2014,"Cash or cash equivalent",205837296,"","","6 Clinical Trial Pase IV -Post Marketing- -Bayer Product or TA-","",""
132783,"Bayer HealthCare LLC",NJ,100000005409,1080.00,09/22/2014,"Cash or cash equivalent",205830884,"","","6 Clinical Trial Pase IV -Post Marketing- -Bayer Product or TA-","",""
132783,"Bayer HealthCare LLC",NJ,100000005409,810.00,12/02/2014,"Cash or cash equivalent",205821796,"","","6 Clinical Trial Pase IV -Post Marketing- -Bayer Product or TA-","",""
132783,"Bayer HealthCare LLC",NJ,100000005409,810.00,09/22/2014,"Cash or cash equivalent",205830100,"","","6 Clinical Trial Pase IV -Post Marketing- -Bayer Product or TA-","",""
132783,"Bayer HealthCare LLC",NJ,100000005409,540.00,12/02/2014,"Cash or cash equivalent",205830154,"","","6 Clinical Trial Pase IV -Post Marketing- -Bayer Product or TA-","",""
132783,"Bayer HealthCare LLC",NJ,100000005409,405.00,12/02/2014,"Cash or cash equivalent",205822566,"","","6 Clinical Trial Pase IV -Post Marketing- -Bayer Product or TA-","",""
