Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Nature_of_Payment_or_Transfer_of_Value,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Contextual_Information
313947,"Genentech USA, Inc.",CA,100000000226,4800,07/31/2014,"Cash or cash equivalent",208166600,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,4800,11/20/2014,"Cash or cash equivalent",208274628,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,4800,05/21/2014,"Cash or cash equivalent",208129228,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,4800,11/19/2014,"Cash or cash equivalent",208274612,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,4800,05/07/2014,"Cash or cash equivalent",208129222,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,4800,07/02/2014,"Cash or cash equivalent",208143672,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,4800,06/26/2014,"Cash or cash equivalent",208142170,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,4800,12/03/2014,"Cash or cash equivalent",208284420,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,4500.00,10/23/2013,"Cash or cash equivalent",29804951,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,4500.00,08/20/2013,"Cash or cash equivalent",29804957,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,4500.00,08/08/2013,"Cash or cash equivalent",29804960,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,4500.00,09/09/2013,"Cash or cash equivalent",29804966,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,4500.00,10/02/2013,"Cash or cash equivalent",29801536,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,4500.00,10/17/2013,"Cash or cash equivalent",29804949,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,2787.62,10/02/2013,"Cash or cash equivalent",29804945,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,2423.60,10/17/2013,"Cash or cash equivalent",29804948,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,2209.54,07/31/2014,"Cash or cash equivalent",208166590,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,2072.85,06/26/2014,"Cash or cash equivalent",208142166,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,1911.28,11/20/2014,"Cash or cash equivalent",208274614,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,1898.88,05/21/2014,"Cash or cash equivalent",208129218,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,1847.07,08/20/2013,"Cash or cash equivalent",29801535,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,1823.82,07/02/2014,"Cash or cash equivalent",208143680,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,1513.97,08/08/2013,"Cash or cash equivalent",29804965,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,1408.56,09/09/2013,"Cash or cash equivalent",29801532,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,911.92,10/23/2013,"Cash or cash equivalent",29804953,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,844.79,05/07/2014,"Cash or cash equivalent",208129216,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,191.97,10/17/2013,"Cash or cash equivalent",29804946,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,191.53,08/08/2013,"Cash or cash equivalent",29804962,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,186.32,07/02/2014,"Cash or cash equivalent",208217634,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,168.79,07/31/2014,"Cash or cash equivalent",208166596,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,149.27,08/25/2013,"In-kind items and services",29804956,"Food and Beverage","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,138.33,07/31/2014,"In-kind items and services",208166598,"Food and Beverage","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,135.04,06/26/2014,"In-kind items and services",208142168,"Food and Beverage","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,125,11/19/2014,"In-kind items and services",208274638,"Food and Beverage","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,123.20,09/09/2013,"Cash or cash equivalent",29801531,"Travel and Lodging","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,122.43,11/20/2014,"In-kind items and services",208274624,"Food and Beverage","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,121.72,08/20/2013,"In-kind items and services",29804958,"Food and Beverage","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,110.20,10/17/2013,"In-kind items and services",29804950,"Food and Beverage","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,109.70,10/02/2013,"In-kind items and services",29801537,"Food and Beverage","",Lucentis,"",""
313947,"Genentech USA, Inc.",CA,100000000226,100.09,05/21/2014,"In-kind items and services",208129220,"Food and Beverage","",Lucentis,"",""
