Physician_Profile_ID,Category,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Category,Record_ID
792096,GNRL,"AbbVie, Inc.",IL,100000000204,4000,09/02/2014,GNRL,189482056
792096,GNRL,"AbbVie, Inc.",IL,100000000204,3500,12/23/2014,GNRL,189662798
792096,GNRL,"AbbVie, Inc.",IL,100000000204,3500,10/28/2014,GNRL,189571220
792096,GNRL,"AbbVie, Inc.",IL,100000000204,3500,12/22/2014,GNRL,189661630
792096,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,2925,10/31/2014,GNRL,188131936
792096,GNRL,"AbbVie, Inc.",IL,100000000204,2500,09/30/2014,GNRL,189527008
792096,GNRL,"AbbVie, Inc.",IL,100000000204,760.2,12/18/2014,GNRL,189658312
792096,GNRL,"AbbVie, Inc.",IL,100000000204,620.2,08/22/2014,GNRL,189467744
792096,GNRL,"AbbVie, Inc.",IL,100000000204,534.2,10/21/2014,GNRL,189557654
792096,GNRL,"AbbVie, Inc.",IL,100000000204,513.2,12/16/2014,GNRL,189653262
792096,GNRL,"AbbVie, Inc.",IL,100000000204,419.18,12/16/2014,GNRL,189652046
792096,GNRL,"AbbVie, Inc.",IL,100000000204,302.71,08/22/2014,GNRL,189467762
792096,GNRL,"AbbVie, Inc.",IL,100000000204,259.32,08/22/2014,GNRL,189467742
792096,GNRL,"AbbVie, Inc.",IL,100000000204,252.63,10/21/2014,GNRL,189557640
792096,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,216.88,09/30/2014,GNRL,188081518
792096,GNRL,"AbbVie, Inc.",IL,100000000204,204.96,12/16/2014,GNRL,189652044
792096,GNRL,"AbbVie, Inc.",IL,100000000204,131.31,08/22/2014,GNRL,189467756
792096,GNRL,"AbbVie, Inc.",IL,100000000204,128.83,08/22/2014,GNRL,189467746
792096,GNRL,"AbbVie, Inc.",IL,100000000204,121.4,08/22/2014,GNRL,189467750
792096,GNRL,"AbbVie, Inc.",IL,100000000204,112.65,10/21/2014,GNRL,189557658
792096,GNRL,"AbbVie, Inc.",IL,100000000204,112.65,10/21/2014,GNRL,189557650
792096,GNRL,"AbbVie, Inc.",IL,100000000204,109.28,10/21/2014,GNRL,189557652
792096,GNRL,"Gilead Sciences Inc",CA,100000000108,93.34,10/01/2014,GNRL,168253690
792096,GNRL,"Gilead Sciences Inc",CA,100000000108,93.11,11/07/2014,GNRL,168253695
792096,GNRL,"Gilead Sciences Inc",CA,100000000108,88.77,06/12/2014,GNRL,168253686
792096,GNRL,"AbbVie, Inc.",IL,100000000204,86.96,05/05/2014,GNRL,189303248
792096,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,78.41,09/30/2014,GNRL,188081420
792096,GNRL,"AbbVie, Inc.",IL,100000000204,71.08,12/16/2014,GNRL,189653270
792096,GNRL,"AbbVie, Inc.",IL,100000000204,69,12/16/2014,GNRL,189653266
792096,GNRL,"AbbVie, Inc.",IL,100000000204,67.77,12/16/2014,GNRL,189653260
792096,GNRL,"AbbVie, Inc.",IL,100000000204,58.8,09/25/2014,GNRL,189519906
792096,GNRL,"AbbVie, Inc.",IL,100000000204,55,10/21/2014,GNRL,189557656
792096,GNRL,"AbbVie, Inc.",IL,100000000204,50,12/16/2014,GNRL,189653264
792096,GNRL,"AbbVie, Inc.",IL,100000000204,50,10/21/2014,GNRL,189557644
792096,GNRL,"AbbVie, Inc.",IL,100000000204,47.84,12/18/2014,GNRL,189657278
792096,GNRL,"AbbVie, Inc.",IL,100000000204,45.14,08/22/2014,GNRL,189467754
792096,GNRL,"AbbVie, Inc.",IL,100000000204,29.23,10/21/2014,GNRL,189557648
792096,GNRL,"AbbVie, Inc.",IL,100000000204,28,08/22/2014,GNRL,189467752
792096,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,26.51,09/29/2014,GNRL,188079954
792096,GNRL,"AbbVie, Inc.",IL,100000000204,26.32,09/25/2014,GNRL,189519908
792096,GNRL,"AbbVie, Inc.",IL,100000000204,25,12/18/2014,GNRL,189658310
792096,GNRL,"AbbVie, Inc.",IL,100000000204,23.37,08/22/2014,GNRL,189466024
792096,GNRL,"AbbVie, Inc.",IL,100000000204,18,08/22/2014,GNRL,189467760
792096,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,15.72,09/29/2014,GNRL,188079980
792096,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,14.7,09/29/2014,GNRL,188079942
792096,GNRL,"AbbVie, Inc.",IL,100000000204,10,10/21/2014,GNRL,189557646
792096,GNRL,"AbbVie, Inc.",IL,100000000204,9.28,08/22/2014,GNRL,189467758
792096,GNRL,"AbbVie, Inc.",IL,100000000204,8,08/22/2014,GNRL,189467748
792096,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,6.08,09/30/2014,GNRL,188080122
792096,GNRL,"AbbVie, Inc.",IL,100000000204,5.38,08/22/2014,GNRL,189467740
792096,GNRL,"AbbVie, Inc.",IL,100000000204,5,12/16/2014,GNRL,189653268
792096,GNRL,"AbbVie, Inc.",IL,100000000204,5,10/21/2014,GNRL,189557642
792096,GNRL,"Gilead Sciences Inc",CA,100000000108,1.59,08/04/2014,GNRL,168253682
