Physician_Profile_ID,Category,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Category,Record_ID
1005705,GNRL,"AstraZeneca Pharmaceuticals LP",DE,100000000146,149.11,05/29/2014,GNRL,149081008
1005705,GNRL,"Janssen Pharmaceuticals, Inc",NJ,100000000232,73.99,11/04/2013,GNRL,23818392
1005705,GNRL,"GlaxoSmithKline, LLC.",NC,100000005449,25.00,09/23/2015,GNRL,321205890
1005705,GNRL,"AstraZeneca Pharmaceuticals LP",DE,100000000146,13.24,09/02/2014,GNRL,148358558
1005705,GNRL,"AstraZeneca Pharmaceuticals LP",DE,100000000146,11.64,12/11/2014,GNRL,149919608
1005705,GNRL,"AstraZeneca Pharmaceuticals LP",DE,100000000146,11.60,12/02/2014,GNRL,149761334
1005705,GNRL,"AstraZeneca Pharmaceuticals LP",DE,100000000146,10.31,07/02/2014,GNRL,149065046
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,7.85,02/25/2014,GNRL,199571186
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,7.78,10/21/2014,GNRL,199571184
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,6.66,03/28/2014,GNRL,199571180
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,6.49,08/26/2014,GNRL,199571176
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,6.37,04/21/2014,GNRL,199571174
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,5.68,04/29/2014,GNRL,199571170
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,5.54,02/14/2014,GNRL,199571165
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,5.38,07/25/2014,GNRL,199571162
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,5.15,04/17/2014,GNRL,199571158
1005705,GNRL,"Daiichi Sankyo Inc.",NJ,100000000195,4.65,06/25/2014,GNRL,199571154
