Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Nature_of_Payment_or_Transfer_of_Value,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Contextual_Information
243509,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,1750.00,04/24/2014,"Cash or cash equivalent",147549908,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",FETZIMA,VIIBRYD,""
243509,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,1500.00,12/06/2013,"Cash or cash equivalent",6756933,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",FETZIMA,"",""
243509,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,1000.00,04/14/2014,"Cash or cash equivalent",147549906,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",FETZIMA,VIIBRYD,""
243509,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,975.36,12/06/2013,"In-kind items and services",6756932,"Travel and Lodging","",FETZIMA,"",""
243509,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,362.08,03/15/2014,"In-kind items and services",147549886,"Food and Beverage","",FETZIMA,"",""
243509,"Actavis Pharma Inc",NJ,100000010642,200.00,03/31/2015,"Cash or cash equivalent",339910998,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",SAPHRIS,"",""
243509,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,126.50,04/24/2014,"In-kind items and services",147549904,"Travel and Lodging","",FETZIMA,VIIBRYD,""
243509,"Otsuka America Pharmaceutical, Inc.",MD,100000010723,81.99,11/03/2014,"In-kind items and services",216320260,Education,"","ABILIFY TABLET","",""
243509,"Janssen Pharmaceuticals, Inc",NJ,100000000232,69.95,08/06/2014,"In-kind items and services",156389380,Education,"","Invega Sustenna","","Medical Textbook"
243509,"Otsuka America Pharmaceutical, Inc.",MD,100000010723,69.00,08/28/2013,"In-kind items and services",31962420,Education,"","ABILIFY TABLET","",""
243509,"Takeda Pharmaceuticals America, Inc.",IL,100000000339,69.00,03/18/2015,"In-kind items and services",336914924,Education,"",Brintellix,"",""
