Physician_Profile_ID,Category,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Category,Record_ID
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,872.68,11/02/2014,GNRL,136822878
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,197.32,11/03/2014,GNRL,136796604
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,134.48,11/03/2014,GNRL,137248396
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,120.05,12/08/2014,GNRL,136976556
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,81.33,11/03/2014,GNRL,136776397
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,26.47,11/03/2014,GNRL,137142246
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,25.76,11/03/2014,GNRL,136727168
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,22.75,09/22/2014,GNRL,137132265
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,21.31,11/03/2014,GNRL,136722110
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,16.67,02/04/2014,GNRL,137106776
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,14.29,10/29/2014,GNRL,136893270
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,12.71,08/27/2014,GNRL,136884688
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,11.94,12/17/2014,GNRL,136879152
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,11.13,03/26/2014,GNRL,136873420
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,8.31,04/23/2014,GNRL,137032402
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,7.30,08/27/2014,GNRL,136850612
245633,GNRL,"Medtronic Vascular, Inc.",MN,100000010384,5.00,11/03/2014,GNRL,136708816
