Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Name_of_Study,Research_Information_Link,Context_of_Research
304617,"Daiichi Sankyo Inc.",NJ,100000000195,4000.00,09/16/2015,"Cash or cash equivalent",336434772,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,3500.00,04/20/2015,"Cash or cash equivalent",336434804,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1368.13,08/12/2015,"Cash or cash equivalent",336434568,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1368.13,08/12/2015,"Cash or cash equivalent",336434576,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1368.13,05/11/2015,"Cash or cash equivalent",336434580,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1368.13,08/12/2015,"Cash or cash equivalent",336434631,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1368.13,09/16/2015,"Cash or cash equivalent",336434634,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1368.13,08/12/2015,"Cash or cash equivalent",336434668,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1368.13,09/16/2015,"Cash or cash equivalent",336434696,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1368.13,09/16/2015,"Cash or cash equivalent",336434728,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1368.13,08/12/2015,"Cash or cash equivalent",336434736,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1368.13,09/16/2015,"Cash or cash equivalent",336434754,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1368.13,09/16/2015,"Cash or cash equivalent",336434808,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1368.13,12/15/2015,"Cash or cash equivalent",336434874,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1368.13,12/15/2015,"Cash or cash equivalent",336434982,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Purdue Pharma L.P.",CT,100000005432,1242.01,02/28/2014,"Cash or cash equivalent",178507538,"","",HYD3003,"",""
304617,"Eli Lilly and Company",IN,100000000088,1233.71,11/19/2015,"In-kind items and services",263816022,"","","A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED STUDY OF LY2951742 IN PATIENTS WITH EPISODIC MIGRAINE - THE EVOLVE-1 STUDY",https://clinicaltrials.gov/ct2/show/NCT02614183,"The amount reported represents either an aggregate of cash payments -e.g. clinical study services, reimbursements for expenses or pass-through costs- or an aggregate of in-kind value -e.g. supplies, equipment- provided by Lilly or by a third party vendor in connection with clinical studies during the reporting period.  For available study details, please visit clinicaltrials.gov."
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1096.25,05/18/2015,"Cash or cash equivalent",336434742,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1096.25,08/12/2015,"Cash or cash equivalent",336434802,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1096.25,12/15/2015,"Cash or cash equivalent",336434870,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1096.25,12/15/2015,"Cash or cash equivalent",336434948,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,1000.00,04/20/2015,"Cash or cash equivalent",336434764,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,968.13,08/12/2015,"Cash or cash equivalent",336434574,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,968.13,09/16/2015,"Cash or cash equivalent",336434666,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,968.13,07/24/2015,"Cash or cash equivalent",336434679,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
304617,"Daiichi Sankyo Inc.",NJ,100000000195,968.13,07/24/2015,"Cash or cash equivalent",336434700,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
