Physician_First_Name,Physician_Middle_Name,Physician_Last_Name,Recipient_Primary_Business_Street_Address_Line1,Recipient_Primary_Business_Street_Address_Line2,Recipient_City,Recipient_Zip_Code,Physician_Primary_Type,Physician_Specialty,Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Category
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,26.60,08/13/2013,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,136.57,09/09/2013,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,115.02,12/16/2013,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,1000.00,11/08/2013,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,18.04,11/19/2013,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,21.60,10/17/2013,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1505,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Biogen Idec Inc.",MA,100000000193,20.43,11/12/2013,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1505,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Biogen Idec Inc.",MA,100000000193,16.81,08/15/2013,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Neurological Surgery",99544,"Questcor Pharmaceuticals",CA,100000010569,16.70,10/24/2013,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Supernus Pharmaceuticals, Inc.",MD,100000011150,21.16,09/12/2013,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Supernus Pharmaceuticals, Inc.",MD,100000011150,9.09,09/10/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Supernus Pharmaceuticals, Inc.",MD,100000011150,16.6,02/19/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,36,04/01/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,17.82,01/22/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"EMD Serono, Inc.",MA,100000000127,12.71,05/21/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,1.98,04/09/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,9.47,11/21/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,403.16,02/08/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Sunovion Pharmaceuticals Inc.",MA,100000000254,4.51,04/08/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,1000,09/15/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1505,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Biogen Idec Inc.",MA,100000000193,14.12,10/02/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,2000,04/28/2014,GNRL
