county,population,2011-2015,2010-2014,2009-2013,2008-2012,2007-2011,2006-2010,2005-2009,2004-2008,2003-2007
Adair,7543,15.90271282,13.25757576,16.31477927,17.12654615,20.44609665,22.80701754,25.61983471,22.09944751,23.00613497
Adams,3937,17.76198934,17.97385621,24.5398773,23.7037037,24.60202605,34.68208092,37.95620438,27.90014684,30.39073806
Allamakee,14152,31.56822811,28.85085575,32.91020216,35.76278859,38.41117416,36.56462585,38.54123498,35.09479629,33.92504931
Appanoose,12754,36.59268146,40.32258065,44.4197668,49.94742376,49.09819639,51.39289145,51.57992565,49.54954955,45.87560653
Audubon,5935,24.14486922,23.05475504,22.70577105,29.08067542,30.58387396,27.88104089,27.75208141,34.94623656,31.0880829
Benton,25895,15.28599606,15.2394775,16.89744192,17.33576642,18.62527716,18.67535288,18.2012848,18.12688822,16.16073378
Black Hawk,131947,19.79807541,22.4382656,24.3521936,25.73143286,27.56882944,28.76772724,28.76616952,29.46593002,30.13245033
Boone,26326,21.11932418,21.875,24.83829237,28.67292565,29.33201873,30.0120048,31.74229955,28.45904674,28.982147
Bremer,24481,6.855660552,7.729112992,9.407858329,10.91581869,11.46449704,12.111049,11.48786363,11.39077715,10.01639046
Buchanan,20947,18.90300589,21.15266708,22.1822542,24.94923122,25.21960895,24.01563809,24.87698196,27.06323687,27.66798419
Buena Vista,20460,38.61003861,44.02834008,45.38653367,48.58701041,44.82758621,46.23708805,44.01278584,43.58412467,39.94225217
Butler,14966,13.6857008,14.0778977,15.38461538,16.12903226,17.95332136,19.65065502,23.69868811,23.74130168,23.01170771
Calhoun,9980,20.96774194,24.18096724,29.72560976,29.06110283,29.36962751,30.1369863,29.7029703,27.74274905,27.46268657
Carroll,20702,23.74258044,23.84545729,25.37922987,25.40679418,23.74301676,24.9031544,25.38902539,25.42826552,22.82749676
Cass,13694,21.97802198,29.38034188,33.09572301,36.63898388,38.11764706,42.15456674,40.22716517,33.90639924,29.7731569
Cedar,18434,14.60869565,15.60332871,15.16718373,16.03001364,16.66099966,19.03467029,18.9133425,20.45060659,19.33895921
