Casey's Location,County,County # (See Map),Walmart in town?,Title X Agency & Clinic (Nearby ?),Title X Satellite Clinic,Satellite Clinic with Referral for Physical Examination,latitude,longitude
Fontanelle,Adair,69,,,,,41.28971,-94.56164
Greenfield,Adair,69,,,,,41.30637,-94.45923450000001
Corning,Adams,86,,,,**,40.98999,-94.74081
Waukon,Allamakee,11,,"Decorah, IA (30 minutes away)",,,43.26942,-91.4757
Centerville,Appanoose,95,YES,,,,42.09276,-93.93551
Exira,Audubon,64,,,,,41.59082,-94.87554
Audubon,Audubon,64,,,,,41.7173555,-94.9278425
Belle Plaine,Benton,51,,"Vinton, IA (45 minutes away)",,,41.89694,-92.27824
Urbana,Benton,51,,"Vinton, IA (15 minutes away)",,,42.229303,-91.8883115
Vinton,Benton,51,,Vinton Clinic,,,42.16861,-92.02351
Cedar Falls,Black Hawk,34,YES,,,,42.51969,-92.45326
Elk Run Heights,Black Hawk,34,,,,,42.46613,-92.25007
Evansdale,Black Hawk,34,,,,,42.46915,-92.28102
Gilbertville,Black Hawk,34,,,,,42.4161,-92.2149
Hudson,Black Hawk,34,,,,,42.40665,-92.45547
La Porte City,Black Hawk,34,,,,,42.31372,-92.1912
Waterloo,Black Hawk,34,YES,Allen Hospital,,,42.49276,-92.34296
Boone,Boone,47,YES,,,,42.051165,-93.87861649999999
Madrid,Boone,47,,,,,41.876059,-93.8225295
Odgen,Boone,47,,,,,42.00027,-93.50049
Denver,Bremer,30,,,,,42.6689,-92.33464
Waverly,Bremer,30,YES,,,,42.72581,-92.47546
Independence,Buchanan,33,YES,Allen Women's Health - Independence,Buchanan County Health Center,,42.4686,-91.88934
Jesup,Buchanan,33,,,"Independence, IA (15 minutes away)",,42.47447,-92.0659
Alta,Buena Vista,24,,,,,42.671203500000004,-95.30403849999999
Sioux Rapids,Buena Vista,24,,,,,42.89331,-95.15111
Storm Lake,Buena Vista,24,YES,,,,42.64433,-95.19711
Clarksville,Butler,29,,,,,42.77999,-92.66801
Allison,Butler,29,,,,,42.751841999999996,-92.795683
Aplington,Butler,29,,,,"Allison, IA (20 minutes away)",42.582798499999996,-92.88538
Rockwell City,Calhoun,39,,,,,42.39813,-94.62892
Lake City,Calhoun,39,,,,,42.26764,-94.73105
Lohrville,Calhoun,39,,,,,42.267371499999996,-94.549541
Pomeroy,Calhoun,39,,,,,42.550824500000004,-94.6776145
Glidden,Carroll,45,,,,,42.05763,-94.72667
Carroll,Carroll,45,YES,New Opportunities,,,42.06582,-94.86693
Manning,Carroll,45,,,,,41.908387,-95.06480350000001
Anita,Cass,68,,,,,41.443764,-94.7671135
Atlantic,Cass,68,YES,,Cass County Memorial Hospital Home Care/Hospice,,41.4036,-95.01388
Griswold,Cass,68,,,,,41.234964000000005,-95.1402175
Clarence,Cedar,56,,,,,41.88891,-91.05654
Mechanicsville,Cedar,56,,,,,41.90557,-91.25325
Tipton,Cedar,56,,,,,41.7705975,-91.1300435
West Branch,Cedar,56,,,,,41.664441,-91.3417255
Clear Lake,Cerro Gordo,16,,,,,43.13802,-93.37937
Mason City,Cerro Gordo,16,YES,North Iowa Community Action,,,43.14872,-93.19981
Aurelia,Cherokee,23,,,,,42.713071,-95.4357455
Cherokee,Cherokee,23,,,,,42.74943,-95.55167
Marcus,Cherokee,23,,,,,42.82582,-95.80751
Nashua,Chickasaw,14,,,,,42.95275,-92.5363
Fredericksburg,Chickasaw,14,,,,,42.96464,-92.19638
New Hampton,Chickasaw,14,,,,,43.05717,-92.31636
Murray,Clarke,84,,,,,41.0413255,-93.9489015
Osceola,Clarke,84,YES,,,,41.026844,-93.7789775
Spencer,Clay,19,YES,,Planned Parenthood of the Heartland,,43.14136,-95.14444
Guttenburg,Clayton,12,,"Decorah, IA (60+ minutes away)",,,42.00027,-93.50049
