Casey's Location,County,County # (See Map),Walmart in town?,Title X Agency & Clinic (Nearby ?),Title X Satellite Clinic,Satellite Clinic with Referral for Physical Examination
Fontanelle,Adair,69,,,,
Greenfield,Adair,69,,,,
Corning,Adams,86,,,,**
Waukon,Allamakee,11,,"Decorah, IA (30 minutes away)",,
Centerville,Appanoose,95,YES,,,
Exira,Audubon,64,,,,
Audubon,Audubon,64,,,,
Belle Plaine,Benton,51,,"Vinton, IA (45 minutes away)",,
Urbana,Benton,51,,"Vinton, IA (15 minutes away)",,
Vinton,Benton,51,,Vinton Clinic,,
Cedar Falls,Black Hawk,34,YES,,,
Elk Run Heights,Black Hawk,34,,,,
Evansdale,Black Hawk,34,,,,
Gilbertville,Black Hawk,34,,,,
Hudson,Black Hawk,34,,,,
La Porte City,Black Hawk,34,,,,
Waterloo,Black Hawk,34,YES,Allen Hospital,,
Boone,Boone,47,YES,,,
Madrid,Boone,47,,,,
Odgen,Boone,47,,,,
Denver,Bremer,30,,,,
Waverly,Bremer,30,YES,,,
Independence,Buchanan,33,YES,Allen Women's Health - Independence,Buchanan County Health Center,
Jesup,Buchanan,33,,,"Independence, IA (15 minutes away)",
Alta,Buena Vista,24,,,,
Sioux Rapids,Buena Vista,24,,,,
Storm Lake,Buena Vista,24,YES,,,
Clarksville,Butler,29,,,,
Allison,Butler,29,,,,
Aplington,Butler,29,,,,"Allison, IA (20 minutes away)"
Rockwell City,Calhoun,39,,,,
Lake City,Calhoun,39,,,,
Lohrville,Calhoun,39,,,,
Pomeroy,Calhoun,39,,,,
Glidden,Carroll,45,,,,
Carroll,Carroll,45,YES,New Opportunities,,
Manning,Carroll,45,,,,
Anita,Cass,68,,,,
Atlantic,Cass,68,YES,,Cass County Memorial Hospital Home Care/Hospice,
Griswold,Cass,68,,,,
Clarence,Cedar,56,,,,
Mechanicsville,Cedar,56,,,,
Tipton,Cedar,56,,,,
West Branch,Cedar,56,,,,
Clear Lake,Cerro Gordo,16,,,,
Mason City,Cerro Gordo,16,YES,North Iowa Community Action,,
Aurelia,Cherokee,23,,,,
Cherokee,Cherokee,23,,,,
Marcus,Cherokee,23,,,,
Nashua,Chickasaw,14,,,,
Fredericksburg,Chickasaw,14,,,,
New Hampton,Chickasaw,14,,,,
Murray,Clarke,84,,,,
Osceola,Clarke,84,YES,,,
Spencer,Clay,19,YES,,Planned Parenthood of the Heartland,
Guttenburg,Clayton,12,,"Decorah, IA (60+ minutes away)",,
Strawberry Point,Clayton,12,,"Decorah, IA (60+ minutes away)",,
Marquette,Clayton,12,,,,
Camanche,Clinton,55,,,,
Clinton,Clinton,55,,Women's Health Services,,
Delmar,Clinton,55,,"Clinton, IA (40 minutes away)",,
DeWitt,Clinton,55,,"Clinton, IA (30 minutes away)",,
Denison,Crawford,44,YES,,Denison Clinic,
Adel,Dallas,62,,,,
Dallas Center,Dallas,62,,,,
De Soto,Dallas,62,,,,
Redfield,Dallas,62,,,,
Dexter,Dallas,62,,,,
Earlham,Dallas,62,,,,
Granger,Dallas,62,,,,
Perry ,Dallas,62,,,Dallas County Family Developemtn Center,
Van Meter,Dallas,62,,,,
Waukee,Dallas,62,,,,
Woodward,Dallas,62,,,,
Bloomfield,Davis,96,,,,
Lamoni,Decatur,93,,,,
Leon,Decatur,93,,,,
Edgewood,Delaware,32,,,,
Manchester,Delaware,32,YES,,,Manchester Clinic
Mediapolis,Des Moines,99,,,,
Burlington,Des Moines,99,YES,Planned Parenthood of Southeast Iowa,,
West Burlington,Des Moines,99,YES,Planned Parenthood of Southeast Iowa,,
Middletown,Des Moines,99,,,,
